Mom ID,i3541,i931,i3526,i933,i931,i931,i3508,i935,i938,i3510,i3537,i915,i3510,i3503,i3513,i3530,i931,i3502,i3511,i938,i3516,i3511,i3513,i3530,i931,i3547,i3502,i3525,i950,i3523,i941,i3519,na,i3548,i942,i915,i931,i3502,i3509,i3519,i950,i3503,i3530,i3509,i3502,i3509,i3502,i3513,i3530,i925,i950,i3530,i3530,i3502,i3502,i3502,i3615,i3506,i3532,i921,i3507,i3546,i3534,i3512,i3526,i933,i3532,i3606,i3530,i938,i921,i949,i941,i3511
Birthdate,38503,38527,38555,38565,38577,38581,38505,38557,38579,38509,38509,38525,38511,38517,38529,38563,38577,38513,38555,38561,38569,38577,38515,38533,38557,38565,38569,38577,38531,38543,38579,38527,38557,38571,38579,38517,38557,38579,38519,38527,38531,38541,38553,38523,38527,38535,38579,38523,38533,38525,38531,38527,38533,38537,38537,38543,38609,38619,38655,38585,38619,38661,38667,38679,38555,38583,38665,38669,38583,38589,38585,38589,38585,38595
ID,i1076,i1077,i1078,i1079,i1080,i1081,i1082,i1083,i1084,i1085,i1086,i1087,i1089,i1090,i1091,i1092,i1093,i1094,i1095,i1096,i1097,i1098,i1099,i1100,i1101,i1102,i1103,i1104,i1105,i1106,i1107,i1108,i1109,i1110,i1111,i1112,i1113,i1114,i1115,i1116,i1117,i1118,i1119,i1120,i1121,i1122,i1123,i1124,i1125,i1126,i1127,i1128,i1129,i1130,i1131,i1132,i3701,i3702,i3703,i3704,i3705,i3706,i3707,i3708,i3709,i3710,i3711,i3712,i3713,i3714,i3715,i3716,i3717,i3718
Vial,e1,e1,e1,e1,e1,e1,e2,e2,e2,e3,e4,e4,e5,e5,e5,e5,e5,e6,e6,e6,e6,e6,e7,e7,e7,e7,e7,e7,e8,e8 (e19),e8,e9,e9,e9,e9,e10,e10,e10,e11,e11,e11,e11,e11,e12,e12,e12 (e18),e12,e13,e13,e14,e14,e15,e16,e16,e17,e20,e1,e1,e1,e2,e2,e2,e2,e2,e3,e3,e3,e3,e4,e4,e5,e5,e6,e7
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
13.000,1.754,1.682,-1.000,-1.000,-1.000,1.397,1.764,1.850,-1.000,1.959,-1.000,-1.000,-1.000,-1.000,1.522,-1.000,-1.000,1.731,-1.000,-1.000,-1.000,-1.000,1.864,1.959,-1.000,-1.000,-1.000,-1.000,1.877,1.824,-1.000,1.742,-1.000,-1.000,-1.000,1.578,1.564,-1.000,-1.000,-1.000,-1.000,-1.000,1.802,-1.000,1.928,1.894,1.628,-1.000,1.974,-1.000,1.852,1.860,-1.000,1.981,2.014,-1.000,-1.000,-1.000,1.679,1.492,-1.000,-1.000,-1.000,,1.868,1.821,-1.000,-1.000,-1.000,1.778,-1.000,1.704,1.383,-1.000
15.000,1.877,1.895,-1.000,-1.000,-1.000,1.525,1.828,1.877,-1.000,2.036,-1.000,-1.000,-1.000,-1.000,1.654,-1.000,-1.000,1.894,-1.000,-1.000,-1.000,-1.000,1.950,1.947,-1.000,-1.000,-1.000,-1.000,1.936,1.827,-1.000,1.895,-1.000,-1.000,-1.000,1.842,1.630,-1.000,-1.000,-1.000,-1.000,-1.000,1.870,-1.000,2.010,1.983,1.613,-1.000,2.011,-1.000,1.954,1.892,-1.000,-1.000,1.975,-1.000,-1.000,-1.000,1.728,1.704,-1.000,-1.000,-1.000,,1.924,1.846,-1.000,-1.000,-1.000,1.778,-1.000,1.679,1.481,-1.000
17.000,-1.000,1.926,-1.000,-1.000,-1.000,1.493,1.840,1.833,-1.000,2.008,-1.000,-1.000,-1.000,-1.000,1.798,-1.000,-1.000,1.775,-1.000,-1.000,-1.000,-1.000,-1.000,1.975,-1.000,-1.000,-1.000,-1.000,1.940,1.867,-1.000,1.827,-1.000,-1.000,-1.000,1.824,1.615,-1.000,-1.000,-1.000,-1.000,-1.000,1.972,-1.000,2.099,2.000,1.661,-1.000,2.047,-1.000,1.944,1.901,-1.000,-1.000,2.000,-1.000,-1.000,-1.000,1.782,1.704,-1.000,-1.000,-1.000,,1.926,2.074,-1.000,-1.000,-1.000,1.778,-1.000,-1.000,-1.000,-1.000
19.000,-1.000,1.938,-1.000,-1.000,-1.000,1.506,1.855,1.733,-1.000,2.036,-1.000,-1.000,-1.000,-1.000,1.811,-1.000,-1.000,1.990,-1.000,-1.000,-1.000,-1.000,-1.000,2.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.916,-1.000,2.014,-1.000,-1.000,-1.000,1.900,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.025,-1.000,2.150,2.074,1.590,-1.000,2.099,-1.000,1.960,1.987,-1.000,-1.000,2.077,-1.000,-1.000,-1.000,1.722,1.704,-1.000,-1.000,-1.000,,2.001,-1.000,-1.000,-1.000,-1.000,1.864,-1.000,-1.000,-1.000,-1.000
21.000,-1.000,2.010,-1.000,-1.000,-1.000,1.556,1.877,-1.000,-1.000,1.900,-1.000,-1.000,-1.000,-1.000,1.872,-1.000,-1.000,1.980,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.999,-1.000,2.007,-1.000,-1.000,-1.000,1.900,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.012,-1.000,-1.000,2.006,1.605,-1.000,-1.000,-1.000,-1.000,1.940,-1.000,-1.000,2.049,-1.000,-1.000,-1.000,1.802,1.778,-1.000,-1.000,-1.000,,2.000,-1.000,-1.000,-1.000,-1.000,1.852,-1.000,-1.000,-1.000,-1.000
23.000,-1.000,2.012,-1.000,-1.000,-1.000,1.556,1.986,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.802,-1.000,-1.000,1.936,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.975,-1.000,2.032,-1.000,-1.000,-1.000,1.920,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.000,-1.000,-1.000,2.123,1.704,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.108,-1.000,-1.000,-1.000,1.811,1.671,-1.000,-1.000,-1.000,,2.068,-1.000,-1.000,-1.000,-1.000,1.852,-1.000,-1.000,-1.000,-1.000
25.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.580,1.725,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.926,-1.000,-1.000,1.930,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.017,-1.000,2.025,-1.000,-1.000,-1.000,1.920,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.937,-1.000,-1.000,2.093,1.704,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.175,-1.000,-1.000,-1.000,1.877,-1.000,-1.000,-1.000,-1.000,,2.012,-1.000,-1.000,-1.000,-1.000,1.852,-1.000,-1.000,-1.000,-1.000
27.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.697,1.955,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.917,-1.000,-1.000,1.990,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.099,-1.000,-1.000,-1.000,-1.000,-1.000,1.951,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.072,-1.000,-1.000,2.091,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.203,-1.000,-1.000,-1.000,1.852,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,1.852,-1.000,-1.000,-1.000,-1.000
29.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.975,-1.000,-1.000,1.990,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.933,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.042,-1.000,-1.000,2.141,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.123,-1.000,-1.000,-1.000,1.852,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,1.852,-1.000,-1.000,-1.000,-1.000
31.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.978,-1.000,-1.000,1.926,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.081,-1.000,-1.000,-1.000,-1.000,-1.000,2.002,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.956,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.244,-1.000,-1.000,-1.000,1.852,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
33.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,1.945,-1.000,-1.000,1.926,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.074,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.099,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
35.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
37.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.014,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
39.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
41.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
43.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
45.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
47.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
49.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
51.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
53.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
55.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
57.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
59.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
61.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
63.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
