Mom ID,i1338,i1333,i1338,i1338,i1312,i1321,i1333,i1321,i1312,i1328,i1312,i1312,i1312,i1338,i1345,i1312,i1345,i1323,i1323,i1353,i1353,i1312,i1368,i1311,i1327,i1333,i1343,i1343,i3123,i3129,i1312,i1345,i3144,i3134,i1353,i3129,i3151,i3129,i3153,i3151,i1338,i1338,i3151,i3134,i3129,i3151,i3139,i3151,i3146,i3150,i3151,i3151,i3150,i3144,i3123,i3146,i3123,i3144,i3144,i1312,i3139,i3139,i3146,i3139,i3134,i3153,i3151,i3139,i3153,i3139,i3151,i1350,i3151,i3153,i3153,i1350,i3151,i3151
Birthdate,38553,38557,38553,38553,38579,38553,38557,38553,38555,38561,38555,38555,38561,38567,38555,38561,38555,38555,38555,38553,38563,38565,38571,38565,38565,38565,38565,38565,38631,38637,38585,38593,38613,38625,38585,38655,38607,38637,38639,38663,38605,38609,38627,38629,38631,38607,38611,38673,38675,38685,38637,38673,38685,38619,38587,38667,38607,38613,38619,38591,38611,38615,38667,38611,38645,38655,38615,38621,38639,38641,38615,38591,38627,38629,38637,38591,38627,38627
ID,i1594,i1595,i1596,i1597,i1598,i1599,i1600,i1601,i1602,i1603,i1604,i1605,i1606,i1607,i1608,i1609,i1610,i1611,i1612,i1613,i1614,i1615,i1616,i1617,i1618,i1619,i1620,i1621,i3333,i3334,i3335,i3336,i3337,i3338,i3339,i3340,i3341,i3342,i3343,i3344,i3345,i3346,i3347,i3348,i3349,i3350,i3351,i3352,i3353,i3354,i3355,i3356,i3357,i3358,i3359,i3360,i3361,i3362,i3363,i3364,i3365,i3366,i3367,i3368,i3369,i3370,i3371,i3372,i3373,i3374,i3375,i3376,i3377,i3378,i3379,i3380,i3381,i3382
Vial,mb1,mb1,mb2,mb3,mb3,mb4,mb4,mb5,mb6,mb6,mb7,mb8,mb8,mb8,mb9,mb9,mb10,mb11,mb12,mb13,mb14,mb14,mb14,mb15,mb16,mb17,mb18,mb19,mb1,mb1,mb2,mb2,mb2,mb2,mb3,mb3,mb4,mb5,mb5,mb5,mb6,mb6,mb6,mb6,mb6,mb7,mb7,mb7,mb7,mb7,mb8,mb9,mb9,mb10,mb11,mb11,mb12,mb12,mb12,mb13,mb13,mb13,mb13,mb14,mb14,mb14,mb15,mb15,mb15,mb15,mb16,mb17,mb17,mb17,mb17,mb19,mb19,mb20
31,,21,,,,,8,19,,0,16,,,15,,13,7,14,20,,,,10,10,,,10,,,4,,,,0,11,8,10,,,,,,,,7,,2,,,,8,,,1,7,,,,0,,,7,,6,,,,,,2,4,,,,11,,5,0
33,,22,,,,,8,21,,0,16,,,18,,13,8,14,21,,,,10,,,,11,,,4,,,,0,12,,10,,,,,,,,8,,2,,,,8,,,1,7,,,,0,,,7,,6,,,,,,2,4,,,,11,,8,3
35,,22,,,,,8,21,,0,16,,,18,,14,11,15,21,,,,,,,,14,,,6,,,,1,12,,10,,,,,,,,9,,3,,,,8,,,3,7,,,,0,,,7,,,,,,,,2,4,,,,13,,8,4
37,,22,,,,,9,21,,0,,,,19,,16,11,17,21,,,,,,,,14,,,6,,,,1,12,,12,,,,,,,,9,,3,,,,11,,,3,7,,,,0,,,7,,,,,,,,2,4,,,,14,,9,4
39,,23,,,,,9,21,,,,,,19,,16,14,19,,,,,,,,,14,,,6,,,,4,12,,12,,,,,,,,10,,4,,,,13,,,3,7,,,,0,,,7,,,,,,,,3,4,,,,14,,9,7
41,,23,,,,,9,21,,,,,,21,,16,18,19,,,,,,,,,14,,,10,,,,4,12,,12,,,,,,,,12,,4,,,,13,,,4,7,,,,0,,,,,,,,,,,3,4,,,,14,,11,7
43,,25,,,,,,21,,,,,,23,,16,18,19,,,,,,,,,16,,,10,,,,4,14,,12,,,,,,,,12,,4,,,,13,,,4,7,,,,0,,,,,,,,,,,5,5,,,,14,,11,7
45,,26,,,,,,21,,,,,,25,,16,18,,,,,,,,,,18,,,10,,,,4,15,,14,,,,,,,,13,,4,,,,13,,,4,7,,,,0,,,,,,,,,,,6,5,,,,14,,14,8
47,,28,,,,,,21,,,,,,27,,19,18,,,,,,,,,,18,,,13,,,,4,15,,14,,,,,,,,13,,5,,,,13,,,6,9,,,,0,,,,,,,,,,,,6,,,,14,,14,8
49,,31,,,,,,21,,,,,,27,,19,20,,,,,,,,,,18,,,13,,,,5,15,,14,,,,,,,,13,,5,,,,14,,,6,,,,,0,,,,,,,,,,,,8,,,,15,,14,8
51,,31,,,,,,21,,,,,,30,,19,20,,,,,,,,,,18,,,,,,,5,15,,14,,,,,,,,16,,6,,,,14,,,6,,,,,0,,,,,,,,,,,,8,,,,,,15,10
53,,31,,,,,,21,,,,,,30,,21,21,,,,,,,,,,18,,,,,,,8,15,,16,,,,,,,,16,,6,,,,,,,6,,,,,0,,,,,,,,,,,,8,,,,,,15,11
55,,31,,,,,,23,,,,,,31,,21,21,,,,,,,,,,18,,,,,,,8,15,,18,,,,,,,,16,,7,,,,,,,7,,,,,0,,,,,,,,,,,,8,,,,,,16,15
57,,33,,,,,,23,,,,,,31,,22,22,,,,,,,,,,18,,,,,,,8,15,,18,,,,,,,,16,,7,,,,,,,7,,,,,0,,,,,,,,,,,,10,,,,,,16,16
59,,33,,,,,,23,,,,,,32,,22,22,,,,,,,,,,19,,,,,,,8,15,,20,,,,,,,,,,7,,,,,,,7,,,,,0,,,,,,,,,,,,10,,,,,,16,16
61,,35,,,,,,23,,,,,,35,,22,22,,,,,,,,,,19,,,,,,,9,15,,20,,,,,,,,,,9,,,,,,,8,,,,,0,,,,,,,,,,,,10,,,,,,18,
63,,35,,,,,,23,,,,,,35,,23,22,,,,,,,,,,20,,,,,,,,15,,21,,,,,,,,,,,,,,,,,8,,,,,0,,,,,,,,,,,,10,,,,,,,
65,,35,,,,,,23,,,,,,35,,23,,,,,,,,,,,20,,,,,,,,15,,23,,,,,,,,,,,,,,,,,8,,,,,0,,,,,,,,,,,,12,,,,,,,
67,,35,,,,,,23,,,,,,35,,25,,,,,,,,,,,21,,,,,,,,,,24,,,,,,,,,,,,,,,,,10,,,,,0,,,,,,,,,,,,12,,,,,,,
69,,36,,,,,,23,,,,,,,,25,,,,,,,,,,,21,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
71,,36,,,,,,23,,,,,,,,25,,,,,,,,,,,21,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,36,,,,,,23,,,,,,,,25,,,,,,,,,,,21,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,23,,,,,,,,25,,,,,,,,,,,21,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,23,,,,,,,,25,,,,,,,,,,,21,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,23,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,23,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
