Mom ID,i25,i2,i8,i2,i5,i1,i65,i8,i8,i10,i2,i99,i3,i29,i68,i40,i90,i103,i2,i4,i5,i83,i11,i82,i2,i4,i24,i22,i26,i40,i41,i37,i27,i10,i103,i7,i39,i16,i65,i90,i14,i103,i88,i30,i1,i35,i97,i12,i11,i23,i1,i107,i8,i4,i102,i48,i1649,i2299,i1651,i2285,i1661,i1666,i2291,i47,i2289,i2295,i1670,i1656,i1655,i2295,i48,i2296,i2288,i45,i1678,i2281
Birth Date,38501,38507,38515,38505,38511,38537,38541,38551,38551,38505,38513,38527,38527,38505,38531,38531,38567,38573,38507,38515,38523,38519,38573,38579,38507,38531,38519,38507,38517,38531,38561,38577,38507,38521,38563,38509,38561,38509,38539,38563,38511,38547,38583,38511,38537,38577,38539,38523,38547,38523,38527,38535,38551,38527,38539,38587,38617,38647,38675,38607,38615,38675,38587,38611,38651,38675,38621,38661,38623,38671,38601,38601,38625,38595,38615,38605
ID,i194,i195,i196,i197,i198,i199,i200,i201,i202,i203,i204,i205,i206,i207,i208,i209,i210,i211,i212,i213,i214,i215,i216,i217,i218,i219,i220,i221,i222,i223,i224,i225,i226,i227,i228,i229,i230,i231,i232,i233,i234,i235,i236,i237,i238,i239,i241,i242,i243,i244,i245,i246,i247,i248,i249,i1726,i1727,i1728,i1729,i1730,i1731,i1732,i1733,i1734,i1735,i1736,i1737,i1738,i1739,i1740,i1741,i1742,i1743,i1744,i1745,i1746
Vial,d1,d1,d1,d2,d2,d2,d2,d2,d2 (part  of d20),d3,d3,d3,d3 (d19),d4,d4,d4 (part of d17),d4,d4,d5,d5,d5,d5 (d16),d5,d5,d6,d6,d6 (d14),d7,d7,d7,d7,d7,d8,d8,d8,d9,d9,d10,d10,d10,d11,d11,d11,d12,d12,d12,d13,d15,d15,d17,d18,d18,d18,d20,d20,d1,d1,d1,d1,d2,d2,d2,d3,d3,d3,d3,d4,d4,d5,d5,d6,d7,d8,d9,d10,d11
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
15,-1,-1,2.026,-1,1.981,-1,-1,-1,2.123,-1,-1,1.911,2.161,1.843,1.972,1.976,-1,2.025,-1,-1,1.997,1.997,-1,2.074,2.128,2.167,1.934,-1,-1,1.953,-1,-1,-1,1.905,2.049,2.138,2.074,2.013,1.954,1.778,2.04,1.877,1.951,1.791,1.89,-1,1.825,1.897,-1,-1,-1,1.91,-1,-1,-1,1.951,1.926,1.778,,-1,1.951,,1.852,1.654,1.827,,1.852,-1,1.852,1.926,1.951,1.901,1.852,1.778,1.728,1.827
17,-1,-1,2.007,-1,1.981,-1,-1,-1,2.123,-1,-1,1.988,2.103,1.846,1.973,1.987,-1,2.074,-1,-1,na,2.047,-1,2.099,2.196,2.139,2.033,-1,-1,2.038,-1,-1,-1,2.03,2.173,2.155,2.074,2.036,1.975,1.926,2.078,2.074,1.975,1.853,1.985,-1,1.852,na,-1,-1,-1,-1,-1,-1,-1,1.926,1.847,1.728,,-1,2.074,,1.827,1.778,1.877,,1.951,-1,1.877,,2.025,2.025,1.975,1.728,1.753,1.877
19,-1,-1,2.068,-1,2.051,-1,-1,-1,2.025,-1,-1,2.043,2.18,1.924,2.035,2.015,-1,2.074,-1,-1,2.054,2.163,-1,2.173,2.175,2.2,2.103,-1,-1,2.045,-1,-1,-1,na,2.173,2.195,2,2.075,2.173,2,2.128,2.074,-1,1.795,2.025,-1,2,1.9,-1,-1,-1,-1,-1,-1,-1,1.852,1.975,1.852,,-1,1.972,,1.827,1.827,1.934,,1.951,-1,1.951,,2.074,2.099,1.904,-1,1.642,-1
21,-1,-1,2.021,-1,2.067,-1,-1,-1,2.074,-1,-1,2.019,2.136,1.912,1.976,2.021,-1,2.099,-1,-1,2.128,na,-1,2.173,2.282,2.259,na,-1,-1,2.083,-1,-1,-1,2.191,2.222,2.231,2.074,2.051,2.173,1.975,2.068,2.074,-1,1.878,2.025,-1,-1,1.985,-1,-1,-1,-1,-1,-1,-1,1.901,-1,1.901,,-1,2.123,,1.877,1.827,1.975,,1.975,-1,1.953,,2.074,2.148,2.074,-1,1.728,-1
23,-1,-1,2.077,-1,1.929,-1,-1,-1,2.099,-1,-1,2.123,2.266,1.926,-1,2.01,-1,2.099,-1,-1,2.057,2.131,-1,2.198,2.282,2.176,2.183,-1,-1,2.126,-1,-1,-1,2.236,2.272,2.3,2.123,2.081,2.222,2.025,2.17,2.099,-1,1.828,2.123,-1,-1,1.964,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.911,,-1,2.148,,1.951,1.839,2.025,,1.993,-1,2.074,,2.074,2.099,2.074,-1,1.778,-1
25,-1,-1,na,-1,-1,-1,-1,-1,2.198,-1,-1,2.102,2.249,1.923,-1,2,-1,2.272,-1,-1,2.148,2.011,-1,2.148,-1,2.148,2.221,-1,-1,-1,-1,-1,-1,2.189,2.272,2.277,2.123,2.109,-1,2.099,2.198,2.099,-1,1.799,2.173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.877,,-1,2.148,,-1,1.827,-1,,2.074,-1,2.148,,2.222,2.198,2.043,-1,1.778,-1
27,-1,-1,2.177,-1,-1,-1,-1,-1,2.148,-1,-1,2.12,2.26,-1,-1,2.074,-1,2.198,-1,-1,2.242,2.065,-1,2.148,-1,-1,2.181,-1,-1,-1,-1,-1,-1,2.297,2.321,2.327,2.148,2.136,-1,2,2.176,2.148,-1,-1,2.198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.198,,-1,1.877,-1,,2.123,-1,2.076,,2.272,2.222,2.123,-1,1.728,-1
29,-1,-1,2.225,-1,-1,-1,-1,-1,2.173,-1,-1,2,2.37,-1,-1,2.074,-1,2.198,-1,-1,2.241,2.122,-1,2.272,-1,-1,2.234,-1,-1,-1,-1,-1,-1,2.314,2.321,2.235,2.099,2.096,-1,2.074,na,2.148,-1,-1,2.198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.032,,-1,1.901,-1,,2.057,-1,2.074,,2.247,2.247,2.099,-1,1.763,-1
31,-1,-1,2.222,-1,-1,-1,-1,-1,2.222,-1,-1,2.099,2.37,-1,-1,2.049,-1,2.173,-1,-1,2.299,2.099,-1,2.272,-1,-1,2.301,-1,-1,-1,-1,-1,-1,2.333,2.222,na,2.099,-1,-1,-1,2.221,2.148,-1,-1,2.198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.099,,-1,1.951,-1,,-1,-1,2.272,,2.321,2.247,2.107,-1,1.778,-1
33,-1,-1,2.211,-1,-1,-1,-1,-1,2.198,-1,-1,-1,2.395,-1,-1,-1,-1,2.198,-1,-1,2.272,2.158,-1,2.321,-1,-1,2.22,-1,-1,-1,-1,-1,-1,2.294,2.272,2.265,2.099,-1,-1,-1,2.182,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.247,,-1,1.767,-1,,-1,-1,2.281,,2.267,2.257,2.099,-1,1.728,-1
