Mom ID,i3000,i1279,i3001,i3001,i1262,i3001,i1279,i3079,i3010,i1279,i3011,i3012,i3016,i3017,i3018,i1270,i3019,i3020,i3020,i3017,i3017,i3018,i3021,i3024,i1262,i3011,i3025,NA,i3026,i1262,i1274,i1278,i3027,i1301,i1279,i1262,i3019,i3018,i3030,i1278,i3031,i1279,i3018,i3111,i1279,i3002,i3003,i3002,i3004,i3005,i1281,i3006,i3008,i3009,i1281,i3084,i3013,i3014,i3015,i3013,i1281,i3013,i1281,i3006,i3022,i3014,i3023,i1281,i3023,i3080,i1308,i3002,i3028,i3029,i3013,i3006,i3013,i3006,i3013,i3028,i3028,i3020,i3006,i1281,i3080,i3028,i3003,i3028,i1301
Birthdate,38505,38545,38505,38505,38515,38527,38535,38559,38505,38545,38547,38567,38505,38525,38529,38523,38505,38561,38565,38507,38517,38529,38569,38507,38529,38547,38561,38509,38521,38529,38519,38545,38569,38577,38519,38529,38521,38529,38521,38545,38571,38521,38531,38577,38549,38639,38641,38645,38515,38545,38587,38631,38645,38665,38587,38621,38655,38661,38671,38675,38607,38651,38597,38631,38675,38679,38685,38597,38685,38597,38613,38615,38617,38619,38623,38631,38641,38647,38623,38631,38641,38567,38647,38587,38597,38607,38609,38631,38587
ID,i1262,i1263,i1264,i1265,i1266,i1267,i1268,i1269,i1270,i1271,i1272,i1273,i1274,i1275,i1276,i1278,i1279,i1280,i1281,i1282,i1283,i1284,i1285,i1286,i1287,i1288,i1289,i1290,i1291,i1292,i1294,i1295,i1296,i1297,i1298,i1299,i1300,i1301,i1302,i1304,i1305,i1306,i1307,i1308,i1309,i3075,i3076,i3077,i3078,i3079,i3080,i3081,i3082,i3083,i3084,i3085,i3086,i3087,i3088,i3089,i3090,i3091,i3092,i3093,i3094,i3095,i3096,i3097,i3098,i3099,i3100,i3101,i3102,i3103,i3104,i3105,i3106,i3107,i3108,i3109,i3110,i3111,i3112,i3113,i3114,i3115,i3116,i3117,i3118
Vial,aa1,aa1,aa2,aa3,aa3,aa3,aa3,aa3,aa4,aa4,aa4(aa17),aa4,aa5,aa5,aa5,aa5 (aa16),aa6,aa6,aa6,aa7,aa7,aa7,aa7,aa8,aa8,aa8,aa8,aa9,aa9,aa9,aa10,aa10 (aa15),aa10,aa10,aa11,aa11,aa12,aa12 (aa13),aa13,aa14,aa14,aa15,aa15,aa16,aa18,aa1,aa1,aa1,aa2,aa2,aa2,aa3,aa3,aa3,aa4,aa4,aa4,aa4,aa4,aa4,aa5,aa6,aa7,aa7,aa7,aa7,aa7,aa8,aa8,aa9,aa10,aa10,aa10,aa11,aa11,aa11,aa11,aa11,aa12,aa12,aa12,aa13,aa13,aa14,aa14,aa14,aa14,aa14,aa15
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
13,1.888,1.975,-1,-1,-1,2.147,-1,1.827,2.225,-1,1.901,1.848,1.94,-1,1.852,2,2.121,-1,2.074,-1,-1,1.975,1.778,-1,1.827,1.802,1.63,-1,-1,1.926,1.914,1.827,-1,1.877,-1,1.951,1.966,2,-1,1.926,1.877,-1,-1,1.852,-1,-1,-1,1.786,1.802,1.778,1.857,-1,-1,1.76,1.882,1.835,-1,-1,-1,-1,1.788,1.869,1.597,1.728,-1,-1,-1,1.748,-1,1.749,-1,-1,2.217,-1,-1,-1,-1,1.8,-1,-1,-1,1.944,1.819,-1,-1,-1,-1,-1,1.884
15,2.121,2.025,-1,-1,-1,-1,-1,2.025,2.225,-1,2.074,1.901,1.94,-1,1.936,2.095,2.199,-1,2.04,-1,-1,1.963,1.877,-1,1.942,-1,1.802,-1,-1,1.937,1.966,1.951,-1,1.975,-1,1.943,1.926,2.076,-1,-1,-1,-1,-1,1.926,-1,-1,-1,1.969,1.827,1.877,1.883,-1,-1,1.676,1.99,1.951,-1,-1,-1,-1,1.896,1.97,1.908,1.802,-1,-1,-1,2.003,-1,1.841,-1,-1,2.115,-1,-1,-1,-1,1.847,-1,-1,-1,1.951,1.899,-1,-1,-1,-1,-1,1.906
17,2.101,2.123,-1,-1,-1,-1,-1,2.025,2.215,-1,2.074,1.951,1.963,-1,1.975,2.247,2.116,-1,2.074,-1,-1,2.049,1.933,-1,2.049,-1,1.827,-1,-1,2.049,2.025,1.951,-1,2.099,-1,1.951,1.94,2.049,-1,-1,-1,-1,-1,1.975,-1,-1,-1,2.016,1.926,1.951,1.93,-1,-1,1.822,1.923,1.759,-1,-1,-1,-1,1.844,1.777,1.805,1.802,-1,-1,-1,2.074,-1,2.067,-1,-1,2.104,-1,-1,-1,-1,1.977,-1,-1,-1,1.951,-1,-1,-1,-1,-1,-1,1.842
19,2.145,2.123,-1,-1,-1,-1,-1,2.075,2.409,-1,-1,-1,-1,-1,-1,2.257,2.257,-1,2.346,-1,-1,2.049,1.897,-1,-1,-1,1.876,-1,-1,2.049,2.069,2,-1,2,-1,2.025,1.926,2.049,-1,-1,-1,-1,-1,2,-1,-1,-1,1.975,1.975,1.926,1.994,-1,-1,1.925,2.032,1.911,-1,-1,-1,-1,1.914,1.951,2.005,1.852,-1,-1,-1,2.147,-1,2.056,-1,-1,2.321,-1,-1,-1,-1,1.97,-1,-1,-1,1.868,-1,-1,-1,-1,-1,-1,1.911
21,2.042,2.232,-1,-1,-1,-1,-1,2.033,2.372,-1,-1,-1,-1,-1,-1,2.296,2.313,-1,2.081,-1,-1,2.049,1.901,-1,-1,-1,1.877,-1,-1,2.049,2.099,2,-1,2.049,-1,2.099,1.926,2.123,-1,-1,-1,-1,-1,2.198,-1,-1,-1,1.947,2.074,1.998,2.074,-1,-1,1.917,2.074,1.939,-1,-1,-1,-1,2.073,1.927,1.91,2.048,-1,-1,-1,2.178,-1,2.147,-1,-1,2.138,-1,-1,-1,-1,1.911,-1,-1,-1,1.974,-1,-1,-1,-1,-1,-1,2.025
23,2.147,2.287,-1,-1,-1,-1,-1,2.025,2.38,-1,-1,-1,-1,-1,-1,2.296,2.406,-1,2.3,-1,-1,2.064,1.877,-1,-1,-1,1.877,-1,-1,2.115,2.099,2.197,-1,2.046,-1,2.141,1.941,2.16,-1,-1,-1,-1,-1,2.082,-1,-1,-1,2.008,2,2.107,2.051,-1,-1,-1,2.122,1.951,-1,-1,-1,-1,1.961,1.935,1.888,1.959,-1,-1,-1,2.242,-1,2.232,-1,-1,2.311,-1,-1,-1,-1,2.074,-1,-1,-1,1.951,-1,-1,-1,-1,-1,-1,1.992
25,2.302,2.296,-1,-1,-1,-1,-1,2.198,2.457,-1,-1,-1,-1,-1,-1,2.321,2.406,-1,2.222,-1,-1,2.049,1.901,-1,-1,-1,1.962,-1,-1,2.123,2.076,-1,-1,2.075,-1,2.123,1.926,2.247,-1,-1,-1,-1,-1,2.172,-1,-1,-1,2.074,2.198,2.099,2.137,-1,-1,-1,2.208,1.976,-1,-1,-1,-1,1.969,1.883,2.096,2.099,-1,-1,-1,2.271,-1,2.152,-1,-1,2.28,-1,-1,-1,-1,1.974,-1,-1,-1,1.951,-1,-1,-1,-1,-1,-1,2.002
27,2.328,2.346,-1,-1,-1,-1,-1,2.214,2.457,-1,-1,-1,-1,-1,-1,2.271,2.406,-1,2.272,-1,-1,2.074,1.901,-1,-1,-1,1.946,-1,-1,2.173,2.148,-1,-1,2.056,-1,2.198,1.926,2.272,-1,-1,-1,-1,-1,2.052,-1,-1,-1,1.979,2.198,2.099,2.178,-1,-1,-1,2.201,1.967,-1,-1,-1,-1,2.046,2.197,1.974,2.052,-1,-1,-1,2.185,-1,2.192,-1,-1,2.469,-1,-1,-1,-1,2.059,-1,-1,-1,2.074,-1,-1,-1,-1,-1,-1,2.12
29,2.328,2.444,-1,-1,-1,-1,-1,2.227,2.509,-1,-1,-1,-1,-1,-1,2.37,2.457,-1,2.346,-1,-1,2.099,-1,-1,-1,-1,1.877,-1,-1,2.321,2.198,-1,-1,1.994,-1,2.272,1.926,2.272,-1,-1,-1,-1,-1,2.248,-1,-1,-1,1.978,2.097,2.123,2.14,-1,-1,-1,2.143,2.025,-1,-1,-1,-1,2.074,2.032,2.119,2.092,-1,-1,-1,2.221,-1,2.168,-1,-1,2.247,-1,-1,-1,-1,2.023,-1,-1,-1,2.173,-1,-1,-1,-1,-1,-1,2.104
31,2.42,2.444,-1,-1,-1,-1,-1,2.198,2.395,-1,-1,-1,-1,-1,-1,2.37,2.469,-1,2.272,-1,-1,2.123,-1,-1,-1,-1,1.901,-1,-1,2.321,2.222,-1,-1,2.123,-1,2.272,-1,2.272,-1,-1,-1,-1,-1,2.222,-1,-1,-1,2.108,-1,2.173,2.154,-1,-1,-1,2.133,1.957,-1,-1,-1,-1,2.079,2.103,2.222,2.167,-1,-1,-1,2.413,-1,2.422,-1,-1,2.219,-1,-1,-1,-1,2.141,-1,-1,-1,2.173,-1,-1,-1,-1,-1,-1,2.204
