Vial,a17,a10,a9,a11,a8,a28,a3,a12,a19,a13,a14,a46,a1,a9,a21,a7,a4,a14,a1,a21,a22,a5,a2,a18,a18,a5,a23,a25,a10,a20,a19,a6,a2,a14,a11,a4,a3,a20,a16,a18,a19,a43,a7,a17,a60,a17,a45,a8,a53,a17,a47,a14,a10,a6,a23,a18,a18,a22,a22,a11,a24,a1,a14,a15,a8,a12,a6,a22,a12,a24,a26,a16,a16,a10,a9,a4,a20,a50,a20,a5,a24,a21,a24,a18,a7,a13,a5,a5,a12,a24,a15
Birth Date,38493,38585,38579,38521,38581,38487,38587,38539,38511,38521,38657,38489,38505,38493,38597,38573,38599,38613,38567,38551,38629,38505,38567,38597,38495,38519,38577,38495,38547,38627,38613,38503,38519,38521,38503,38567,38503,38547,38541,38553,38523,38489,38519,38657,38491,38605,38489,38607,38489,38523,38489,38503,38637,38609,38501,38649,38569,38519,38505,38541,38569,38505,38541,38559,38503,38501,38591,38605,38587,38647,38495,38645,38619,38501,38521,38535,38573,38489,38519,38567,38495,38505,38519,38523,38657,38605,38587,38615,38647,38561,38653
ID,i1914,i1915,i1916,i1917,i1918,i1919,i1920,i1921,i1922,i1923,i1924,i1925,i1926,i1927,i1928,i1929,i1930,i1931,i1932,i1933,i1934,i1935,i1936,i1937,i1938,i1939,i1940,i1941,i1942,i1943,i1944,i1945,i1946,i1947,i1948,i1949,i1950,i1951,i1952,i1953,i1954,i1955,i1956,i1957,i1958,i1959,i1960,i1961,i1962,i1963,i1964,i1965,i1966,i1967,i1968,i1969,i1970,i1971,i1972,i1973,i2042,i2043,i2044,i2045,i2046,i2047,i2048,i2049,i2050,i2051,i2052,i2053,i2054,i2055,i2056,i2057,i2058,i2059,i2060,i2061,i2062,i2063,i2064,i2065,i2066,i2067,i2068,i2069,i2070,i2071,i2072
