Mom ID,i607,i607,i607,i607,i614,i621,i621,i597,i629,i621,i598,i600,i600,i600,i632,i629,i629,i642,i621,i629,i621,i621,i2034,i2021,i2021,i2036,i2034,i2023,i596,i2036,i596,i596,i2029,i605,i2034,i2034,i2029,i596,i2021,i2021,i2034,i2034,i2034,i2034,i2029,i2104,i2104,i2034,i2034,i2034,i2034,i2034
Birthdate,38553,38565,38553,38565,38553,38571,38577,38557,38569,38571,38581,38557,38557,38557,38557,38569,38581,38557,38571,38581,38583,38583,38625,38637,38649,38681,38597,38653,38591,38681,38591,38591,38611,38615,38621,38597,38611,38595,38601,38601,38625,38603,38603,38603,38611,38603,38603,38607,38611,38621,38607,38611
ID,i864,i865,i866,i867,i868,i869,i870,i871,i872,i873,i874,i875,i877,i878,i879,i880,i881,i882,i883,i884,i2387,i2388,i2389,i2390,i2391,i2392,i2393,i2394,i2395,i2396,i2397,i2398,i2399,i2400,i2401,i2402,i2403,i2404,i2405,i2406,i2407,i2408,i2409,i2410,i2411,i2412,i2413,i2414,i2415,i2416,i2417,i2418
Vial,MB1,MB1,MB2,MB2,MB3,MB3,MB3,MB4,MB4,MB4,MB4,MB5,MB6,MB7,MB8,MB8,MB8,MB9,MB9,MB9,MB10,MB11,mb1,mb1,mb1,mb1,mb2,mb2,mb3,mb3,mb4,mb5,mb6,mb6,mb6,mb7,mb8,mb12,mb12,mb13,mb13,mb14,mb15,mb16,mb16,mb17,mb18,mb19,mb19,mb19,mb20,mb20
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
25,-1,2.308,-1,1.865,-1,-1,-1,-1,-1,-1,-1,-1,2.433,2.28,-1,-1,2.155,-1,-1,2.202,2.316,2.254,-1,-1,-1,,2.261,2.222,2.106,,2.234,2.238,-1,-1,1.943,2.244,2.286,,2.251,-1,-1,2.42,2.321,-1,2.129,2.346,2.222,-1,-1,2.226,-1,1.983
27,-1,2.142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.508,-1,-1,-1,2.408,-1,-1,NA,2.208,2.42,-1,-1,-1,,2.232,2.163,2.269,,2.374,2.405,-1,-1,2.058,2.244,2.273,,2.444,-1,-1,2.186,2.228,-1,1.989,2.262,2.282,-1,-1,-1,-1,1.981
29,-1,2.312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,2.371,NA,2.372,-1,-1,-1,,2.271,2.321,2.167,,2.403,2.388,-1,-1,2.113,2.29,2.252,,2.297,-1,-1,2.327,2.178,-1,1.983,2.399,2.137,-1,-1,-1,-1,2.104
31,-1,2.298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.42,-1,-1,-1,-1,-1,-1,2.454,2.346,2.494,-1,-1,-1,,2.321,2.444,2.141,,2.42,2.401,-1,-1,2.112,2.164,2.346,,2.333,-1,-1,2.37,2.346,-1,2.198,2.321,2.272,-1,-1,-1,-1,2.222
33,-1,2.322,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.463,-1,-1,-1,-1,-1,-1,2.444,2.302,2.521,-1,-1,-1,,2.351,2.374,2.14,,2.448,2.366,-1,-1,2.134,NA,2.37,,2.346,-1,-1,2.312,2.363,-1,2.198,2.497,2.391,-1,-1,-1,-1,2.148
35,-1,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.517,-1,-1,-1,-1,-1,-1,2.351,2.403,2.366,-1,-1,-1,,2.42,,2.253,,2.431,2.294,-1,-1,2.103,2.321,2.165,,2.297,-1,-1,2.382,2.32,-1,2.058,2.405,2.324,-1,-1,-1,-1,2.159
37,-1,2.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.452,-1,-1,-1,-1,-1,-1,2.321,2.296,2.476,-1,-1,-1,,2.222,,-1,,2.519,2.346,-1,-1,2.123,2.249,2.36,,2.421,-1,-1,NA,2.327,-1,2.206,2.258,2.183,-1,-1,-1,-1,2.132
39,-1,2.358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.454,-1,-1,-1,-1,-1,-1,2.528,2.373,2.479,-1,-1,-1,,2.308,,-1,,2.372,-1,-1,-1,2.15,2.28,2.343,,2.269,-1,-1,2.395,2.444,-1,2.294,2.444,2.321,-1,-1,-1,-1,2.15
41,-1,2.256,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.618,-1,-1,-1,-1,-1,-1,2.518,2.258,2.4,-1,-1,-1,,2.243,,-1,,2.516,-1,-1,-1,NA,2.469,2.188,,2.469,-1,-1,2.444,2.37,-1,2.213,2.395,2.346,-1,-1,-1,-1,-1
43,-1,2.453,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.568,-1,-1,-1,-1,-1,-1,2.354,2.447,2.508,-1,-1,-1,,2.39,,-1,,2.568,-1,-1,-1,2.058,2.327,2.277,,2.519,-1,-1,2.448,2.168,-1,2.114,2.301,2.239,-1,-1,-1,-1,-1
