Mom ID,i3032,i3048,na,i3041,i1279,i3011,i3043,i3049,i3034,i3050,i3051,i1270,i1278,i3052,i3053,i1278,i3046,i3018,i3012,i3054,i3019,i3046,i1278,i3047,i3047,i3043,i3027,i3050,i3056,i3047,i3018,i3012,i1273,i3057,i1266,i3046,i3046,i3019,i1278,i1292,na,i3054,i1292,i1274,i3025,i3031,i3102,i3084,i3015,i3022,i3014,i3015,i3039,i3014,i3055
Birthdate,38497,38543,38511,38523,38549,38569,38499,38509,38499,38527,38501,38523,38533,38501,38515,38545,38501,38519,38531,38531,38501,38523,38533,38537,38543,38501,38517,38527,38543,38505,38525,38537,38579,38503,38535,38507,38509,38509,38545,38551,38511,38531,38551,38519,38549,38603,38655,38647,38649,38619,38631,38655,38655,38631,38655
ID,i1371,i1372,i1373,i1374,i1375,i1376,i1377,i1378,i1379,i1380,i1381,i1382,i1383,i1384,i1385,i1386,i1387,i1388,i1389,i1390,i1391,i1392,i1393,i1394,i1395,i1396,i1397,i1398,i1399,i1400,i1401,i1402,i1403,i1404,i1405,i1406,i1407,i1408,i1409,i1410,i1411,i1412,i1413,i1414,i1415,i3154,i3155,i3156,i3157,i3158,i3159,i3160,i3161,i3162,i3163
Vial,c1,c1,c1 (c16),c2,c2,c2,c3,c3,c4,c4,c5,c5,c5,c6,c6,c6,c7,c7,c7,c7 (part of c17),c8,C8,C8,C8,c8,c9,c9,c9,c9,c10,c10,c10,c10,c11,c11,c12,c12 (c14),c13,c13,c13,c15,c15,c15,c17,c18,c1,c2,c3,c4,c5,c5,c5,c6,c7,c8
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
23,2.121,-1,2.25,2.025,-1,1.901,-1,2.095,2.027,1.644,-1,-1,2.198,-1,1.888,1.771,-1,-1,-1,1.975,-1,-1,-1,-1,2.173,-1,-1,-1,2.222,-1,-1,1.901,-1,2.167,1.951,2.134,2.121,2.121,-1,-1,-1,-1,-1,-1,-1,1.969,2.052,2.049,1.921,-1,-1,2.097,1.591,1.875,1.899
25,2.149,-1,2.247,-1,-1,1.975,-1,2.095,2.103,1.925,-1,-1,2.222,-1,1.926,1.704,-1,-1,-1,1.975,-1,-1,-1,-1,2.122,-1,-1,-1,2.134,-1,-1,1.901,-1,2.225,2.049,2.147,2.147,2.121,-1,-1,-1,-1,-1,-1,-1,1.873,2.099,1.918,1.893,-1,-1,1.963,1.519,1.951,1.889
27,2.199,-1,2.354,-1,-1,2.025,-1,2.099,-1,1.852,-1,-1,2.272,-1,1.951,1.802,-1,-1,-1,1.975,-1,-1,-1,-1,2.173,-1,-1,-1,2.272,-1,-1,1.975,-1,2.297,2.049,2.199,2.123,2.123,-1,-1,-1,-1,-1,-1,-1,1.978,2.101,2.1,1.839,-1,-1,2.064,1.666,1.996,1.883
29,2.236,-1,2.247,-1,-1,2.025,-1,2.095,-1,2.025,-1,-1,2.222,-1,2.029,1.852,-1,-1,-1,2,-1,-1,-1,-1,2.173,-1,-1,-1,2.247,-1,-1,1.975,-1,-1,2.099,2.296,2.225,2.199,-1,-1,-1,-1,-1,-1,-1,1.902,2.262,1.982,2.073,-1,-1,2.169,1.766,2.043,2.075
31,2.38,-1,2.272,-1,-1,2.071,-1,2.173,-1,2.099,-1,-1,2.321,-1,-1,2.049,-1,-1,-1,2.074,-1,-1,-1,-1,2.321,-1,-1,-1,2.247,-1,-1,-1,-1,-1,2.099,2.302,2.198,2.198,-1,-1,-1,-1,-1,-1,-1,2.04,2.226,2.164,2.047,-1,-1,2.133,1.67,1.941,1.964
33,2.356,-1,2.377,-1,-1,2.184,-1,2.173,-1,2.025,-1,-1,2.321,-1,-1,2.049,-1,-1,-1,2.074,-1,-1,-1,-1,2.222,-1,-1,-1,2.321,-1,-1,-1,-1,-1,2.107,2.198,2.173,2.296,-1,-1,-1,-1,-1,-1,-1,2.148,,1.992,2.039,-1,-1,,,2.13,
35,2.328,-1,2.296,-1,-1,2.112,-1,2.244,-1,2.025,-1,-1,2.294,-1,-1,2.031,-1,-1,-1,2.099,-1,-1,-1,-1,2.222,-1,-1,-1,2.321,-1,-1,-1,-1,-1,2.099,2.296,2.251,2.227,-1,-1,-1,-1,-1,-1,-1,2.007,,2.119,2.096,-1,-1,,,2.196,
37,2.354,-1,2.346,-1,-1,2.162,-1,2.198,-1,2.099,-1,-1,2.321,-1,-1,2,-1,-1,-1,2.184,-1,-1,-1,-1,2.311,-1,-1,-1,2.338,-1,-1,-1,-1,-1,2.148,2.335,2.272,-1,-1,-1,-1,-1,-1,-1,-1,1.978,,2.224,2.103,-1,-1,,,2.198,
39,2.42,-1,2.42,-1,-1,2.296,-1,2.222,-1,2.222,-1,-1,2.321,-1,-1,2,-1,-1,-1,2.148,-1,-1,-1,-1,2.222,-1,-1,-1,2.395,-1,-1,-1,-1,-1,2.099,2.37,2.272,-1,-1,-1,-1,-1,-1,-1,-1,2.095,,1.95,,-1,-1,,,2.272,
41,2.38,-1,2.325,-1,-1,2.284,-1,2.222,-1,2.2,-1,-1,2.272,-1,-1,2.078,-1,-1,-1,2.148,-1,-1,-1,-1,2.321,-1,-1,-1,2.346,-1,-1,-1,-1,-1,2.099,2.321,2.37,-1,-1,-1,-1,-1,-1,-1,-1,2.272,,,,-1,-1,,,2.262,
