Mom ID,i3016,i3034,i3043,i3060,i3010,i3052,i3019,i3043,i3045,i3046,i3046,na,i3034,i1274,i1274,i1262,i3026,i1286,i3012,i3017,i3012,i1270,i1300,i3012,i3018,i1276,i3017,i1300,i1276,i3026,i3048,i3031,i3011,i3048,i3025,i3058,i3026,i1269,i1279,i3061,i1269,i3026,i3031,i3005,i3048,i3005,i3021,i3031,i3111,i3029,i3063,i3059,i3091,i3077,i3091,i3091,i3021,i3015,i3038,i3062,i3062,i3059,i3038,i3058,i3055,i3008,i3038,i3064,i3014,i3111,i3031,i3059,i3040,i3062,i3080
Birthdate,38497,38497,38499,38501,38501,38501,38501,38501,38503,38509,38509,38511,38507,38517,38517,38515,38521,38517,38519,38537,38519,38535,38535,38519,38525,38541,38537,38535,38541,38537,38537,38571,38543,38551,38545,38551,38537,38573,38519,38577,38573,38547,38577,38545,38551,38545,38585,38593,38601,38619,38631,38649,38667,38655,38661,38667,38585,38655,38583,38601,38607,38655,38583,38589,38655,38675,38589,38607,38621,38595,38603,38661,38603,38611,38627
ID,i1482,i1483,i1484,i1485,i1486,i1487,i1488,i1489,i1491,i1494,i1495,i1496,i1502,i1504,i1505,i1506,i1507,i1508,i1509,i1510,i1511,i1512,i1513,i1515,i1516,i1517,i1518,i1519,i1520,i1521,i1524,i1525,i1526,i1527,i1528,i1529,i1530,i1531,i1532,i1533,i1534,i1535,i1536,i1537,i1538,i1539,i3184,i3185,i3186,i3187,i3188,i3189,i3190,i3191,i3192,i3193,i3194,i3195,i3196,i3197,i3198,i3199,i3200,i3201,i3202,i3203,i3204,i3205,i3206,i3207,i3208,i3209,i3210,i3211,i3212
Vial,e1,e2,e3,e4,e5,e6,e7,e8,e10,e13,e14,e15,e4,e9,e6,e8,e11,e12,e1,e1,e2,e2,e4,e5,e5,e5,e8,e9,e9,e11,e15,e1,e2,e3 (e17),e4,e4,e4 (e14),e4,e5 (e16),e7,e9,e10,e11,e13,e13,e17,e1,e1,e1,e1,e1,e2,e2,e3,e3,e3,e4,e4,e5,e5,e5,e5,e6,e6,e6,e6,e7,e7,e7,e8,e8,e8,e9,e10,e12
Age,1,2,3,4,5,6,7,8,10,13,14,15,21,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
13,1.85,1.45,1.858,-1,1.764,-1,1.867,-1,1.061,1.642,1.818,-1,1.754,-1,1.526,1.604,-1,1.76,-1,1.185,1.785,-1,-1,-1,1.345,1.556,1.383,-1,1.457,1.457,1.728,1.654,1.531,1.728,-1,1.704,1.111,-1,1.862,-1,1.18,1.679,1.753,-1,-1,-1,-1,-1,1.671,-1,1.457,1.631,1.209,-1,-1,1.64,1.531,1.479,1.63,-1,1.597,1.3,-1,1.421,1.543,,-1,-1,1.167,-1,1.094,-1,1.535,-1,-1
15,1.833,1.461,1.906,-1,1.837,-1,1.992,-1,1.112,1.798,1.888,-1,1.853,-1,1.681,1.779,-1,1.837,-1,1.383,-1,-1,-1,-1,-1,1.679,1.487,-1,1.556,1.489,1.805,-1,1.63,1.753,-1,-1,1.432,-1,1.94,-1,-1,1.704,1.704,-1,-1,-1,-1,-1,-1,-1,1.551,1.709,1.321,-1,-1,1.704,1.553,1.605,1.802,-1,1.634,1.457,-1,1.459,1.654,,-1,-1,1.284,-1,-1,-1,1.679,-1,-1
17,1.915,1.495,2.069,-1,-1,-1,1.992,-1,1.138,1.811,-1,-1,1.908,-1,1.785,1.992,-1,1.862,-1,1.358,-1,-1,-1,-1,-1,1.728,1.481,-1,1.704,1.481,1.901,-1,1.679,1.877,-1,-1,1.407,-1,2,-1,-1,1.728,1.852,-1,-1,-1,-1,-1,-1,-1,1.599,-1,1.434,-1,-1,1.782,1.534,1.611,1.78,-1,1.637,1.385,-1,1.425,-1,,-1,-1,1.355,-1,-1,-1,1.758,-1,-1
19,1.992,1.526,2.069,-1,-1,-1,1.992,-1,1.22,1.94,-1,-1,1.94,-1,1.827,1.914,-1,1.827,-1,1.432,-1,-1,-1,-1,-1,1.778,1.556,-1,1.704,1.605,1.877,-1,1.679,1.901,-1,-1,1.481,-1,1.966,-1,-1,1.728,1.852,-1,-1,-1,-1,-1,-1,-1,1.63,-1,1.516,-1,-1,1.873,1.571,1.549,-1,-1,1.645,1.43,-1,1.481,-1,,-1,-1,1.377,-1,-1,-1,1.739,-1,-1
21,-1,-1,2.069,-1,-1,-1,1.969,-1,1.357,1.944,-1,-1,2.018,-1,1.811,-1,-1,1.94,-1,1.556,-1,-1,-1,-1,-1,1.728,1.556,-1,1.533,1.605,1.926,-1,1.679,1.901,-1,-1,1.605,-1,2.025,-1,-1,1.766,1.852,-1,-1,-1,-1,-1,-1,-1,1.578,-1,,-1,-1,,1.742,1.561,-1,-1,1.805,1.575,-1,1.43,-1,,-1,-1,1.411,-1,-1,-1,1.72,-1,-1
23,-1,-1,2.054,-1,-1,-1,1.972,-1,1.5,1.94,-1,-1,1.965,-1,1.877,-1,-1,1.901,-1,1.605,-1,-1,-1,-1,-1,1.728,1.58,-1,1.753,1.605,1.951,-1,1.679,1.901,-1,-1,1.63,-1,1.975,-1,-1,1.728,1.852,-1,-1,-1,-1,-1,-1,-1,1.632,-1,,-1,-1,,1.728,1.749,-1,-1,1.768,1.612,-1,1.508,-1,,-1,-1,1.432,-1,-1,-1,1.678,-1,-1
25,-1,-1,2.079,-1,-1,-1,1.94,-1,1.578,1.966,-1,-1,2.018,-1,1.877,-1,-1,1.975,-1,1.704,-1,-1,-1,-1,-1,-1,1.58,-1,1.753,1.654,2,-1,1.686,2.074,-1,-1,1.654,-1,2.067,-1,-1,1.728,1.876,-1,-1,-1,-1,-1,-1,-1,1.728,-1,,-1,-1,,1.713,1.765,-1,-1,1.852,1.636,-1,1.544,-1,,-1,-1,1.414,-1,-1,-1,1.755,-1,-1
27,-1,-1,2.302,-1,-1,-1,2.043,-1,1.733,1.975,-1,-1,2.018,-1,1.956,-1,-1,1.975,-1,1.704,-1,-1,-1,-1,-1,-1,1.63,-1,1.849,1.654,1.852,-1,1.679,1.951,-1,-1,1.753,-1,2,-1,-1,1.852,1.771,-1,-1,-1,-1,-1,-1,-1,1.642,-1,,-1,-1,,1.751,1.746,-1,-1,1.815,1.552,-1,1.536,-1,,-1,-1,1.423,-1,-1,-1,1.69,-1,-1
29,-1,-1,2.302,-1,-1,-1,2.03,-1,1.733,2.018,-1,-1,-1,-1,2.025,-1,-1,1.975,-1,1.704,-1,-1,-1,-1,-1,-1,1.654,-1,1.827,1.654,-1,-1,1.679,2,-1,-1,1.753,-1,2.148,-1,-1,1.852,1.916,-1,-1,-1,-1,-1,-1,-1,1.815,-1,,-1,-1,,1.845,1.827,-1,-1,1.852,1.692,-1,1.522,-1,,-1,-1,1.481,-1,-1,-1,1.664,-1,-1
31,-1,-1,2.151,-1,-1,-1,2.095,-1,1.733,1.975,-1,-1,-1,-1,1.926,-1,-1,2.074,-1,-1,-1,-1,-1,-1,-1,-1,1.671,-1,-1,1.654,-1,-1,1.753,2.025,-1,-1,1.808,-1,2.173,-1,-1,1.926,1.895,-1,-1,-1,-1,-1,-1,-1,1.705,-1,,-1,-1,,1.861,1.891,-1,-1,1.859,1.653,-1,1.656,-1,,-1,-1,1.481,-1,-1,-1,1.682,-1,-1
