Mom ID,i65,i74,i90,i103,i103,i98,i98,i85,i86,i92,i88,i98,i98,i88,i62,i1661,i1683,i62,i1652,i66,i1661,i66,i1678,i66,i1666,i1666,i1661,i1661
Birth date,38553,38553,38553,38557,38557,38559,38559,38561,38581,38587,38577,38577,38577,38583,38591,38605,38637,38591,38661,38607,38611,38607,38599,38607,38609,38609,38611,38615
ID,i392,i393,i394,i396,i398,i399,i400,i401,i402,i407,i408,i409,i410,i415,i1854,i1855,i1856,i1857,i1858,i1859,i1860,i1861,i1862,i1863,i1864,i1865,i1866,i1867
Vial,maa1,maa2,maa3,maa4,maa5,maa6,maa7,maa8,maa1,maa2,maa3,maa5,maa6,maa9,maa1,maa1,maa2,maa3,maa3,maa4,maa6,maa7,maa8,maa9,maa10,maa11,maa12,maa13
Age ,1,2,3,5,7,8,9,10,11,16,17,18,19,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.667,-1,-1,-1,-1,-1,-1,,-1,2.741,-1,2.568,2.519,-1,-1,2.469,-1
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.482,-1,-1,-1,-1,-1,-1,,-1,2.716,-1,2.657,-1,-1,-1,2.593,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.656,-1,2.593,-1,-1,-1,2.58,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.617,-1,2.593,-1,-1,-1,2.593,-1
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.765,-1,2.741,-1,-1,-1,-1,-1
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.716,-1,2.642,-1,-1,-1,-1,-1
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.642,-1,2.716,-1,-1,-1,-1,-1
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.593,-1,2.765,-1,-1,-1,-1,-1
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.716,-1,2.745,-1,-1,-1,-1,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.716,-1,2.716,-1,-1,-1,-1,-1
