Mom ID,na,i1278,i1299,i3079,i1281,i3079,i3111,i3090,i3090,i3090,i3091,i1278,i1299,i1281,i1269,i1269,i3111,i3111,i3085,i3091,i3077,i3090,i3090,i3090,i1281,i1278,i3102,i3118,i1281,i3118,i3080,i3118,i3090,i3077,i1308,i3111,i3077,i1308,i3090,i3090,i1269,i3090,i1269,i3111,i3107,i1301,i3084,i1281,i3111,i3118,i3118
Birthdate,38553,38555,38559,38559,38575,38581,38629,38637,38635,38673,38685,38589,38593,38597,38601,38605,38611,38629,38635,38661,38667,38673,38655,38673,38597,38603,38661,38599,38603,38629,38641,38629,38643,38667,38603,38609,38667,38603,38643,38667,38605,38667,38605,38609,38677,38605,38607,38607,38607,38609,38609
ID,i1588,i1589,i1590,i1591,i1592,i1593,i3288,i3289,i3290,i3291,i3292,i3293,i3294,i3295,i3296,i3297,i3298,i3299,i3300,i3301,i3302,i3303,i3304,i3305,i3306,i3307,i3308,i3309,i3310,i3311,i3312,i3313,i3314,i3315,i3316,i3317,i3318,i3319,i3320,i3321,i3322,i3323,i3324,i3325,i3326,i3327,i3328,i3329,i3330,i3331,i3332
Vial,maa1,maa2,maa2,maa3,maa4,maa4,maa1,maa1,maa2,maa2,maa2,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa3,maa4,maa4,maa5,maa5,maa5,maa6,maa7,maa7,maa7,maa8,maa8,maa8,maa9,maa9,maa9,maa10,maa10,maa10,maa11,maa11,maa12,maa12,maa12,maa13,maa14,maa15,maa16,maa17,maa18
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
25,2.049,-1,2.222,2.123,-1,2.333,-1,2.103,2.298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,2.15,1.995,2.388,2.021,-1,1.852,-1,-1,-1,-1,2.04,-1,2.253,-1,-1,-1,,-1,-1,-1,2.099,2.015,2.09,2.253,2.323,-1
27,2.148,-1,2.327,2.17,-1,2.346,-1,2.165,2.198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.559,-1,-1,1.995,-1,-1,-1,-1,2.099,-1,-1,-1,-1,-1,,-1,-1,-1,2.017,2.049,2.014,2.267,2.321,-1
29,2.222,-1,2.322,-1,-1,2.314,-1,2.07,2.357,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.615,-1,-1,2.222,-1,-1,-1,-1,2.223,-1,-1,-1,-1,-1,,-1,-1,-1,2.166,2.108,2.222,2.296,2.29,-1
31,2.321,-1,2.321,-1,-1,2.257,-1,2.205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.528,-1,-1,2.168,-1,-1,-1,-1,2.06,-1,-1,-1,-1,-1,,-1,-1,-1,2.222,2.039,2.166,2.098,2.336,-1
33,2.219,-1,2.346,-1,-1,2.305,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.674,-1,-1,2.084,-1,-1,-1,-1,2.228,-1,-1,-1,-1,-1,,-1,-1,-1,2.065,2.245,2.083,2.234,2.346,-1
35,2.341,-1,2.346,-1,-1,2.394,-1,2.181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.537,-1,-1,2.107,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,,-1,-1,-1,2.187,2.198,2.031,2.217,2.132,-1
37,2.296,-1,2.444,-1,-1,2.502,-1,2.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.765,-1,-1,2.24,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,,-1,-1,-1,2.067,2.287,2.346,2.346,2.349,-1
39,2.395,-1,2.444,-1,-1,2.294,-1,2.187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.592,-1,-1,-1,-1,-1,-1,-1,2.197,-1,-1,-1,-1,-1,,-1,-1,-1,2.222,2.283,-1,2.341,2.321,-1
41,2.494,-1,2.469,-1,-1,2.364,-1,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.609,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.346,-1,2.259,2.238,-1
43,2.494,-1,2.439,-1,-1,2.457,-1,2.228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.815,-1,-1,-1,-1,-1,-1,-1,2.139,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.217,-1,2.346,-1,-1
45,2.543,-1,2.415,-1,-1,2.336,-1,2.377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.765,-1,-1,-1,-1,-1,-1,-1,2.29,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.363,-1,2.243,-1,-1
47,2.367,-1,2.5,-1,-1,2.502,-1,2.31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.77,-1,-1,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.395,-1,2.444,-1,-1
49,2.494,-1,2.469,-1,-1,2.457,-1,2.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.795,-1,-1,-1,-1,-1,-1,-1,2.2,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.33,-1,2.363,-1,-1
51,2.534,-1,2.38,-1,-1,2.358,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.889,-1,-1,-1,-1,-1,-1,-1,2.361,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.399,-1,2.439,-1,-1
53,2.546,-1,2.481,-1,-1,2.414,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.701,-1,-1,-1,-1,-1,-1,-1,2.414,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.485,-1,-1,-1,-1
55,2.519,-1,2.549,-1,-1,2.519,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.429,-1,-1,-1,-1
57,2.593,-1,2.449,-1,-1,2.478,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.864,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.498,-1,-1,-1,-1
59,2.616,-1,2.581,-1,-1,2.355,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.476,-1,-1,-1,-1
61,2.494,-1,2.431,-1,-1,2.425,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.593,-1,-1,-1,-1
63,2.57,-1,2.5,-1,-1,2.527,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.865,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.506,-1,-1,-1,-1
65,2.625,-1,2.43,-1,-1,2.58,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.331,-1,-1,-1,-1
67,-1,-1,2.558,-1,-1,2.617,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.736,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.349,-1,-1,-1,-1
69,-1,-1,2.457,-1,-1,na,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.555,-1,-1,-1,-1
71,-1,-1,2.352,-1,-1,na,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,2.988,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,-1,-1,2.658,-1,-1,2.667,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1
