Mom ID,i574,i2044,i560,i2044,i1956,i554,i1963,i1951,i2044,i1963,i574,i1952,i560,i1946,i574,i1952,i1973,NA,i1923,i1973,i1952,i1954,i1933,i1954,i1952,i560,i558,i1954,i1963,i551,i573,i573,i1916,i1978,i1976,i1989,i2070,i1933,i2044,i2068,i1920,i2048,i2050,i2050,i1937,i1982,i1959,i1966,i1936,i1996,i2048,i1916,i1936,i1982,i1943,o1989,i1967,i573,i2050,i1940,i1967,i1976,i1943,i2007,i2013,i1977,i2061,i1996,i1920,i2069,i2072,i1966,i2006,i1916,i2058,i2006,i1983,i1943,NA,i2045,i1977,i1970,i2045,i1995,i2056
Birthdate,38551,38577,38551,38577,38551,38571,38553,38569,38577,38553,38571,38577,38559,38555,38571,38555,38555,38571,38555,38563,38577,38555,38573,38555,38561,38559,38581,38561,38563,38563,38595,38605,38619,38627,38639,38641,38671,38583,38587,38597,38603,38605,38609,38619,38627,38635,38639,38659,38583,38599,38605,38611,38621,38635,38639,38647,38661,38595,38609,38621,38629,38645,38661,38673,38675,38679,38583,38599,38613,38631,38663,38665,38679,38597,38613,38663,38667,38681,38589,38597,38683,38587,38597,38685,38591
ID,i824,i825,i826,i827,i828,i829,i830,i831,i832,i833,i834,i835,i836,i837,i838,i839,i840,i841,i842,i843,i844,i845,i846,i847,i848,i849,i850,i851,i852,i853,i2238,i2239,i2240,i2241,i2242,i2243,i2244,i2245,i2246,i2247,i2248,i2249,i2250,i2251,i2252,i2253,i2254,i2255,i2256,i2257,i2258,i2259,i2260,i2261,i2262,i2263,i2264,i2265,i2266,i2267,i2268,i2269,i2270,i2271,i2272,i2273,i2274,i2275,i2276,i2277,i2278,i2279,i2333,i2334,i2335,i2336,i2337,i2338,i2339,i2340,i2341,i2342,i2343,i2344,i2345
Vial,G1,G1,G2,G2,G3,G3,G4,G4,G4,G5,G5,G5,G6,G7,G7,G8,G9,G9,G10,G10,G10,G11,G11,G12,G12,G13,G13,G14,G15,G16,g1,g1,g1,g1,g1,g1,g1,g2,g2,g2,g2,g2,g2,g2,g2,g2,g2,g2,g3,g3,g3,g3,g3,g3,g3,g3,g3,g4,g4,g4,g4,g4,g4,g4,g4,g4,g5,g5,g5,g5,g5,g5,g5,g6,g6,g6,g6,g6,g7,g7,g7,g8,g8,g8,g11
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
101,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
105,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
121,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
131,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
133,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,,-1,-1,,-1
