3,0.966,1.062,1.114,1.111,1.001,0.963,1.037,1.012,-1,1.012,1.133,0.963,0.889,1.062,0.914,0.963,1.012,1.111,0.988,1.136,0.889,1.062,1.012,1.086,1.012,0.889,0.938,1.062,1.086,0.988,0.963,1.111,1.062,0.963,1.086,1.062,1.111,0.961,0.988,0.963,0.801,0.963,,1.012,0.988,1.037,0.988,0.963,1.012,1.111,1.086,1.062,1.037,0.988,0.963,0.938,1.086,1.062,1.037,1.037,1.037,1.086
21,-1,1.63,1.975,-1,-1,-1,-1,-1,-1,-1,1.951,1.975,-1,2.074,-1,1.654,-1,-1,-1,-1,1.605,1.926,1.975,-1,-1,-1,-1,-1,-1,-1,1.432,-1,-1,,-1,-1,1.704,-1,1.778,1.358,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.63,-1,1.506,-1,1.531,1.481,-1,-1
23,-1,1.704,-1,-1,-1,-1,-1,-1,-1,-1,1.975,2.074,-1,2.198,-1,1.704,-1,-1,-1,-1,1.63,1.926,2.074,-1,-1,-1,-1,-1,-1,-1,1.457,-1,-1,,-1,-1,1.728,-1,1.827,1.333,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.584,-1,1.556,-1,NA,-1,-1,-1
25,-1,1.704,-1,-1,-1,-1,-1,-1,-1,-1,1.877,2.025,-1,2.173,-1,1.654,-1,-1,-1,-1,1.704,1.975,2.074,-1,-1,-1,-1,-1,-1,-1,1.506,-1,-1,,-1,-1,1.71,-1,1.852,1.358,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.728,-1,1.605,-1,-1,-1,-1,-1
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2.049,-1,2.198,-1,1.654,-1,-1,-1,-1,1.728,2.074,2.025,-1,-1,-1,-1,-1,-1,-1,1.396,-1,-1,,-1,-1,1.877,-1,1.951,1.383,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.605,-1,-1,-1,-1,-1
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.025,2.099,-1,2.074,-1,1.654,-1,-1,-1,-1,1.704,2.074,2.148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.901,-1,,1.432,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.605,-1,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.975,2.025,-1,2.173,-1,1.654,-1,-1,-1,-1,-1,2,2.074,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.901,-1,,1.432,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.975,2.074,-1,2.173,-1,1.605,-1,-1,-1,-1,-1,2.123,2.123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1.951,-1,,1.556,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.049,-1,2.173,-1,1.63,-1,-1,-1,-1,-1,2.123,2.123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,1.556,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,2.123,2.148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,1.415,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,2.099,2.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,1.556,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
