Mom ID,i580,i2061,i574,i2056,i574,i1923,i2056,i1963,i1952,i1970,i554,i2045,i558,i1951,i1952,i1952,i1973,i1923,i1952,i1954,i2071,i1954,i1970,i2045,i1942,i560,i1951,i2044,i1989,i1959,i2068,i1920,i2050,i2069,i2013,i1916,i573,i1916,i2067,i1967,i1944,i1967,i2013,i2070,i1977,i1977,i2045,i1940,i2048,i2050,i1961,i1944,i2013,i1996,i1920,i1940,i1976,i1943,i2006,i2053,i1943,i1933,i1996,i2058,i1983,i2051,i1936,i1977,i2061,i1952,NA,i589,i1916,i1940
Birthdate,38547,38577,38551,38553,38557,38561,38553,38553,38561,38579,38555,38575,38557,38569,38577,38555,38555,38555,38577,38555,38579,38555,38581,38581,38557,38559,38561,38587,38635,38639,38597,38603,38619,38631,38643,38597,38605,38611,38617,38629,38643,38661,38665,38671,38673,38679,38587,38597,38605,38609,38621,38643,38675,38599,38613,38621,38645,38661,38679,38663,38681,38583,38599,38613,38667,38683,38583,38685,38583,38587,38589,38591,38591,38591
ID,i797,i798,i799,i800,i801,i802,i803,i804,i805,i806,i807,i808,i809,i810,i811,i812,i813,i814,i815,i816,i817,i818,i819,i820,i821,i822,i823,i2191,i2192,i2193,i2194,i2195,i2196,i2197,i2198,i2199,i2200,i2201,i2202,i2203,i2204,i2205,i2206,i2207,i2208,i2209,i2210,i2211,i2212,i2213,i2214,i2215,i2216,i2217,i2218,i2219,i2220,i2221,i2222,i2223,i2224,i2225,i2226,i2227,i2228,i2229,i2230,i2231,i2232,i2233,i2234,i2235,i2236,i2237
Vial,F1,F1,F2,F3,F3,F3,F4,F5,F5,f5,f6,f6,F7,F7,F7,F8,F9,F10,F10,F11,F11,F12,F12,F13,F14,F15,F16,f1,f1,f1,f2,f2,f2,f2,f2,f3,f3,f3,f3,f3,f3,f3,f3,f3,f3,f3,f4,f4,f4,f4,f4,f4,f4,f5,f5,f5,f5,f5,f5,f6,f6,f7,f7,f7,f7,f7,f8,f8,f10,f10,f11,f12,f13,f14
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
35,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,1.866,-1,-1,-1,-1,1.913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.728,-1,1.951,-1,-1,-1,-1,1.951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,2.02,,-1,-1,-1,-1,-1,-1
37,-1,-1,2.025,-1,-1,-1,-1,-1,-1,-1,-1,1.877,-1,-1,-1,-1,1.866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.645,-1,1.952,-1,-1,-1,-1,1.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,1.975,,-1,-1,-1,-1,-1,-1
39,-1,-1,2.053,-1,-1,-1,-1,-1,-1,-1,-1,1.949,-1,-1,-1,-1,1.901,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.7,-1,1.975,-1,-1,-1,-1,1.967,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,1.976,,-1,-1,-1,-1,-1,-1
41,-1,-1,2.049,-1,-1,-1,-1,-1,-1,-1,-1,1.994,-1,-1,-1,-1,1.903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.778,-1,1.807,-1,-1,-1,-1,2.049,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,1.951,,-1,-1,-1,-1,-1,-1
43,-1,-1,2.025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.822,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.731,-1,,-1,-1,-1,-1,1.995,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,2.099,,-1,-1,-1,-1,-1,-1
45,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.59,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,1.913,,-1,-1,-1,-1,-1,-1
47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,2.026,,-1,-1,-1,-1,-1,-1
49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,2.099,,-1,-1,-1,-1,-1,-1
51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,-1
