Mom ID,i3540,i933,i3518,i931,i926,i3502,i3533,i3526,i3524,i3504,i3525,i3513,i924,i3533,i925,i931,i3502,i3505,i933,i3524,i941,i3539,i3513,i942,i936,i3502,i915,i3503,i3502,i3513,i3501,i3523,i3524,i925,i3527,i3502,i3505,i3506,i3610,i3534,i3512,i3514,i3528,i3642,i3502,i3530,i3511,i3505,i3532,i915,i3503,i3513,i3502,i3530,i3526,i3529,i3536
Birthdate,38505,38549,38509,38537,38569,38557,38509,38527,38509,38519,38559,38539,38543,38515,38531,38543,38563,38571,38579,38515,38579,38517,38535,38579,38531,38579,38517,38523,38579,38523,38535,38549,38523,38525,38543,38543,38587,38619,38635,38671,38679,38609,38635,38645,38569,38573,38587,38597,38659,38531,38535,38539,38547,38559,38565,38661,38667
ID,i1001,i1002,i1003,i1004,i1005,i1006,i1007,i1008,i1009,i1010,i1011,i1012,i1013,i1014,i1015,i1016,i1017,i1018,i1019,i1020,i1021,i1022,i1023,i1024,i1025,i1026,i1027,i1028,i1029,i1030,i1031,i1032,i1033,i1034,i1035,i1036,i3668,i3669,i3670,i3671,i3672,i3673,i3674,i3675,i3676,i3677,i3678,i3679,i3680,i3681,i3682,i3683,i3684,i3685,i3686,i3687,i3688
Vial,c1,c1,c2,c2,c2,c3,c4,c4,c5,c5,c5,c6,c6,c7,c7,c7,c7,c7,c7,c8,c8,c9,c9 (c16),c9,c10,c10,c11,c12,c12,c13,c13,c13,c14,c15,c18,c19,c1,c1,c1,c1,c1,c2,c2,c2,c3,c3,c3,c3,c3,c4,c4,c4,c4,c4,c4,c4,c5
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
13.000,2.040,1.684,2.178,1.925,1.963,-1.000,2.059,-1.000,-1.000,-1.000,1.916,-1.000,2.031,2.039,-1.000,1.968,-1.000,-1.000,1.838,2.068,1.622,2.000,2.115,-1.000,1.975,-1.000,1.950,2.015,-1.000,-1.000,-1.000,-1.000,2.076,1.939,-1.000,1.968,2.148,-1.000,1.975,-1.000,,-1.000,-1.000,1.975,-1.000,-1.000,-1.000,2.000,1.807,-1.000,-1.000,-1.000,-1.000,-1.000,1.876,1.647,-1.000
15.000,2.193,1.474,2.201,1.975,2.100,-1.000,2.101,-1.000,-1.000,-1.000,1.962,-1.000,2.099,1.950,-1.000,1.975,-1.000,-1.000,1.885,1.950,1.547,2.047,2.058,-1.000,2.093,-1.000,2.172,2.168,-1.000,-1.000,-1.000,-1.000,2.086,2.119,-1.000,-1.000,2.148,-1.000,1.951,-1.000,,-1.000,-1.000,1.877,-1.000,-1.000,-1.000,2.025,2.015,-1.000,-1.000,-1.000,-1.000,-1.000,2.034,1.951,-1.000
17.000,2.143,1.926,2.234,2.087,2.099,-1.000,-1.000,-1.000,-1.000,-1.000,2.160,-1.000,2.132,-1.000,-1.000,2.006,-1.000,-1.000,1.954,2.071,1.588,2.155,2.099,-1.000,2.051,-1.000,2.143,2.145,-1.000,-1.000,-1.000,-1.000,2.246,2.119,-1.000,-1.000,2.148,-1.000,2.074,-1.000,,-1.000,-1.000,1.975,-1.000,-1.000,-1.000,2.025,2.074,-1.000,-1.000,-1.000,-1.000,-1.000,2.120,1.927,-1.000
19.000,2.222,2.047,2.284,2.126,2.099,-1.000,-1.000,-1.000,-1.000,-1.000,2.007,-1.000,2.190,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.141,1.580,2.172,2.121,-1.000,2.169,-1.000,2.157,2.158,-1.000,-1.000,-1.000,-1.000,2.267,2.099,-1.000,-1.000,2.148,-1.000,2.117,-1.000,,-1.000,-1.000,2.031,-1.000,-1.000,-1.000,2.099,2.113,-1.000,-1.000,-1.000,-1.000,-1.000,2.121,1.975,-1.000
21.000,2.340,2.059,2.275,2.222,2.251,-1.000,-1.000,-1.000,-1.000,-1.000,2.120,-1.000,2.207,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.067,1.580,2.226,2.109,-1.000,2.222,-1.000,2.158,2.173,-1.000,-1.000,-1.000,-1.000,2.272,2.180,-1.000,-1.000,2.106,-1.000,2.099,-1.000,,-1.000,-1.000,2.074,-1.000,-1.000,-1.000,-1.000,2.222,-1.000,-1.000,-1.000,-1.000,-1.000,2.198,2.099,-1.000
23.000,2.250,2.076,2.383,2.146,2.191,-1.000,-1.000,-1.000,-1.000,-1.000,2.175,-1.000,2.222,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.166,1.580,2.225,2.272,-1.000,2.239,-1.000,2.265,2.224,-1.000,-1.000,-1.000,-1.000,2.404,2.122,-1.000,-1.000,2.272,-1.000,2.123,-1.000,,-1.000,-1.000,2.148,-1.000,-1.000,-1.000,-1.000,2.198,-1.000,-1.000,-1.000,-1.000,-1.000,2.222,2.123,-1.000
25.000,2.374,2.126,2.336,2.195,2.279,-1.000,-1.000,-1.000,-1.000,-1.000,2.154,-1.000,2.375,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.172,-1.000,2.284,2.242,-1.000,2.207,-1.000,2.345,2.292,-1.000,-1.000,-1.000,-1.000,2.284,2.158,-1.000,-1.000,2.272,-1.000,2.222,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.148,-1.000,-1.000,-1.000,-1.000,-1.000,2.183,2.198,-1.000
27.000,2.377,2.142,-1.000,2.318,2.232,-1.000,-1.000,-1.000,-1.000,-1.000,2.222,-1.000,2.288,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.201,-1.000,2.296,2.282,-1.000,2.346,-1.000,2.370,2.274,-1.000,-1.000,-1.000,-1.000,2.408,2.222,-1.000,-1.000,-1.000,-1.000,2.222,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.172,,-1.000
29.000,2.390,2.146,-1.000,2.247,2.107,-1.000,-1.000,-1.000,-1.000,-1.000,2.395,-1.000,2.357,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.222,-1.000,2.214,2.196,-1.000,2.296,-1.000,2.439,2.296,-1.000,-1.000,-1.000,-1.000,2.346,2.181,-1.000,-1.000,-1.000,-1.000,2.285,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.232,,-1.000
31.000,2.447,2.102,-1.000,-1.000,2.420,-1.000,-1.000,-1.000,-1.000,-1.000,2.195,-1.000,2.411,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.285,-1.000,2.148,2.272,-1.000,2.291,-1.000,2.488,2.400,-1.000,-1.000,-1.000,-1.000,2.479,2.254,-1.000,-1.000,-1.000,-1.000,2.370,-1.000,,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,2.307,,-1.000
