Mom ID,i3032,i3017,i1284,i3016,i3004,i3033,i1299,i1284,i1273,i3034,i3001,i3034,i3017,i3018,i3031,i3018,i3017,i3012,i3037,i3010,i3033,i3034,i3018,i1270,i3026,i3010,i3041,i1278,i1284,i3019,i3034,i1270,i1284,i1279,i3043,i3037,i3034,i3037,i3026,i1284,i3040,i3045,i3037,i1284,i3019,i3011,i3046,i3033,i1270,i3034,i3019,i3034,i1270,i1270,i3000,i1279,i3005,i3001,i3047,i3006,i3077,i3009,i3008,i3007,i3102,i3078,i1299,i3010,i3028,i3090,i3035,i3008,i3036,i3003,i3009,i3038,i3025,i1281,i1269,i3039,i3091,i3091,i3091,i3040,i3040,i3013,i3022,i3014,i3042,i3022,i1297,i3044,i3021
Birthdate,38497,38519,38543,38497,38515,38523,38547,38551,38579,38497,38517,38499,38519,38531,38577,38501,38507,38537,38531,38501,38509,38525,38531,38539,34561,38501,38523,38533,38543,38501,38517,38527,38551,38549,38501,38531,38517,38531,38539,38543,38575,38503,38509,38543,38507,38579,38507,38517,38539,38505,38517,38505,38523,38527,38527,38519,38545,38527,38543,38651,38661,38665,38669,38587,38655,38535,38547,38607,38617,38661,38671,38675,38601,38609,38671,38589,38591,38593,38595,38655,38661,38667,38685,38603,38631,38655,38619,38631,38661,38675,38595,38595,38603
ID,i1310,i1311,i1312,i1313,i1314,i1315,i1316,i1317,i1318,i1319,i3125,i1321,i1322,i1323,i1324,i1325,i1326,i1327,i1328,i1329,i1330,i1331,i1332,i1333,i1334,i1335,i1336,i1337,i1338,i1339,i1340,i1341,i1342,i1343,i1344,i1345,i1346,i1347,i1348,i1349,i1350,i1351,i1352,i1353,i1354,i1355,i1356,i1357,i1358,i1359,i1360,i1361,i1363,i1364,i1365,i1367,i1368,i1369,i1370,i3119,i3120,i3121,i3122,i3123,i3124,i3126,i3127,i3128,i3129,i3130,i3131,i3132,i3133,i3134,i3135,i3136,i3137,i3138,i3139,i3140,i3141,i3142,i3143,i3144,i3145,i3146,i3147,i3148,i3149,i3150,i3151,i3152,i3153
Vial,b1,b1,b1 (b13),b2,b2,b2,b2,b2 (b14),b2,b3,b3,b4,B4,b4,b4,b5,b5,b5,b5 (b15),b6,b6,b6,b6,b6,b6,b7,b7,b7 (b17),b7 (b16),b8,b8,b8,b8,b8 (b18),b9,b9,b10,b10,b10,b10,b10,b11,b11,b11,b12,b12,b13,b13,b13,b14,b14,b15,b16,b16,b17,b18,b3 (b19),b20,b20,b1,b1,b1,b1,b2,b2,b3,b3,b3,b3,b3,b3,b3,b4,b4,b4,b5,b5,b5,b5,b5,b5,b5,b5,b6,b6,b6,b7,b7,b7,b7,b8,b9,b9
Age,1,2,3,4,5,6,7,8,9,10,,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,56,57,58,59,60,61,62,63,64,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
13,2.075,1.862,1.926,1.9,-1,1.753,1.926,1.778,-1,-1,2.088,1.962,-1,1.933,1.877,-1,2.043,1.728,1.887,-1,-1,-1,-1,1.949,-1,-1,2.025,1.975,1.852,-1,-1,1.827,-1,1.852,1.881,1.915,-1,-1,-1,1.802,1.765,-1,2.009,1.827,1.992,-1,-1,1.914,-1,-1,1.999,1.785,-1,2,-1,2.043,1.877,-1,1.951,-1,-1,-1,1.726,1.966,1.867,-1,-1,-1,1.874,-1,-1,-1,-1,1.728,1.689,-1,-1,-1,1.778,-1,-1,-1,,1.798,-1,1.827,-1,-1,-1,-1,1.728,-1,1.78
15,2.142,1.94,1.926,1.954,-1,1.811,2.099,1.85,-1,-1,1.975,2.005,-1,1.852,1.951,-1,2.16,1.791,1.975,-1,-1,-1,-1,1.975,-1,-1,1.975,2.099,1.926,-1,-1,1.901,-1,1.926,2.043,1.877,-1,-1,-1,1.901,1.877,-1,1.998,1.877,1.99,-1,-1,2.018,-1,-1,1.94,1.914,-1,2,-1,2.069,1.877,-1,1.975,-1,-1,-1,1.882,1.97,1.827,-1,-1,-1,1.791,-1,-1,-1,-1,1.805,1.684,-1,-1,-1,1.942,-1,-1,-1,,1.846,-1,1.852,-1,-1,-1,-1,1.67,-1,1.836
17,2.108,1.975,1.951,-1,-1,1.852,2.099,1.939,-1,-1,2.099,2.147,-1,2.025,1.951,-1,2.2,1.951,2.025,-1,-1,-1,-1,2,-1,-1,2.123,2.123,2.099,-1,-1,1.894,-1,2.06,2.043,1.975,-1,-1,-1,1.802,1.951,-1,2.035,1.877,1.994,-1,-1,2.018,-1,-1,1.992,1.978,-1,-1,-1,2.074,2.049,-1,-1,-1,-1,-1,1.847,1.924,1.782,-1,-1,-1,1.941,-1,-1,-1,-1,1.892,,-1,-1,-1,2.012,-1,-1,-1,,1.914,-1,1.709,-1,-1,-1,-1,1.87,-1,1.914
19,2.199,2.043,2,-1,-1,1.852,2.157,2.074,-1,-1,-1,-1,-1,2.049,2.099,-1,2.225,1.951,2.099,-1,-1,-1,-1,1.951,-1,-1,2.049,2.094,2.099,-1,-1,1.926,-1,1.985,2.121,2.049,-1,-1,-1,1.827,-1,-1,2.147,2.025,2.083,-1,-1,2.099,-1,-1,2.074,1.951,-1,-1,-1,2.147,2.025,-1,-1,-1,-1,-1,,2.063,1.938,-1,-1,-1,2.099,-1,-1,-1,-1,1.975,,-1,-1,-1,1.829,-1,-1,-1,,1.928,-1,1.784,-1,-1,-1,-1,1.859,-1,1.875
21,-1,2.049,2.099,-1,-1,1.937,-1,1.926,-1,-1,-1,-1,-1,2.072,-1,-1,2.38,2,2.143,-1,-1,-1,-1,2.025,-1,-1,2.005,2.148,2.173,-1,-1,1.975,-1,2.123,2.115,2.045,-1,-1,-1,1.852,-1,-1,2.152,2.025,2.043,-1,-1,2.121,-1,-1,2.147,2.031,-1,-1,-1,2.247,1.954,-1,-1,-1,-1,-1,,2.198,1.875,-1,-1,-1,1.971,-1,-1,-1,-1,2.052,,-1,-1,-1,1.881,-1,-1,-1,,1.911,-1,2.002,-1,-1,-1,-1,1.912,-1,1.816
23,-1,2.049,2.099,-1,-1,1.975,-1,2.025,-1,-1,-1,-1,-1,2.074,-1,-1,2.352,2,2.148,-1,-1,-1,-1,2.025,-1,-1,2.049,2.198,2.165,-1,-1,2.025,-1,2.148,2.154,2.123,-1,-1,-1,1.919,-1,-1,2.147,2.097,2.117,-1,-1,-1,-1,-1,2.173,2.199,-1,-1,-1,2.247,1.89,-1,-1,-1,-1,-1,,2.079,2.01,-1,-1,-1,2.065,-1,-1,-1,-1,2.08,,-1,-1,-1,1.897,-1,-1,-1,,1.986,-1,2.003,-1,-1,-1,-1,1.989,-1,1.993
25,-1,2.164,2.192,-1,-1,-1,-1,2.074,-1,-1,-1,-1,-1,2.123,-1,-1,2.431,2,2.148,-1,-1,-1,-1,2.123,-1,-1,2.099,2.272,2.21,-1,-1,-1,-1,-1,2.217,2.074,-1,-1,-1,-1,-1,-1,2.225,2.245,2.25,-1,-1,-1,-1,-1,2.173,-1,-1,-1,-1,2.213,2.123,-1,-1,-1,-1,-1,,2.172,1.987,-1,-1,-1,1.991,-1,-1,-1,-1,2.009,,-1,-1,-1,1.965,-1,-1,-1,,2.067,-1,2.062,-1,-1,-1,-1,1.949,-1,1.98
27,-1,2.173,2.148,-1,-1,-1,-1,2.074,-1,-1,-1,-1,-1,2.123,-1,-1,2.457,2,2.148,-1,-1,-1,-1,2.192,-1,-1,2,2.37,2.296,-1,-1,-1,-1,-1,2.25,2.099,-1,-1,-1,-1,-1,-1,2.247,2.272,2.25,-1,-1,-1,-1,-1,2.203,-1,-1,-1,-1,2.321,2.222,-1,-1,-1,-1,-1,,2.226,2.003,-1,-1,-1,2.074,-1,-1,-1,-1,2.148,,-1,-1,-1,1.955,-1,-1,-1,,-1,-1,2.117,-1,-1,-1,-1,2.024,-1,2.107
29,-1,2.272,2.148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.148,-1,-1,2.469,2.045,2.198,-1,-1,-1,-1,2.172,-1,-1,2.113,2.37,2.272,-1,-1,-1,-1,-1,2.256,2.123,-1,-1,-1,-1,-1,-1,2.38,2.222,2.296,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,2.37,2.222,-1,-1,-1,-1,-1,,2.323,2.08,-1,-1,-1,1.996,-1,-1,-1,-1,2.182,,-1,-1,-1,2.076,-1,-1,-1,,-1,-1,2.192,-1,-1,-1,-1,2.013,-1,2.083
31,-1,2.272,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,2.247,-1,-1,-1,-1,2.272,-1,-1,2.247,2.37,2.272,-1,-1,-1,-1,-1,-1,2.123,-1,-1,-1,-1,-1,-1,2.321,2.247,2.199,-1,-1,-1,-1,-1,2.296,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,,2.177,2.149,-1,-1,-1,1.95,-1,-1,-1,-1,2.208,,-1,-1,-1,2.127,-1,-1,-1,,-1,-1,2.085,-1,-1,-1,-1,1.991,-1,2.039
33,-1,2.25,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,2.222,-1,-1,-1,-1,2.272,-1,-1,2.222,2.451,2.321,-1,-1,-1,-1,-1,-1,2.198,-1,-1,-1,-1,-1,-1,-1,2.346,2.247,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,2.296,-1,-1,-1,-1,-1,,2.302,,-1,-1,-1,2.272,-1,-1,-1,-1,2.038,,-1,-1,-1,2.15,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.126,-1,2.173
35,-1,2.321,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.246,-1,-1,-1,-1,2.386,-1,-1,-1,-1,-1,-1,-1,2.272,-1,2.195,-1,-1,-1,-1,-1,-1,2.296,-1,-1,-1,-1,-1,-1,-1,2.346,2.296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.291,-1,-1,-1,-1,-1,,2.377,,-1,-1,-1,2.223,-1,-1,-1,-1,2.198,,-1,-1,-1,2.04,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.062,-1,2.054
37,-1,2.321,2.289,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.416,-1,-1,-1,-1,2.426,-1,-1,-1,-1,-1,-1,-1,2.395,-1,2.321,-1,-1,-1,-1,-1,-1,2.295,-1,-1,-1,-1,-1,-1,-1,2.282,2.234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,,na,,-1,-1,-1,2.196,-1,-1,-1,-1,2.086,,-1,-1,-1,2.109,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.189,-1,2.142
39,-1,2.321,2.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,-1,2.346,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,,2.248,,-1,-1,-1,2.198,-1,-1,-1,-1,2.203,,-1,-1,-1,2.234,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.083,-1,2.096
41,-1,2.395,2.42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.42,-1,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,-1,2.346,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.341,-1,-1,-1,-1,-1,,2.307,,-1,-1,-1,2.204,-1,-1,-1,-1,2.321,,-1,-1,-1,2.296,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.321,-1,2.222
43,-1,2.395,2.303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,2.283,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.429,-1,-1,-1,-1,-1,,2.418,,-1,-1,-1,-1,-1,-1,-1,-1,2.279,,-1,-1,-1,2.13,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.142,-1,2.229
45,-1,2.42,2.422,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.463,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,-1,-1,2.365,2.371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,,2.283,,-1,-1,-1,-1,-1,-1,-1,-1,2.213,,-1,-1,-1,2.12,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.295,-1,2.272
47,-1,2.52,2.519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.42,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,2.346,2.395,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.296,-1,-1,-1,-1,-1,,2.443,,-1,-1,-1,-1,-1,-1,-1,-1,2.346,,-1,-1,-1,2.201,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.209,-1,2.321
49,-1,-1,2.444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.481,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.42,-1,-1,-1,-1,-1,-1,2.398,-1,-1,-1,-1,-1,-1,-1,2.395,2.444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,-1,-1,,2.469,,-1,-1,-1,-1,-1,-1,-1,-1,2.246,,-1,-1,-1,2.296,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.395,-1,2.314
51,-1,-1,2.568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,2.444,2.519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.494,-1,-1,-1,-1,-1,,2.352,,-1,-1,-1,-1,-1,-1,-1,-1,2.259,,-1,-1,-1,2.307,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.197,-1,2.349
53,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.444,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.543,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,2.543,2.519,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.494,-1,-1,-1,-1,-1,,2.354,,-1,-1,-1,-1,-1,-1,-1,-1,2.374,,-1,-1,-1,2.299,-1,-1,-1,,-1,-1,,-1,-1,-1,-1,2.227,-1,2.296
