Mom ID,i25,i1,i25,i11,i67,i3,i90,i14,i102,i82,i34,i28,i68,i77,i10,i82,i16,i102,i22,i4,i23,i8,i12,i21,i3,i17,i90,i35,i11,i36,i5,i102,i104,i12,i36,i1,i37,I2283,i1683,i1666,i2292,i1649,i2291,i86,i2293,i2294,i2280,i31,i2290,i1656,i48,i2295,i2283,i2296,i2288,i2283,i2283
Birth date,38501,38505,38517,38547,38569,38505,38575,38505,38545,38551,38573,38505,38537,38527,38507,38579,38507,38545,38507,38509,38523,38509,38511,38521,38547,38511,38567,38577,38519,38519,38523,38527,38539,38523,38523,38527,38571,38621,38637,38675,38627,38639,38597,38605,38651,38603,38657,38595,38631,38661,38601,38661,38601,38601,38603,38601,38601
ID,i110,i111,i112,i113,i114,i115,i116,i117,i118,i119,i120,i121,i122,i123,i124,i125,i126,i127,i128,i129,i130,i131,i132,i133,i134,i135,i136,i137,i138,i139,i140,i141,i142,i143,i144,i145,i1684,i1685,i1686,i1687,i1688,i1689,i1690,i1691,i1692,i1693,i1694,i1695,i1696,i1697,i1698,i1699,i1700,i1701,i1702,i1703,i1704
Vial,b1,b2,b2,b2 (part of b15),b2,b3,b3,b4,b4,b4 (part of b20),b4,b5,b5 (part of b19),b5 (b13),b6,b6,b7,b7,b8,b9,b9 (b18),b10,b11,b11,b11 (part of b16),b12,b12,b12,b14,b15,b16,b16,b16,b17,b19,b20,b1,b1,b1,b1,b2,b2,b3,b4,b4,b5,b5,b6,b6,b6,b7,b7,b8,b9,b10,b11,b12
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
21,2.103,-1,2.295,2.247,2.222,2.42,2.321,2.333,-1,-1,2,2.349,2.247,2.336,2.294,-1,2.241,2.198,2.359,2.385,2.342,2.333,-1,2.258,2.296,2.313,-1,2.222,na,na,-1,-1,-1,2.087,-1,2.192,2.272,-1,2.099,,-1,2.173,2.198,2.198,2.222,2.222,2.296,2.222,-1,-1,2.296,-1,2.025,2.198,2.123,2.099,2.099
23,2.142,-1,na,-1,2.222,2.335,-1,2.383,-1,-1,2.173,2.352,2.346,2.259,2.346,-1,2.487,2.198,2.359,2.356,2.294,2.424,-1,2.403,2.346,2.425,-1,2.247,2.332,2.265,-1,-1,-1,2.166,-1,2.252,2.346,-1,2.198,,-1,2.247,2.222,2.222,2.148,2.272,2.222,2.296,-1,-1,2.296,-1,2.099,2.198,2.123,2.198,2
25,2.174,-1,2.382,-1,2.321,2.513,-1,2.346,-1,-1,2.222,2.487,2.346,2.388,2.472,-1,2.556,2.346,2.415,2.39,2.337,2.382,-1,2.468,2.296,2.415,-1,-1,2.421,-1,-1,-1,-1,2.237,-1,-1,2.346,-1,2.222,,-1,2.247,2.222,2.321,2.222,-1,2.222,2.222,-1,-1,2.321,-1,2.272,2.222,-1,2.222,-1
27,2.173,-1,2.454,-1,2.37,2.494,-1,2.499,-1,-1,2.148,2.493,-1,2.375,2.522,-1,2.517,2.296,2.431,2.393,2.401,2.36,-1,2.407,2.444,2.464,-1,-1,2.391,-1,-1,-1,-1,2.191,-1,-1,2.37,-1,2.222,,-1,2.272,2.222,2.321,2.346,-1,2.321,2.321,-1,-1,2.321,-1,2.272,-1,-1,2.222,-1
29,2.256,-1,2.375,-1,2.37,2.513,-1,2.523,-1,-1,2.148,2.513,-1,2.395,2.568,-1,2.497,2.346,2.497,2.497,2.432,2.53,-1,2.488,2.444,na,-1,-1,2.405,-1,-1,-1,-1,2.23,-1,-1,2.37,-1,2.198,,-1,2.272,2.222,2.228,2.222,-1,2.321,2.272,-1,-1,2.272,-1,2.272,-1,-1,2.222,-1
31,2.315,-1,2.513,-1,2.395,2.528,-1,2.557,-1,-1,2.099,2.535,-1,2.395,2.507,-1,2.454,2.37,2.497,na,2.463,na,-1,2.493,2.469,2.438,-1,-1,2.431,-1,-1,-1,-1,2.364,-1,-1,2.37,-1,2.143,,-1,2.317,2.222,2.346,2.222,-1,,2.272,-1,-1,2.346,-1,2.272,-1,-1,2.222,-1
33,2.375,-1,2.468,-1,2.395,2.58,-1,2.529,-1,-1,-1,2.523,-1,2.444,na,-1,na,2.42,na,2.411,2.42,2.48,-1,2.53,2.469,2.575,-1,-1,2.493,-1,-1,-1,-1,2.396,-1,-1,2.395,-1,2.222,,-1,2.272,2.247,2.346,2.222,-1,,2.272,-1,-1,2.222,-1,2.116,-1,-1,2.244,-1
35,2.438,-1,2.4,-1,2.346,na,-1,na,-1,-1,-1,na,-1,2.395,2.639,-1,2.361,2.519,2.486,2.541,2.469,2.498,-1,2.543,2.469,2.585,-1,-1,2.468,-1,-1,-1,-1,2.359,-1,-1,2.42,-1,2.222,,-1,2.346,2.321,2.395,2.321,-1,,-1,-1,-1,2.444,-1,2.37,-1,-1,2.099,-1
37,2.456,-1,2.528,-1,2.346,2.532,-1,2.658,-1,-1,-1,2.61,-1,2.469,2.572,-1,2.664,2.469,2.588,2.506,2.568,2.547,-1,2.543,2.469,2.657,-1,-1,-1,-1,-1,-1,-1,2.519,-1,-1,2.593,-1,-1,,-1,2.346,2.294,2.395,,-1,,-1,-1,-1,2.346,-1,2.346,-1,-1,2.296,-1
39,na,-1,2.543,-1,2.37,2.686,-1,-1,-1,-1,-1,2.624,-1,2.543,2.595,-1,-1,2.469,2.569,2.492,2.519,2.646,-1,-1,2.568,2.64,-1,-1,-1,-1,-1,-1,-1,2.519,-1,-1,2.667,-1,-1,,-1,2.395,2.321,2.391,,-1,,-1,-1,-1,2.37,-1,2.247,-1,-1,2.346,-1
41,2.445,-1,2.593,-1,2.444,2.709,-1,-1,-1,-1,-1,2.646,-1,2.543,2.671,-1,-1,2.444,2.574,2.539,2.568,2.571,-1,-1,2.519,2.66,-1,-1,-1,-1,-1,-1,-1,2.519,-1,-1,2.593,-1,-1,,-1,2.444,2.222,2.469,,-1,,-1,-1,-1,2.469,-1,2.272,-1,-1,2.222,-1
43,2.436,-1,2.519,-1,2.444,2.712,-1,-1,-1,-1,-1,2.695,-1,2.543,2.665,-1,-1,2.469,2.637,2.499,2.642,2.641,-1,-1,2.519,2.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.321,-1,2.568,,-1,,-1,-1,-1,2.26,-1,2.082,-1,-1,-1,-1
45,2.566,-1,-1,-1,2.543,2.641,-1,-1,-1,-1,-1,2.625,-1,2.469,2.66,-1,-1,2.519,2.468,2.59,2.519,2.664,-1,-1,2.568,2.716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.42,-1,2.436,,-1,,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1
47,2.654,-1,-1,-1,2.543,2.772,-1,-1,-1,-1,-1,2.703,-1,2.593,2.624,-1,-1,2.444,2.697,2.617,2.543,2.593,-1,-1,2.667,2.716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,2.321,-1,-1,,-1,,-1,-1,-1,2.42,-1,-1,-1,-1,-1,-1
49,2.593,-1,-1,-1,-1,2.734,-1,-1,-1,-1,-1,2.712,-1,2.593,2.642,-1,-1,2.469,2.691,2.617,2.543,2.593,-1,-1,2.691,2.716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,2.399,-1,-1,-1,-1,-1,-1
51,2.593,-1,-1,-1,-1,2.79,-1,-1,-1,-1,-1,2.593,-1,2.444,2.642,-1,-1,2.519,2.691,-1,2.617,2.667,-1,-1,2.642,2.691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,2.593,-1,-1,-1,-1,2.79,-1,-1,-1,-1,-1,-1,-1,2.568,2.716,-1,-1,2.543,2.691,-1,2.691,2.617,-1,-1,2.642,2.815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,2.617,-1,-1,-1,-1,2.79,-1,-1,-1,-1,-1,-1,-1,2.593,2.691,-1,-1,-1,2.691,-1,2.667,2.617,-1,-1,-1,2.716,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
57,2.617,-1,-1,-1,-1,2.815,-1,-1,-1,-1,-1,-1,-1,2.593,2.765,-1,-1,-1,2.691,-1,2.716,2.617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,2.519,-1,-1,-1,-1,2.864,-1,-1,-1,-1,-1,-1,-1,2.593,2.716,-1,-1,-1,2.691,-1,2.691,2.617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
61,2.568,-1,-1,-1,-1,2.765,-1,-1,-1,-1,-1,-1,-1,2.593,2.741,-1,-1,-1,2.642,-1,2.716,2.617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
63,2.667,-1,-1,-1,-1,2.815,-1,-1,-1,-1,-1,-1,-1,2.593,2.728,-1,-1,-1,-1,-1,2.691,2.617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,-1,-1,-1,-1,-1,2.84,-1,-1,-1,-1,-1,-1,-1,2.568,2.716,-1,-1,-1,-1,-1,2.667,2.691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
67,-1,-1,-1,-1,-1,2.84,-1,-1,-1,-1,-1,-1,-1,2.543,-1,-1,-1,-1,-1,-1,2.691,2.691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,-1,-1,-1,-1,-1,2.79,-1,-1,-1,-1,-1,-1,-1,2.691,-1,-1,-1,-1,-1,-1,-1,2.691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.642,-1,-1,-1,-1,-1,-1,-1,2.568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,-1,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
