Mom ID,i3518,i919,i3516,i3530,i3510,i3513,i924,i3533,i3526,i3511,i3524,i3535,i3533,i3503,i931,i941,i3537,i3538,i3502,i3510,i915,i3539,i3513,i3526,i3527,i915,i3502,i3510,i3519,i3523,i935,i948,i3513,i3524,i3501,i3527,i915,i3513,i3530,i3530,i3530,i3523,i3521,i3505,i3528,i3617,i3529,i3617,i3514,i3506,i3642,i3642,i3531,i3532,i3506,i3532,i3617,i3534,i916,i3536,i3511
Birthdate,38511,38535,38569,38569,38509,38539,38543,38509,38565,38577,38509,38529,38515,38535,38543,38579,38515,38519,38547,38517,38531,38535,38517,38527,38579,38517,38579,38523,38527,38543,38547,38547,38523,38523,38535,38543,38525,38535,38543,38537,38543,38549,38585,38597,38635,38649,38661,38671,38609,38619,38641,38645,38657,38665,38609,38659,38667,38667,38587,38667,38587
ID,i958,i959,i960,i961,i962,i963,i964,i965,i966,i967,i968,i969,i971,i972,i973,i974,i975,i976,i977,i978,i979,i980,i981,i982,i983,i984,i985,i986,i987,i988,i989,i990,i991,i992,i993,i994,i995,i996,i997,i998,i999,i1000,i3649,i3650,i3651,i3652,i3653,i3654,i3655,i3656,i3657,i3658,i3659,i3660,i3661,i3662,i3663,i3664,i3665,i3666,i3667
Vial,b1,b1,b1,b2,b3,b3,b3,b4,b4,b4,b5,b5,b6,b6,b6,b6,b7,b8,b8 (b14),b9,b9,b9,b10,b10,b10,b11,b11,b12,b12,b12,b12,b12 (b13),b13,b14,b14,b14,b15,b18,b18,b19,b20,b20,b1,b1,b1,b1,b1,b1,b2,b2,b2,b2,b2,b2,b3,b3,b3,b4,b5,b5,b7
Age,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
21,-1,2.23,-1,2.193,2.25,-1,2.137,2.125,-1,2.301,-1,2.166,-1,-1,2.15,2.321,1.973,2.245,2.145,-1,-1,2.215,-1,2.234,-1,2.365,-1,-1,-1,-1,-1,2.294,2.222,-1,-1,-1,2.242,-1,-1,-1,-1,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.198,-1,-1,-1,-1,2.254,,2.177
23,-1,2.296,-1,2.141,2.386,-1,2.198,2.27,-1,2.346,-1,2.222,-1,-1,-1,2.321,2.059,2.156,2.17,-1,-1,2.198,-1,2.239,-1,2.425,-1,-1,-1,-1,-1,2.296,-1,-1,-1,-1,2.271,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.346,,2.321
25,-1,2.297,-1,2.215,2.407,-1,2.226,2.189,-1,2.42,-1,2.212,-1,-1,-1,2.321,2.101,2.074,2.264,-1,-1,2.213,-1,2.247,-1,2.396,-1,-1,-1,-1,-1,2.233,-1,-1,-1,-1,2.288,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.346,,2.321
27,-1,2.277,-1,2.205,2.354,-1,2.282,-1,-1,2.395,-1,2.261,-1,-1,-1,2.222,2.16,2.237,2.268,-1,-1,2.261,-1,2.247,-1,2.395,-1,-1,-1,-1,-1,2.288,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.346,,2.37
29,-1,2.191,-1,2.167,2.275,-1,2.295,-1,-1,2.37,-1,2.222,-1,-1,-1,2.325,2.173,2.373,2.322,-1,-1,2.236,-1,2.329,-1,2.415,-1,-1,-1,-1,-1,2.409,-1,-1,-1,-1,2.343,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.469,,2.37
31,-1,2.198,-1,2.42,-1,-1,2.257,-1,-1,2.442,-1,2.308,-1,-1,-1,2.37,2.173,2.379,2.233,-1,-1,2.37,-1,2.469,-1,2.38,-1,-1,-1,-1,-1,2.528,-1,-1,-1,-1,2.403,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.444,,2.37
33,-1,-1,-1,2.395,-1,-1,2.265,-1,-1,2.519,-1,2.323,-1,-1,-1,2.444,2.212,-1,2.308,-1,-1,2.396,-1,2.413,-1,2.459,-1,-1,-1,-1,-1,2.388,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.395,,2.37
35,-1,-1,-1,2.346,-1,-1,2.283,-1,-1,2.444,-1,2.338,-1,-1,-1,2.444,2.252,-1,2.38,-1,-1,2.355,-1,2.43,-1,2.42,-1,-1,-1,-1,-1,2.383,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,2.469,,2.37
37,-1,-1,-1,2.321,-1,-1,2.344,-1,-1,2.469,-1,2.321,-1,-1,-1,2.444,2.321,-1,2.372,-1,-1,2.453,-1,2.491,-1,2.456,-1,-1,-1,-1,-1,2.495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,2.37
39,-1,-1,-1,-1,-1,-1,2.275,-1,-1,2.444,-1,2.339,-1,-1,-1,2.444,2.269,-1,-1,-1,-1,2.449,-1,2.519,-1,2.508,-1,-1,-1,-1,-1,2.543,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,-1,,2.444
