Vial,a3,a5,a6,a13,a12,a15,i3043,a5,a9,a12,a12,a24,a21,a19,a16,a7,a32,a1,a8,a33,a6,a18,a24,a14,a2,a9,a4,a24,a22,a21,a29,a11,a20,a7,a48,a2,a14,a11,a7,a11,a16,a20,a1,a36,a2,a44,a26,a40,a42,a56,a10,a10,a25,a22,a23,a21,a17,a47,a1,a16,a6,a3,a3,a15,a12,a8,a5,a23,a8
Birth Date,38493,38493,38597,38595,38505,38535,38613,38509,38629,38647,38493,38521,38509,38599,38607,38615,38489,38493,38493,38493,38535,38535,38597,38627,38497,38521,38503,38509,38597,38599,38501,38545,38491,38497,38489,38657,38591,38493,38551,38631,38537,38509,38509,38491,38585,38491,38493,38495,38495,38489,38505,38491,38493,38505,38519,38639,38517,38495,38541,38639,38493,38533,38585,38595,38531,38639,38569,38597,38547
ID,i3000,i3001,i3002,i3003,i3004,i3005,i3006,i3007,i3008,i3009,i3010,i3011,i3012,i3013,i3014,i3015,i3016,i3017,i3018,i3019,i3020,i3021,i3022,i3023,i3024,i3025,i3026,i3027,i3028,i3029,i3030,i3031,i3032,i3033,i3034,i3035,i3036,i3037,i3038,i3039,i3040,i3041,i3042,i3043,i3044,i3045,i3046,i3047,i3048,i3049,i3050,i3051,i3052,i3053,i3054,i3055,i3056,i3057,i3058,i3059,i3060,i3061,i3062,i3063,i3064,i3065,i3066,i3067,i3068
