Mom ID,i3500,i931,i3501,i3504,i3503,i3505,i3508,i3509,i3510,i3510,i3513,i3510,i3503,i3503,i3510,i915,i3510,i3503,i3518,i3519,i3502,i3513,i931,i3510,i3520,i948,i952,i3510,i935,i3519,i3513,i3509,i3523,i3524,i3503,i915,i3509,i3513,i3502,i3527,i3520,i3648,i938,i3646,i3610,i3617,i3506,i3507,i3511,i3648,i938,i3507,i3507,i3512,i3512,i921,i3514,i3507,i3642,i3515,i3514,i3516,i3507,i3606,i3515,i3517,i938,i3642,i3606,i3617,i3517,i3642,i3632,i3646,i941,i3517,i3519,i3646,i3519,i3610,i3519,i3521,i941,i3522,i3519,i933,i3502,i3522,i3525,i3526
23,25,,,,,12,,,12,12,9,,,,,18,,12,,10,12,,11,11,9,9,11,,,,18,21,7,,,,,,,,,,3,,,,,6,,,,7,,,,,,,5,,,,,3,,,,,,,,,9,5,,,,,,0,,,,4,,,,3,,7
25,28,,,,,14,,,12,12,9,,,,,21,,14,,10,12,,15,15,9,12,15,,,,19,21,8,,,,,,,,,,,,,,,6,,,,7,,,,,,,5,,,,,5,,,,,,,,,10,5,,,,,,,,,,7,,,,5,,7
27,31,,,,,14,,,12,12,12,,,,,21,,14,,10,,,15,17,9,16,15,,,,19,24,8,,,,,,,,,,,,,,,8,,,,7,,,,,,,7,,,,,5,,,,,,,,,14,,,,,,,,,,,9,,,,5,,9
29,,,,,,18,,,12,12,13,,,,,27,,16,,12,,,17,,9,16,15,,,,22,24,,,,,,,,,,,,,,,,10,,,,9,,,,,,,9,,,,,,,,,,,,,,14,,,,,,,,,,,9,,,,,,12
31,,,,,,18,,,12,15,13,,,,,28,,18,,12,,,17,,9,19,18,,,,23,24,,,,,,,,,,,,,,,,10,,,,9,,,,,,,11,,,,,,,,,,,,,,17,,,,,,,,,,,10,,,,,,12
33,,,,,,20,,,12,17,15,,,,,28,,18,,12,,,19,,10,23,18,,,,23,,,,,,,,,,,,,,,,,13,,,,10,,,,,,,11,,,,,,,,,,,,,,17,,,,,,,,,,,10,,,,,,12
35,,,,,,24,,,13,18,15,,,,,29,,19,,12,,,21,,10,23,18,,,,27,,,,,,,,,,,,,,,,,13,,,,11,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,12
37,,,,,,24,,,13,18,15,,,,,29,,19,,12,,,21,,11,26,18,,,,29,,,,,,,,,,,,,,,,,13,,,,11,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,
39,,,,,,25,,,16,,15,,,,,33,,22,,15,,,25,,11,29,20,,,,29,,,,,,,,,,,,,,,,,16,,,,11,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
41,,,,,,25,,,16,,,,,,,36,,22,,15,,,27,,13,29,20,,,,,,,,,,,,,,,,,,,,,16,,,,11,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
43,,,,,,,,,16,,,,,,,36,,22,,15,,,27,,13,31,20,,,,,,,,,,,,,,,,,,,,,16,,,,11,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
45,,,,,,,,,16,,,,,,,37,,23,,16,,,31,,,31,20,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
47,,,,,,,,,16,,,,,,,37,,23,,16,,,31,,,34,21,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
49,,,,,,,,,16,,,,,,,40,,23,,16,,,31,,,34,21,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
51,,,,,,,,,16,,,,,,,43,,23,,16,,,34,,,37,21,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
53,,,,,,,,,16,,,,,,,43,,24,,16,,,34,,,,21,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,
55,,,,,,,,,16,,,,,,,46,,24,,16,,,36,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
57,,,,,,,,,,,,,,,,46,,25,,16,,,36,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
59,,,,,,,,,,,,,,,,50,,25,,16,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
61,,,,,,,,,,,,,,,,50,,25,,17,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
63,,,,,,,,,,,,,,,,53,,25,,17,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
65,,,,,,,,,,,,,,,,57,,27,,17,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
67,,,,,,,,,,,,,,,,57,,27,,17,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
69,,,,,,,,,,,,,,,,57,,27,,17,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
71,,,,,,,,,,,,,,,,57,,27,,17,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
73,,,,,,,,,,,,,,,,,,27,,17,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
