ID,Eggrate,AOD,Geno,Treat,Mat
i476,0.5,9,2C,0.017,N
i478,0.75,9,2C,0.017,N
i496,0.159649123,41,2C,0.017,N
i497,0.286377709,39,2C,0.017,N
i499,0.286764706,41,2C,0.017,N
i502,0.18452381,23,2C,0.017,N
i503,0.155194805,47,2C,0.017,N
i505,0.287719298,43,2C,0.017,N
i1889,0.057692308,31,2C,0.017,N
i1890,0.063636364,27,2C,0.017,N
i1891,0.3,13,2C,0.017,N
i1892,0.045454545,27,2C,0.017,N
i1896,0.257894737,43,2C,0.017,N
i1898,0.566666667,23,2C,0.017,N
i1901,0.074819401,43,2C,0.017,N
i1902,0.220238095,21,2C,0.017,N
i1904,0.071428571,19,2C,0.017,N
i1907,0.428571429,19,2C,0.017,N
i1908,0.053571429,19,2C,0.017,N
i520,0.107142857,17,2C,0.013,N
i521,0.087009804,39,2C,0.013,N
i526,0.116462736,63,2C,0.013,N
i528,0.109090909,25,2C,0.013,N
i529,0.262337662,45,2C,0.013,N
i530,0.436263736,31,2C,0.013,N
i534,0.178571429,19,2C,0.013,N
i536,0.392857143,17,2C,0.013,N
i1909,0.086617406,61,2C,0.013,N
i1911,0.221929825,43,2C,0.013,N
i1912,0.05,35,2C,0.013,N
i1913,0.157264957,57,2C,0.013,N
i854,0.582107843,37,4B,0.025,N
i855,0.535714286,17,4B,0.025,N
i857,0.426623377,45,4B,0.025,N
i858,0.15,11,4B,0.025,N
i859,0.214285714,29,4B,0.025,N
i860,0.675213675,57,4B,0.025,N
i862,0.708333333,25,4B,0.025,N
i2308,0.209558824,41,4B,0.025,N
i2309,0.266666667,23,4B,0.025,N
i2311,0.75,11,4B,0.025,N
i2312,0.128676471,39,4B,0.025,N
i2313,0.545454545,23,4B,0.025,N
i2316,0.128947368,43,4B,0.025,N
i2323,0.166666667,41,4B,0.025,N
i2327,0.326923077,29,4B,0.025,N
i2332,1.107142857,19,4B,0.025,N
i865,0.131794872,57,4B,0.021,N
i867,0.089285714,25,4B,0.021,N
i875,0.408333333,21,4B,0.021,N
i877,0.50826087,51,4B,0.021,N
i878,0.190909091,25,4B,0.021,N
i2387,0.631773399,59,4B,0.021,N
i2388,0.532330827,43,4B,0.021,N
i2393,0.253246753,47,4B,0.021,N
i2394,0.362637363,33,4B,0.021,N
i2395,0.191071429,35,4B,0.021,N
i2397,0.371428571,47,4B,0.021,N
i2402,0.487662338,47,4B,0.021,N
i2406,0.56969697,23,4B,0.021,N
i2411,0.06990232,57,4B,0.021,N
i2412,0.394883204,63,4B,0.021,N
i2413,0.187464709,47,4B,0.021,N
i2416,0.286363636,25,4B,0.021,N
i2418,0.12377451,37,4B,0.021,N
i885,0.35,15,4B,0.017,N
i886,0.366666667,21,4B,0.017,N
i887,0.3,13,4B,0.017,N
i888,0.75,11,4B,0.017,N
i889,0.132467532,45,4B,0.017,N
i890,0.141758242,33,4B,0.017,N
i2367,0.086813187,35,4B,0.017,N
i2368,0.116233766,47,4B,0.017,N
i2371,0.324175824,31,4B,0.017,N
i2372,0.8,13,4B,0.017,N
i2374,0.263736264,35,4B,0.017,N
i2376,0.411403509,43,4B,0.017,N
i2377,0.356043956,33,4B,0.017,N
i2382,0.395454545,25,4B,0.017,N
i2383,0.589285714,19,4B,0.017,N
i2384,0.433333333,21,4B,0.017,N
i2385,0.654761905,19,4B,0.017,N
i2386,0.625,19,4B,0.017,N
i892,0.281578947,41,4B,0.013,N
i893,0.388596491,41,4B,0.013,N
i894,0.65,13,4B,0.013,N
i896,0.233516484,29,4B,0.013,N
i899,0.15083426,65,4B,0.013,N
i900,0.55,11,4B,0.013,N
i901,0.154347826,55,4B,0.013,N
i902,0.044117647,35,4B,0.013,N
i905,0.188811189,27,4B,0.013,N
i907,0.178461538,55,4B,0.013,N
i2346,0.095045045,77,4B,0.013,N
i2362,0.131257631,59,4B,0.013,N
i2363,0.30717109,47,4B,0.013,N
i2364,0.341911765,37,4B,0.013,N
i1199,0.226778656,51,GLEN,0.025,N
i1201,0.174565217,53,GLEN,0.025,N
i1202,0.446428571,17,GLEN,0.025,N
i1204,0.818181818,25,GLEN,0.025,N
i1205,0.568111455,39,GLEN,0.025,N
i1206,0.736363636,25,GLEN,0.025,N
i3742,1.3,13,GLEN,0.025,N
i1213,0.75,13,GLEN,0.021,N
i1217,0.227819549,45,GLEN,0.021,N
i1219,1.058333333,21,GLEN,0.021,N
i3746,0.409090909,25,GLEN,0.021,N
i3750,0.8,15,GLEN,0.021,N
i3752,0.15,11,GLEN,0.021,N
i3753,0.127272727,27,GLEN,0.021,N
i3761,0.071428571,19,GLEN,0.021,N
i3764,0.25,11,GLEN,0.021,N
i3767,0.410714286,19,GLEN,0.021,N
i3768,0.142857143,23,GLEN,0.021,N
i3770,0.7,23,GLEN,0.021,N
i3771,0.466666667,21,GLEN,0.021,N
i3772,0.675,21,GLEN,0.021,N
i1231,0.260384615,53,GLEN,0.017,N
i1235,0.769230769,29,GLEN,0.017,N
i1237,0.042307692,55,GLEN,0.017,N
i1238,0.689230769,53,GLEN,0.017,N
i1244,0.648214286,33,GLEN,0.017,N
i1245,0.673076923,29,GLEN,0.017,N
i1246,0.50619195,39,GLEN,0.017,N
i3774,0.196753247,47,GLEN,0.017,N
i3775,0.238095238,27,GLEN,0.017,N
i3787,0.571428571,21,GLEN,0.017,N
i1247,0.47012987,45,GLEN,0.013,N
i1249,0.321465428,43,GLEN,0.013,N
i1251,0.234265734,27,GLEN,0.013,N
i1256,0.040909091,25,GLEN,0.013,N
i1257,0.029644269,49,GLEN,0.013,N
i1258,0.5,21,GLEN,0.013,N
i1261,0.363636364,23,GLEN,0.013,N
i3790,0.4,13,GLEN,0.013,N
i3791,0.381118881,29,GLEN,0.013,N
i3795,0.204545455,27,GLEN,0.013,N
i1588,1.063306452,65,RAMSEY,0.025,N
i1590,0.376336898,73,RAMSEY,0.025,N
i1591,0.440909091,27,RAMSEY,0.025,N
i1593,0.510447214,69,RAMSEY,0.025,N
i3289,0.532467532,49,RAMSEY,0.025,N
i3304,0.25,13,RAMSEY,0.025,N
i3307,0.645454545,25,RAMSEY,0.025,N
i3309,0.703030303,71,RAMSEY,0.025,N
i1595,0.58506016,71,RAMSEY,0.021,N
i1596,0.513986014,27,RAMSEY,0.021,N
i1597,0.071428571,25,RAMSEY,0.021,N
i1600,0.350735294,39,RAMSEY,0.021,N
i1604,0.476923077,33,RAMSEY,0.021,N
i1607,0.63381535,65,RAMSEY,0.021,N
i1609,0.302973827,91,RAMSEY,0.021,N
i1611,0.663054696,41,RAMSEY,0.021,N
i1612,0.640441176,37,RAMSEY,0.021,N
i1613,0.041666667,19,RAMSEY,0.021,N
i1616,0.395604396,31,RAMSEY,0.021,N
i1617,0.343406593,31,RAMSEY,0.021,N
i1618,0.699300699,27,RAMSEY,0.021,N
i1619,0.827380952,21,RAMSEY,0.021,N
i1620,0.333919022,71,RAMSEY,0.021,N
i1621,0.875,21,RAMSEY,0.021,N
i3334,0.328627894,49,RAMSEY,0.021,N
i3337,0.3,11,RAMSEY,0.021,N
i3338,0.201003086,61,RAMSEY,0.021,N
i3339,0.254679803,61,RAMSEY,0.021,N
i3340,0.426573427,31,RAMSEY,0.021,N
i3341,0.346491228,79,RAMSEY,0.021,N
i3344,0.25,23,RAMSEY,0.021,N
i3349,0.379230769,55,RAMSEY,0.021,N
i3351,0.166056166,61,RAMSEY,0.021,N
i3355,0.47443609,49,RAMSEY,0.021,N
i3358,0.198107448,67,RAMSEY,0.021,N
i3359,0.190977444,47,RAMSEY,0.021,N
i3366,0.215441176,39,RAMSEY,0.021,N
i3368,0.282967033,33,RAMSEY,0.021,N
i3372,0.3,15,RAMSEY,0.021,N
i3375,0.188306452,69,RAMSEY,0.021,N
i3380,0.714285714,17,RAMSEY,0.021,N
i3381,0.372405372,59,RAMSEY,0.021,N
i3382,0.343391499,59,RAMSEY,0.021,N
i1623,0.645604396,33,RAMSEY,0.017,N
i1624,0.821428571,19,RAMSEY,0.017,N
i1626,0.232142857,21,RAMSEY,0.017,N
i1628,0.224384236,65,RAMSEY,0.017,N
i1629,0.100889878,65,RAMSEY,0.017,N
i3385,0.15537805,81,RAMSEY,0.017,N
i3388,0.233333333,23,RAMSEY,0.017,N
i3389,0.4,17,RAMSEY,0.017,N
i3405,0.208992095,53,RAMSEY,0.017,N
i3407,0.101932951,91,RAMSEY,0.017,N
i3408,0.6,11,RAMSEY,0.017,N
i3411,0.205652174,53,RAMSEY,0.017,N
i3415,0.3,15,RAMSEY,0.017,N
i1632,0.4,13,RAMSEY,0.013,N
i1634,0.75,9,RAMSEY,0.013,N
i1636,0.284482759,61,RAMSEY,0.013,N
i1637,0.023199023,59,RAMSEY,0.013,N
i1639,0.181034483,61,RAMSEY,0.013,N
i1640,0.75,11,RAMSEY,0.013,N
i1646,0.090909091,29,RAMSEY,0.013,N
i3419,0.022077922,49,RAMSEY,0.013,N
i3420,0.30989011,33,RAMSEY,0.013,N
