Mom ID,i691,i650,i650,i650,i650,i688,i688,i669,i666,i651,i2118,i651,i651,i2118,i2112,i651,i2115,i2119,i2115,i2115,i2115,i2110,i2110,i2115,i2115,i2113,i2113,i2115,i2115
Birthdate,38557,38557,38557,38557,38557,38561,38561,38589,38593,38599,38639,38609,38617,38639,38673,38609,38641,38681,38641,38651,38685,38659,38661,38661,38661,38665,38665,38667,38667
ID,i885,i886,i887,i888,i889,i890,i891,i2365,i2366,i2367,i2368,i2369,i2370,i2371,i2372,i2373,i2374,i2375,i2376,i2377,i2378,i2379,i2380,i2381,i2382,i2383,i2384,i2385,i2386
Vial,MC1,MC2,MC3,MC4,MC5,MC6,MC7,mc1,mc1,mc1,mc1,mc2,mc2,mc2,mc2,mc3,mc3,mc3,mc4,mc5,mc5,mc6,mc6,mc7,mc8,mc9,mc10,mc11,mc12
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,,-1,,-1,-1,-1,,,,,
