Mom Id,i1914,i560,i560,i571,i1914,i560,i1917,i1919,i544,i560,i1921,i1922,i1923,i1925,i547,i1914,i1926,i560,i1927,i1925,i556,i1933,i1932,i1935,i544,i1936,i1938,i1939,i1923,i1936,i1941,i1939,i1942,i1923,i1945,i553,i1946,i1942,i1947,i1936,i1948,i1942,i1949,i1950,i1951,i1952,i1949,i1927,i547,i1942,i1922,i1915,i1916,i1978,i1978,i1918,i2007,i1918,i1916,i1920,i1995,i1995,i1998,i1998,i1924,i1915,i1920,i2013,i1928,i1929,i1930,i1931,i1996,i1929,i1934,i2013,i579,i546,i1928,i1937,i569,i573,i1940,i1929,i1943,i1944,i2020,i589,i1928,i1930,i1916,i1916,i2020,i1940,i1937,i589,i1953,i1954
Birth Date,38505,38539,38545,38539,38505,38545,38533,38505,38521,38545,38549,38519,38575,38505,38529,38507,38517,38545,38519,38507,38527,38573,38577,38513,38521,38577,38515,38551,38555,38577,38515,38529,38565,38579,38517,38521,38545,38565,38533,38577,38517,38565,38577,38519,38563,38567,38577,38519,38529,38565,38519,38613,38615,38627,38661,38605,38681,38605,38615,38619,38657,38657,38679,38679,38681,38607,38619,38661,38607,38611,38617,38631,38633,38583,38647,38661,38591,38599,38607,38631,38593,38599,38607,38611,38661,38653,38593,38599,38607,38617,38619,38619,38593,38607,38631,38599,38565,38579
ID,i540,i541,i542,i543,i544,i545,i546,i547,i548,i549,i550,i551,i552,i553,i554,i555,i556,i557,i558,i559,i560,i561,i562,i563,i564,i565,i566,i567,i568,i569,i570,i571,i572,i573,i574,i575,i576,i577,i578,i579,i580,i581,i582,i583,i584,i585,i586,i587,i588,i589,i590,i1974,i1975,i1976,i1977,i1978,i1979,i1980,i1981,i1982,i1983,i1984,i1985,i1986,i1987,i1988,i1989,i1990,i1991,i1992,i1993,i1994,i1995,i1996,i1997,i1998,i1999,i2000,i2001,i2002,i2003,i2004,i2005,i2006,i2007,i2008,i2009,i2010,i2011,i2012,i2013,i2014,i2015,i2016,i2017,i2018,i2019,i2020
Vial,aa1,aa1,aa1,aa1 (from part of aa18),aa2,aa2,aa2 (aa17),aa3,aa4,aa4,aa4,aa4 (part of aa16),aa4,aa5,aa5,aa6,aa6,aa6,aa6 (part of aa15),aa7,aa7,aa7,aa7,aa8,aa8,aa8,aa9,aa9,aa9 (part of aa12),aa9,aa10,aa10,aa10,aa10,aa11,aa12,aa12,aa12,aa18,aa12,aa13,aa13,aa13,aa14,aa14,aa14,aa14,aa15,aa15,aa15,aa16,aa1,aa1,aa1,aa1,aa2,aa2,aa3,aa3,aa3,aa3,aa4,aa4,aa3,aa3,aa5,aa5,aa5,aa6,aa6,aa6,aa6,aa6,aa7,aa7,aa7,aa8,aa8,aa8,aa8,aa9,aa9,aa9,aa9,aa10,aa10,aa11,aa11,aa11,aa11,aa11,aa12,aa13,aa13,aa13,aa14,aa16,aa16
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
13,2.187,-1,-1,2.173,2.095,-1,2.099,2.29,2.121,-1,-1,2.099,1.877,2.041,2.025,-1,2.192,-1,1.852,1.759,2.198,-1,-1,-1,2.147,1.96,2.216,-1,-1,2.113,2.109,1.975,1.891,1.943,2.143,2.121,-1,-1,-1,2.091,2.086,-1,-1,1.91,-1,-1,-1,-1,-1,2.016,-1,-1,-1,1.963,1.975,1.931,-1,-1,-1,1.894,2.168,2.024,-1,-1,-1,-1,1.903,2.099,-1,-1,-1,-1,1.708,1.928,-1,1.975,-1,-1,1.898,1.975,-1,-1,-1,1.893,2.049,-1,-1,-1,-1,-1,1.887,1.891,-1,-1,-1,-1,-1,2.025
15,2.328,-1,-1,2.173,2.199,-1,2.099,2.354,2.148,-1,-1,2.099,2.071,2.147,2.247,-1,2.319,-1,1.951,1.94,2.198,-1,-1,-1,2.173,-1,2.246,-1,-1,2.07,-1,2.123,-1,2.177,2.175,2.247,-1,-1,-1,2.04,2.106,-1,-1,2.018,-1,-1,-1,-1,-1,2.198,-1,-1,-1,2,2.093,2.003,-1,-1,-1,2.173,2.222,2.198,-1,-1,-1,-1,2,2.164,-1,-1,-1,-1,1.919,1.95,-1,1.996,-1,-1,2.098,2.037,-1,-1,-1,2.012,2.034,-1,-1,-1,-1,-1,2.173,1.975,-1,-1,-1,-1,-1,2.15
17,2.328,-1,-1,2.222,2.225,-1,2.099,2.38,2.173,-1,-1,2.099,2.138,2.276,2.247,-1,2.328,-1,2.049,-1,2.198,-1,-1,-1,2.199,-1,2.289,-1,-1,-1,-1,2.222,-1,2.083,2.25,2.431,-1,-1,-1,2.166,2.147,-1,-1,2.148,-1,-1,-1,-1,-1,2.191,-1,-1,-1,2.074,2.123,2.049,-1,-1,-1,2.114,2.272,-1,-1,-1,-1,-1,2.067,2.321,-1,-1,-1,-1,1.98,2.122,-1,2.074,-1,-1,2.088,2.054,-1,-1,-1,2.074,2.198,-1,-1,-1,-1,-1,2.061,2.057,-1,-1,-1,-1,-1,2.133
19,2.417,-1,-1,2.179,2.335,-1,2.247,2.432,2.272,-1,-1,2.247,2.184,2.153,2.296,-1,2.296,-1,2.049,-1,2.321,-1,-1,-1,2.37,-1,2.276,-1,-1,-1,-1,2.272,-1,2.106,2.247,2.37,-1,-1,-1,2.107,2.198,-1,-1,2.225,-1,-1,-1,-1,-1,2.18,-1,-1,-1,2.168,2.206,2.04,-1,-1,-1,2.141,2.048,-1,-1,-1,-1,-1,2.014,2.139,-1,-1,-1,-1,2.133,NA,-1,2.117,-1,-1,2.108,2.061,-1,-1,-1,1.999,2.034,-1,-1,-1,-1,-1,2.017,2.016,-1,-1,-1,-1,-1,2.193
21,2.535,-1,-1,2.207,2.38,-1,2.296,2.406,2.272,-1,-1,2.222,2.211,2.302,2.42,-1,2.38,-1,2.015,-1,2.37,-1,-1,-1,2.37,-1,2.296,-1,-1,-1,-1,2.272,-1,2.319,2.38,2.444,-1,-1,-1,2.216,2.121,-1,-1,2.222,-1,-1,-1,-1,-1,2.222,-1,-1,-1,2.193,2.233,2.046,-1,-1,-1,2.104,-1,-1,-1,-1,-1,-1,2.071,2.198,-1,-1,-1,-1,2.075,2.159,-1,2.192,-1,-1,2.099,1.969,-1,-1,-1,2.073,2.115,-1,-1,-1,-1,-1,2.005,1.965,-1,-1,-1,-1,-1,2.326
23,2.426,-1,-1,2.406,2.395,-1,2.208,2.509,-1,-1,-1,2.346,2.248,-1,2.37,-1,2.395,-1,2.194,-1,2.37,-1,-1,-1,2.37,-1,2.483,-1,-1,-1,-1,2.272,-1,2.33,2.346,-1,-1,-1,-1,2.267,2.272,-1,-1,2.067,-1,-1,-1,-1,-1,2.272,-1,-1,-1,2.239,2.42,2.247,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,2.247,2.346,-1,-1,-1,-1,2.206,2.15,-1,2.37,-1,-1,2.102,2.232,-1,-1,-1,2.099,2.198,-1,-1,-1,-1,-1,2.198,2.099,-1,-1,-1,-1,-1,2.247
25,2.519,-1,-1,2.285,2.46,-1,2.267,2.487,-1,-1,-1,2.346,2.247,-1,2.42,-1,-1,-1,2.235,-1,2.469,-1,-1,-1,2.395,-1,2.395,-1,-1,-1,-1,2.346,-1,2.326,2.296,-1,-1,-1,-1,2.373,2.272,-1,-1,2.296,-1,-1,-1,-1,-1,2.26,-1,-1,-1,2.243,2.261,2.053,-1,-1,-1,2.296,-1,-1,-1,-1,-1,-1,2.247,2.253,-1,-1,-1,-1,2.138,2.227,-1,2.269,-1,-1,-1,2.454,-1,-1,-1,2.183,2.216,-1,-1,-1,-1,-1,2.272,2.099,-1,-1,-1,-1,-1,2.338
27,2.545,-1,-1,2.395,2.538,-1,2.291,2.549,-1,-1,-1,2.429,2.323,-1,2.381,-1,-1,-1,2.272,-1,2.469,-1,-1,-1,2.519,-1,2.395,-1,-1,-1,-1,2.346,-1,2.343,2.444,-1,-1,-1,-1,-1,2.296,-1,-1,2.296,-1,-1,-1,-1,-1,2.269,-1,-1,-1,NA,-1,2.251,-1,-1,-1,2.303,-1,-1,-1,-1,-1,-1,2.219,-1,-1,-1,-1,-1,2.33,2.303,-1,-1,-1,-1,-1,2.157,-1,-1,-1,2.185,-1,-1,-1,-1,-1,-1,2.121,2.09,-1,-1,-1,-1,-1,2.347
29,2.613,-1,-1,2.255,2.457,-1,2.319,2.561,-1,-1,-1,2.313,2.444,-1,2.523,-1,-1,-1,2.342,-1,2.446,-1,-1,-1,2.519,-1,2.395,-1,-1,-1,-1,2.356,-1,2.318,2.519,-1,-1,-1,-1,-1,2.296,-1,-1,2.346,-1,-1,-1,-1,-1,2.172,-1,-1,-1,2.413,-1,2.247,-1,-1,-1,2.29,-1,-1,-1,-1,-1,-1,2.155,-1,-1,-1,-1,-1,2.414,2.246,-1,-1,-1,-1,-1,2.384,-1,-1,-1,2.132,-1,-1,-1,-1,-1,-1,2.237,1.955,-1,-1,-1,-1,-1,2.309
31,2.494,-1,-1,2.299,2.6,-1,2.347,2.543,-1,-1,-1,2.541,2.412,-1,2.53,-1,-1,-1,2.358,-1,2.59,-1,-1,-1,2.469,-1,2.543,-1,-1,-1,-1,2.412,-1,2.285,2.593,-1,-1,-1,-1,-1,2.296,-1,-1,2.346,-1,-1,-1,-1,-1,2.177,-1,-1,-1,-1,-1,2.215,-1,-1,-1,2.356,-1,-1,-1,-1,-1,-1,2.303,-1,-1,-1,-1,-1,2.321,2.296,-1,-1,-1,-1,-1,2.347,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,2.369,2.105,-1,-1,-1,-1,-1,2.413
