Mom ID,i3016,i3043,i3060,i3037,i3052,i3043,i3045,i3043,i3043,i3043,na,i3034,i3037,i3027,i3046,i3047,i3046,i3011,i1266,i3011,i1266,i1287,i1278,i1262,i3046,i3047,i3048,na,i3019,i3047,i3047,i1264,i1270,i1270,i3020,i3058,i3031,i3047,i3047,i3025,i3056,i3012,i1278,i1274,i3021,i3061,i3021,i1270,i3011,i3011,i3012,i3012,i3012,i3015,i3090,i3089,i3011,i3015,i3059,i3091,i1281,i3014,i3029,i3036,i1297,i3036,na,i3025,i3028,i3040,i3062,i3063,i3035
Birthdate,38497,38499,38501,38501,38501,38501,38501,38505,38505,38505,38509,38507,38509,38517,38523,38521,38517,38531,38541,38531,38541,38539,38533,38523,38517,38533,38537,38541,38521,38533,38537,38535,38517,38535,38547,38551,38567,38547,38547,38549,38543,38543,38579,38519,38569,38577,38579,38517,38579,38579,38543,38543,38547,38649,38661,38685,38531,38655,38661,38679,38593,38655,38619,38621,38595,38601,38655,38587,38607,38603,38607,38631,38677
ID,i1416,i1417,i1418,i1419,i1420,i1423,i1424,i1426,i1427,i1428,i1430,i1437,i1439,i1440,i1441,i1442,i1443,i1444,i1445,i1446,i1447,i1449,i1450,i1451,i1452,i1453,i1454,i1455,i1456,i1457,i1458,i1459,i1461,i1462,i1463,i1464,i1465,i1466,i1467,i1468,i1469,i1470,i1471,i1472,i1473,i1474,i1475,i1476,i1477,i1478,i1479,i1480,i1481,i3164,i3165,i3166,i3167,i3168,i3169,i3170,i3171,i3172,i3173,i3174,i3175,i3176,i3177,i3178,i3179,i3180,i3181,i3182,i3183
Vial,d1,d3,d4,d5,d6,d8,d9,d11,d12,d13,d15,d10,d9,d8,d5,d7,d14,d2,d2,d4,d5,d6,d7,d8,d9,d9,d9,d9,d11,d11,d11,d12,d16,d16,d1,d1,d1,d2,d2 (d13),d3 (d18),d4,d4 (d14),d4,d6 (d17),d6,d7,d9,d10 (part of d15),d10,d11,d12,d16,d16,d1,d1,d1,d2,d2,d2,d2,d3,d3,d4,d5,d6,d6,d6,d7,d7,d8,d9,d9,d9
Age,1,3,4,5,6,8,9,11,12,13,15,22,24,25,26,27,28,29,30,31,32,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
15,1.978,1.98,2.018,-1,1.94,-1,-1,-1,-1,1.578,-1,1.829,-1,-1,1.888,-1,1.759,-1,-1,-1,1.852,-1,1.827,1.888,-1,-1,-1,1.926,-1,-1,1.934,-1,-1,-1,-1,-1,1.827,1.901,1.728,1.951,1.506,1.654,1.951,1.94,1.852,-1,1.728,1.888,-1,1.704,1.728,-1,2.025,-1,1.539,-1,-1,-1,-1,,1.827,1.728,1.473,1.531,-1,1.919,1.951,1.864,1.516,1.659,-1,-1,-1
17,1.912,2.121,2.095,-1,2.043,-1,-1,-1,-1,1.861,-1,1.871,-1,-1,1.951,-1,1.862,-1,-1,-1,1.901,-1,1.827,1.951,-1,-1,-1,1.951,-1,-1,1.877,-1,-1,-1,-1,-1,1.901,1.901,1.728,2.099,1.506,1.654,1.901,1.852,1.868,-1,1.852,1.94,-1,1.704,1.926,-1,-1,-1,1.698,-1,-1,-1,-1,,1.799,1.76,1.58,1.512,-1,2.007,1.854,-1,1.532,1.609,-1,-1,-1
19,1.914,2.121,2.199,-1,-1,-1,-1,-1,-1,1.977,-1,1.888,-1,-1,-1,-1,1.877,-1,-1,-1,1.951,-1,1.967,1.951,-1,-1,-1,1.901,-1,-1,2.025,-1,-1,-1,-1,-1,1.95,1.901,1.852,2.041,1.531,1.753,1.951,1.992,1.979,-1,1.852,2,-1,1.704,2.025,-1,-1,-1,1.732,-1,-1,-1,-1,,1.897,1.796,1.532,1.525,-1,1.997,1.827,-1,1.573,1.766,-1,-1,-1
21,2.069,2.121,2.131,-1,-1,-1,-1,-1,-1,1.94,-1,2.018,-1,-1,-1,-1,1.94,-1,-1,-1,1.951,-1,2.025,1.939,-1,-1,-1,1.951,-1,-1,2.099,-1,-1,-1,-1,-1,2.016,2.007,1.785,1.975,-1,1.753,1.95,1.975,1.951,-1,-1,1.992,-1,1.852,1.951,-1,-1,-1,-1,-1,-1,-1,-1,,1.952,1.843,1.526,1.627,-1,1.988,1.857,-1,1.597,1.821,-1,-1,-1
23,2.121,2.211,-1,-1,-1,-1,-1,-1,-1,2.018,-1,1.863,-1,-1,-1,-1,2,-1,-1,-1,1.951,-1,1.975,1.951,-1,-1,-1,-1,-1,-1,2.025,-1,-1,-1,-1,-1,1.951,-1,1.852,2.049,-1,1.852,1.956,2,1.926,-1,-1,2.025,-1,1.81,2.049,-1,-1,-1,-1,-1,-1,-1,-1,,1.889,1.875,1.646,1.704,-1,1.92,1.976,-1,1.638,1.759,-1,-1,-1
25,2.162,2.199,-1,-1,-1,-1,-1,-1,-1,2.116,-1,2.018,-1,-1,-1,-1,-1,-1,-1,-1,1.951,-1,2.074,1.975,-1,-1,-1,-1,-1,-1,2.148,-1,-1,-1,-1,-1,2,-1,1.852,2.049,-1,1.94,1.87,2.303,-1,-1,-1,2.049,-1,1.856,2.078,-1,-1,-1,-1,-1,-1,-1,-1,,2.052,1.815,1.654,1.605,-1,2.074,2.008,-1,1.524,1.896,-1,-1,-1
27,2.166,2.218,-1,-1,-1,-1,-1,-1,-1,2.069,-1,2.018,-1,-1,-1,-1,-1,-1,-1,-1,2.057,-1,2.123,2.049,-1,-1,-1,-1,-1,-1,2.099,-1,-1,-1,-1,-1,2.099,-1,1.926,2.049,-1,1.951,1.965,2,-1,-1,-1,2.012,-1,1.813,2.099,-1,-1,-1,-1,-1,-1,-1,-1,,2.015,1.831,1.595,1.705,-1,2,2.062,-1,1.658,1.866,-1,-1,-1
29,2.242,2.147,-1,-1,-1,-1,-1,-1,-1,2.147,-1,2.025,-1,-1,-1,-1,-1,-1,-1,-1,1.975,-1,2.272,2.038,-1,-1,-1,-1,-1,-1,2.198,-1,-1,-1,-1,-1,2.099,-1,2,2.123,-1,1.926,1.975,2.049,-1,-1,-1,2.222,-1,2.017,2.222,-1,-1,-1,-1,-1,-1,-1,-1,,2.063,1.887,1.646,1.827,-1,2.073,2.156,-1,1.778,1.828,-1,-1,-1
31,2.225,2.322,-1,-1,-1,-1,-1,-1,-1,2.099,-1,2.147,-1,-1,-1,-1,-1,-1,-1,-1,1.975,-1,2.148,2.198,-1,-1,-1,-1,-1,-1,2.2,-1,-1,-1,-1,-1,2.099,-1,2.074,2.123,-1,1.926,2.033,2.099,-1,-1,-1,2.099,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,,1.998,1.925,1.852,1.697,-1,1.902,2.109,-1,1.691,2,-1,-1,-1
33,2.256,2.25,-1,-1,-1,-1,-1,-1,-1,2.225,-1,2.074,-1,-1,-1,-1,-1,-1,-1,-1,1.951,-1,2.173,2.173,-1,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,2.151,-1,2.025,2.148,-1,1.733,2.047,2.15,-1,-1,-1,2.222,-1,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,,2.105,,1.685,1.752,-1,2.073,,-1,1.683,2.074,-1,-1,-1
