Mom ID,i1955,i2043,i2043,i1954,i546,i1925,i1946,i1923,i1925,i547,i556,i1946,i566,i564,i1923,i1958,i547,i583,i1923,i1970,i1914,i1923,i2044,i2046,i2043,i2046,i2043,i583,i583,i1923,i2052,i1950,i1972,i1939,i1941,i1939,i556,i1956,i1923,i1956,i2046,i2045,i1945,i1954,i2055,i2047,i575,i1954,i1956,i1954,i570,i1956,i583,i1986,i1949,i2048,i1959,i1957,i1934,i1937,NA,i2049,i1930,i2050,i1916,i1969,i1940,i2051,i1943,i1995,i1952,i1954,i2002,i2053,i2054,i1933
Birthdate,38497,38513,38523,38575,38579,38497,38533,38579,38497,38523,38533,38539,38543,38555,38579,38505,38529,38535,38539,38579,38507,38545,38561,38511,38517,38535,38517,38529,38535,38545,38513,38519,38515,38529,38515,38529,38533,38539,38545,38551,38519,38579,38517,38545,38517,38517,38533,38545,38529,38545,38523,38529,38535,38589,38593,38601,38643,38675,38653,38627,38589,38619,38613,38629,38601,38661,38621,38661,38681,38685,38567,38579,38665,38685,38631,38589
ID,i644,i645,i646,i647,i648,i649,i650,i651,i652,i653,i654,i655,i656,i657,i658,i659,i660,i661,i662,i663,i664,i665,i666,i667,i668,i669,i670,i671,i672,i673,i674,i675,i676,i677,i678,i679,i680,i681,i682,i683,i684,i685,i686,i687,i688,i689,i690,i691,i692,i693,i694,i695,i696,i2107,i2108,i2109,i2110,i2111,i2112,i2113,i2114,i2115,i2116,i2117,i2118,i2119,i2120,i2121,i2122,i2123,i2124,i2125,i2126,i2127,i2128,i2129
Vial,C1,c1,c1,c1,c1,c2,c2 (c17),c2,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4 (part of c16),c4,c5,c5,c5,c6,c6,c6 (c18),c7,c7,c7,c7,c8,c8,c9,c9,c10,c10,c10,c10,c10,c10,c10 (c14),c10,c11,c11,c12,c13,c13,c13,c15,c15,c16,c16,c16,c1,c1,c1,c1,c1,c2,c3,c4,c4,c5,c5,c6,c6,c7,c7,c7,c7,c8,c8,c8,c8,c9,c10
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
35,-1,-1,2.255,-1,-1,2.377,2.37,2.338,-1,-1,-1,-1,-1,-1,2.099,-1,-1,-1,2.236,-1,-1,-1,2.284,-1,2.321,2.397,-1,-1,-1,2.568,-1,2.222,-1,2.253,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.294,-1,2.247,-1,2.099,2.364,,-1,-1,-1,,-1,2.444,-1,,-1,-1
37,-1,-1,2.267,-1,-1,2.406,2.357,2.341,-1,-1,-1,-1,-1,-1,2.214,-1,-1,-1,2.209,-1,-1,-1,2.173,-1,-1,2.387,-1,-1,-1,2.574,-1,2.222,-1,2.321,-1,-1,-1,-1,-1,-1,2.353,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.321,-1,2.276,-1,2.019,2.224,,-1,-1,-1,,-1,2.349,-1,,-1,-1
39,-1,-1,2.229,-1,-1,2.469,2.386,2.301,-1,-1,-1,-1,-1,-1,2.177,-1,-1,-1,2.263,-1,-1,-1,2.222,-1,-1,2.2,-1,-1,-1,2.519,-1,2.201,-1,2.395,-1,-1,-1,-1,-1,-1,2.332,-1,-1,-1,2.493,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.248,-1,2.163,-1,2.156,2.174,,-1,-1,-1,,-1,2.258,-1,,-1,-1
41,-1,-1,2.305,-1,-1,2.561,2.372,2.383,-1,-1,-1,-1,-1,-1,2.177,-1,-1,-1,-1,-1,-1,-1,2.406,-1,-1,2.358,-1,-1,-1,2.519,-1,2.288,-1,2.307,-1,-1,-1,-1,-1,-1,2.351,-1,-1,-1,2.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.359,-1,2.202,-1,2.127,2.321,,-1,-1,-1,,-1,2.311,-1,,-1,-1
43,-1,-1,-1,-1,-1,2.469,2.286,2.237,-1,-1,-1,-1,-1,-1,2.153,-1,-1,-1,-1,-1,-1,-1,2.322,-1,-1,2.422,-1,-1,-1,2.519,-1,2.261,-1,2.389,-1,-1,-1,-1,-1,-1,2.323,-1,-1,-1,2.495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.439,-1,2.442,-1,2.198,2.346,,-1,-1,-1,,-1,2.366,-1,,-1,-1
45,-1,-1,-1,-1,-1,2.469,2.379,2.272,-1,-1,-1,-1,-1,-1,2.061,-1,-1,-1,-1,-1,-1,-1,2.25,-1,-1,2.444,-1,-1,-1,2.648,-1,2.16,-1,2.212,-1,-1,-1,-1,-1,-1,2.347,-1,-1,-1,2.528,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.272,-1,2.37,-1,2.222,2.322,,-1,-1,-1,,-1,2.196,-1,,-1,-1
47,-1,-1,-1,-1,-1,2.346,-1,2.321,-1,-1,-1,-1,-1,-1,2.155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.38,-1,-1,-1,2.575,-1,-1,-1,2.396,-1,-1,-1,-1,-1,-1,2.395,-1,-1,-1,2.438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.222,-1,2.343,-1,2.213,2.084,,-1,-1,-1,,-1,2.36,-1,,-1,-1
49,-1,-1,-1,-1,-1,2.42,-1,2.26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.53,-1,-1,-1,2.578,-1,-1,-1,2.363,-1,-1,-1,-1,-1,-1,2.395,-1,-1,-1,2.543,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.29,-1,2.48,-1,2.123,-1,,-1,-1,-1,,-1,2.346,-1,,-1,-1
51,-1,-1,-1,-1,-1,2.42,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,2.567,-1,-1,-1,2.123,-1,-1,-1,-1,-1,-1,2.45,-1,-1,-1,2.691,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.469,-1,2.479,-1,2.139,-1,,-1,-1,-1,,-1,2.391,-1,,-1,-1
53,-1,-1,-1,-1,-1,2.42,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,2.439,-1,-1,-1,2.454,-1,-1,-1,-1,-1,-1,2.468,-1,-1,-1,2.579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.33,-1,2.543,-1,2.157,-1,,-1,-1,-1,,-1,2.233,-1,,-1,-1
55,-1,-1,-1,-1,-1,-1,-1,2.451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.502,-1,-1,-1,2.716,-1,-1,-1,2.528,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.445,-1,2.444,-1,2.272,-1,,-1,-1,-1,,-1,2.346,-1,,-1,-1
57,-1,-1,-1,-1,-1,-1,-1,2.394,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.249,-1,-1,-1,-1,-1,-1,-1,2.272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.519,-1,2.367,-1,2.137,-1,,-1,-1,-1,,-1,2.377,-1,,-1,-1
59,-1,-1,-1,-1,-1,-1,-1,2.28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.537,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,2.338,-1,2.469,-1,,-1,,-1,-1,-1,,-1,2.219,-1,,-1,-1
61,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.567,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,2.398,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.642,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,2.395,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.597,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,2.593,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.598,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.589,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,2.394,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,,-1,,-1,,-1,-1,-1,,-1,-1,-1,,-1,-1
