Mom ID,i1955,i2043,i2043,i1954,i546,i1925,i1946,i1923,i1925,i547,i556,i1946,i566,i564,i1923,i1958,i547,i583,i1923,i1970,i1914,i1923,i2044,i2046,i2043,i2046,i2043,i583,i583,i1923,i2052,i1950,i1972,i1939,i1941,i1939,i556,i1956,i1923,i1956,i2046,i2045,i1945,i1954,i2055,i2047,i575,i1954,i1956,i1954,i570,i1956,i583,i1986,i1949,i2048,i1959,i1957,i1934,i1937,NA,i2049,i1930,i2050,i1916,i1969,i1940,i2051,i1943,i1995,i1952,i1954,i2002,i2053,i2054,i1933
Birthdate,38497,38513,38523,38575,38579,38497,38533,38579,38497,38523,38533,38539,38543,38555,38579,38505,38529,38535,38539,38579,38507,38545,38561,38511,38517,38535,38517,38529,38535,38545,38513,38519,38515,38529,38515,38529,38533,38539,38545,38551,38519,38579,38517,38545,38517,38517,38533,38545,38529,38545,38523,38529,38535,38589,38593,38601,38643,38675,38653,38627,38589,38619,38613,38629,38601,38661,38621,38661,38681,38685,38567,38579,38665,38685,38631,38589
ID,i644,i645,i646,i647,i648,i649,i650,i651,i652,i653,i654,i655,i656,i657,i658,i659,i660,i661,i662,i663,i664,i665,i666,i667,i668,i669,i670,i671,i672,i673,i674,i675,i676,i677,i678,i679,i680,i681,i682,i683,i684,i685,i686,i687,i688,i689,i690,i691,i692,i693,i694,i695,i696,i2107,i2108,i2109,i2110,i2111,i2112,i2113,i2114,i2115,i2116,i2117,i2118,i2119,i2120,i2121,i2122,i2123,i2124,i2125,i2126,i2127,i2128,i2129
Vial,C1,c1,c1,c1,c1,c2,c2 (c17),c2,c3,c3,c3,c3,c3,c3,c3,c4,c4,c4,c4 (part of c16),c4,c5,c5,c5,c6,c6,c6 (c18),c7,c7,c7,c7,c8,c8,c9,c9,c10,c10,c10,c10,c10,c10,c10 (c14),c10,c11,c11,c12,c13,c13,c13,c15,c15,c16,c16,c16,c1,c1,c1,c1,c1,c2,c3,c4,c4,c5,c5,c6,c6,c7,c7,c7,c7,c8,c8,c8,c8,c9,c10
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
15,-1,-1,2.043,-1,-1,na,2.123,2.012,2.095,-1,-1,-1,-1,2.114,2.132,2.095,-1,-1,1.827,-1,2.173,-1,1.963,-1,1.949,2.025,-1,-1,-1,2.301,-1,1.94,-1,1.926,-1,-1,-1,-1,-1,-1,1.966,-1,-1,2.134,2.022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.916,1.901,,2.031,2.099,2.044,1.951,-1,1.827,1.976,1.806,-1,-1,-1,,-1,2.064,-1,,1.705,-1
17,-1,-1,2.074,-1,-1,2.173,2.173,2.083,na,-1,-1,-1,-1,2.197,2.025,2.095,-1,-1,1.985,-1,2.333,-1,2.065,-1,2.069,2.099,-1,-1,-1,2.255,-1,2.049,-1,2.074,-1,-1,-1,-1,-1,-1,2.173,-1,-1,-1,2.069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.851,2.056,,2.046,2.099,2.102,2.099,-1,1.754,1.959,2.025,-1,-1,-1,,-1,2.104,-1,,1.862,-1
19,-1,-1,2.099,-1,-1,2.168,2.321,2.123,2.143,-1,-1,-1,-1,2.225,1.99,2.257,-1,-1,1.952,-1,2.457,-1,2.074,-1,2.074,2.099,-1,-1,-1,2.343,-1,2.069,-1,2.074,-1,-1,-1,-1,-1,-1,2.121,-1,-1,-1,2.025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.815,1.956,,2.074,2.013,2.098,2.063,-1,1.756,1.983,2.093,-1,-1,-1,,-1,2.113,-1,,-1,-1
21,-1,-1,2.148,-1,-1,2.364,2.346,2.208,2.212,-1,-1,-1,-1,2.194,2.099,2.302,-1,-1,2.023,-1,2.397,-1,2.14,-1,2.121,2.198,-1,-1,-1,2.198,-1,2.199,-1,2.198,-1,-1,-1,-1,-1,-1,2.276,-1,-1,-1,2.199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.008,2.123,,2.198,2.055,2.116,2.14,-1,1.881,2.055,2.069,-1,-1,-1,,-1,2.222,-1,,-1,-1
23,-1,-1,2.222,-1,-1,2.302,2.33,2.107,2.276,-1,-1,-1,-1,2.252,2.069,2.181,-1,-1,2.023,-1,2.412,-1,2.196,-1,2.074,2.276,-1,-1,-1,2.444,-1,2.099,-1,2.222,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,2.247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.076,2.054,,2.089,2.191,2.224,2.198,-1,1.836,2.168,2.198,-1,-1,-1,,-1,2.179,-1,,-1,-1
25,-1,-1,2.222,-1,-1,2.328,2.331,2.145,-1,-1,-1,-1,-1,-1,2.21,-1,-1,-1,2.05,-1,2.388,-1,2.123,-1,2.123,2.276,-1,-1,-1,2.366,-1,2.148,-1,2.247,-1,-1,-1,-1,-1,-1,2.148,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.943,2.047,,2.222,2.169,2.272,2.222,-1,1.876,2.105,2.095,-1,-1,-1,,-1,2.094,-1,,-1,-1
27,-1,-1,2.247,-1,-1,2.388,2.383,2.246,-1,-1,-1,-1,-1,-1,2.172,-1,-1,-1,2.049,-1,2.38,-1,2.173,-1,2.247,2.285,-1,-1,-1,2.454,-1,2.198,-1,2.247,-1,-1,-1,-1,-1,-1,2.296,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.099,2.141,,2.116,2.184,2.212,2.087,-1,1.952,2.198,,-1,-1,-1,,-1,2.281,-1,,-1,-1
29,-1,-1,2.247,-1,-1,2.431,2.387,2.197,-1,-1,-1,-1,-1,-1,2.227,-1,-1,-1,2.123,-1,2.42,-1,2.315,-1,2.321,2.296,-1,-1,-1,2.432,-1,2.222,-1,2.223,-1,-1,-1,-1,-1,-1,2.296,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.021,-1,,2.175,2.297,2.017,2.217,-1,1.916,2.048,,-1,-1,-1,,-1,2.303,-1,,-1,-1
31,-1,-1,2.247,-1,-1,2.402,2.347,2.308,-1,-1,-1,-1,-1,-1,2.106,-1,-1,-1,2.242,-1,2.561,-1,2.274,-1,2.321,2.198,-1,-1,-1,2.471,-1,2.222,-1,2.342,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,2.321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.046,-1,,2.346,2.217,-1,2.301,-1,2.004,2.111,,-1,-1,-1,,-1,2.224,-1,,-1,-1
33,-1,-1,2.285,-1,-1,2.421,2.247,2.346,-1,-1,-1,-1,-1,-1,2.123,-1,-1,-1,2.233,-1,2.469,-1,2.261,-1,2.321,2.37,-1,-1,-1,2.561,-1,2.198,-1,2.195,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.123,-1,,2.362,2.174,-1,2.237,-1,2.06,2.37,,-1,-1,-1,,-1,2.349,-1,,-1,-1
