Mom ID,i1955,i556,i556,i1946,i1956,i1953,i1958,i1933,i1960,i548,i1962,i1919,i1963,i1946,i1933,i1964,i1965,i1947,i1968,i1952,i1923,i1925,i1963,i564,i1954,i1935,i548,i575,i1971,i1921,i1956,i1972,i575,i1939,i1973,i2042,i2043,i1946,i2044,i1945,i575,i1946,i2045,i2046,i2044,i2047,i547,i2046,i575,i570,i1946,i1956,i1917,i1915,i1957,i1959,i2007,i1961,i1934,i1998,i543,i1949,i1937,i1967,i1966,i2013,i1936,i1969,i2002,i1970,i1944,i1952,i1966,i1998,i1936,i1943,i1916,i1933
Birthdate,38497,38527,38533,38545,38545,38565,38501,38567,38497,38535,38497,38505,38547,38539,38573,38505,38519,38575,38505,38567,38579,38507,38547,38535,38575,38513,38535,38539,38543,38549,38545,38515,38539,38551,38563,38579,38523,38549,38555,38517,38539,38545,38581,38517,38561,38517,38529,38519,38539,38523,38539,38545,38533,38613,38675,38629,38681,38621,38653,38679,38583,38593,38631,38635,38659,38681,38583,38661,38665,38587,38663,38587,38665,38685,38589,38667,38589,38589
ID,i591,i592,i593,i594,i595,i596,i597,i598,i599,i600,i601,i602,i603,i604,i605,i606,i607,i608,i609,i610,i611,i612,i613,i614,i615,i616,i617,i618,i619,i620,i621,i622,i623,i624,i625,i626,i627,i628,i629,i630,i631,i632,i633,i634,i635,i636,i637,i638,i639,i640,i641,i642,i643,i2021,i2022,i2023,i2024,i2025,i2026,i2027,i2028,i2029,i2030,i2031,i2032,i2033,i2034,i2035,i2036,i2037,i2038,i2039,i2040,i2041,i2104,i2105,i2106,i2107
Vial,B1,b1,b1,b1,b1 (part of b18),b1,b2,b2,b3,b3,b4,b4,b4,b4 (b17),b4,b5,b5 (b15),b5,b6,b6,b6,b7,b7,b7 (prt of b13),b7,b8,b8,b8,b8,b8,b8 (part of b14),b9,b9,b9,b9,b9,b10,b10,b10,b11,b11,b11,b11,b12,b12,b13,b13,b14,b14,b16,b16,b16,b18,b1,b1,b2,b2,b3,b4,b4,b5,b5,b5,b5,b5,b5,b6,b6,b6,b7,b7,b8,b8,b8,b9,b9,b10,b12
Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
13,2.1,-1,-1,-1,2.009,2.086,na,2.148,2.125,2.222,-1,2.134,-1,1.975,1.975,2.138,1.899,-1,2,-1,-1,2.25,-1,2.123,-1,2,-1,-1,-1,-1,1.993,2.117,-1,-1,-1,-1,2.173,-1,2.099,2.04,-1,1.748,NA,1.914,-1,-1,-1,2.013,-1,1.951,-1,-1,-1,2.052,,2.074,,1.975,1.601,,-1,2.107,-1,-1,-1,,2.056,-1,1.951,-1,1.966,,-1,,1.913,-1,2.028,1.843
15,2.13,-1,-1,-1,2.05,2.222,2.043,2.154,2.214,2.074,-1,2.095,-1,2.025,2.025,2.38,1.94,-1,2.147,-1,-1,2.069,-1,2.123,-1,2.137,-1,-1,-1,-1,2.096,2.113,-1,-1,-1,-1,2.121,-1,2.1,2.135,-1,-1,2.106,2.057,-1,-1,-1,2.069,-1,-1,-1,-1,-1,2.099,,2.074,,1.922,2.06,,-1,2.191,-1,-1,-1,,2.263,-1,1.988,-1,2.148,,-1,,2.019,-1,1.98,1.832
17,na,-1,-1,-1,2.131,2.117,2.193,2.206,na,2.222,-1,2.095,-1,2.108,2.214,2.38,1.951,-1,2.199,-1,-1,2.324,-1,2.123,-1,2.161,-1,-1,-1,-1,2.132,-1,-1,-1,-1,-1,-1,-1,2.1,2.121,-1,-1,2.014,2.095,-1,-1,-1,2.099,-1,-1,-1,-1,-1,2.035,,2.091,,2.015,-1,,-1,2.201,-1,-1,-1,,2.222,-1,1.899,-1,1.947,,-1,,2.118,-1,2.188,1.878
19,2.05,-1,-1,-1,2.089,2.29,2.302,2.173,2.21,2.296,-1,2.245,-1,2.118,2.1,2.44,2.121,-1,2.246,-1,-1,2.431,-1,2.222,-1,2.209,-1,-1,-1,-1,2.213,-1,-1,-1,-1,-1,-1,-1,2.182,2.198,-1,-1,2.099,2.099,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.021,,2.013,,2.028,-1,,-1,2.349,-1,-1,-1,,2.301,-1,2.025,-1,2.137,,-1,,2.109,-1,2.109,1.908
21,2.096,-1,-1,-1,-1,2.247,2.431,2.198,2.279,2.437,-1,2.38,-1,2.128,2.277,2.406,2.099,-1,2.302,-1,-1,2.413,-1,2.243,-1,2.431,-1,-1,-1,-1,2.337,-1,-1,-1,-1,-1,-1,-1,2.17,-1,-1,-1,2.032,2.302,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.156,,2.167,,2.148,-1,,-1,-1,-1,-1,-1,,2.222,-1,1.988,-1,2.247,,-1,,2.152,-1,2.109,1.897
23,2.225,-1,-1,-1,-1,2.321,2.337,2.239,2.457,2.414,-1,2.274,-1,2.209,2.292,2.465,2.222,-1,2.217,-1,-1,2.453,-1,2.295,-1,-1,-1,-1,-1,-1,2.296,-1,-1,-1,-1,-1,-1,-1,2.264,-1,-1,-1,2.181,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.193,,NA,,2.198,-1,,-1,-1,-1,-1,-1,,2.342,-1,,-1,2.02,,-1,,2.16,-1,2.202,1.894
25,2.225,-1,-1,-1,-1,2.438,2.457,2.366,2.457,2.459,-1,2.343,-1,2.238,2.2,2.561,2.222,-1,2.316,-1,-1,2.476,-1,2.297,-1,-1,-1,-1,-1,-1,2.327,-1,-1,-1,-1,-1,-1,-1,2.346,-1,-1,-1,2.144,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.129,,2.202,,2.119,-1,,-1,-1,-1,-1,-1,,2.401,-1,,-1,,,-1,,2.272,-1,2.222,1.951
27,-1,-1,-1,-1,-1,2.383,2.429,2.28,2.377,2.509,-1,2.401,-1,2.27,2.222,2.525,2.272,-1,2.345,-1,-1,2.535,-1,2.281,-1,-1,-1,-1,-1,-1,2.338,-1,-1,-1,-1,-1,-1,-1,2.281,-1,-1,-1,2.202,2.173,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.346,,2.3,,2.202,-1,,-1,-1,-1,-1,-1,,2.401,-1,,-1,,,-1,,2.269,-1,2.421,-1
29,-1,-1,-1,-1,-1,2.4,2.466,2.387,2.406,2.438,-1,2.354,-1,2.346,2.318,2.613,2.272,-1,2.38,-1,-1,2.494,-1,2.242,-1,-1,-1,-1,-1,-1,2.413,-1,-1,-1,-1,-1,-1,-1,2.37,-1,-1,-1,2.308,2.247,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.296,,2.212,,2.208,-1,,-1,-1,-1,-1,-1,,2.374,-1,,-1,,,-1,,2.119,-1,2.369,-1
31,-1,-1,-1,-1,-1,2.36,2.488,2.226,2.403,2.567,-1,2.37,-1,2.237,2.328,2.543,2.272,-1,2.395,-1,-1,2.587,-1,2.382,-1,-1,-1,-1,-1,-1,2.413,-1,-1,-1,-1,-1,-1,-1,2.321,-1,-1,-1,2.273,2.296,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.293,,2.271,,2.298,-1,,-1,-1,-1,-1,-1,,2.469,-1,,-1,,,-1,,2.165,-1,2.203,-1
33,-1,-1,-1,-1,-1,2.563,2.431,2.346,2.47,2.543,-1,2.483,-1,-1,2.409,2.638,2.272,-1,2.406,-1,-1,2.543,-1,2.173,-1,-1,-1,-1,-1,-1,2.496,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.272,2.296,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.191,,2.349,,2.27,-1,,-1,-1,-1,-1,-1,,2.298,-1,,-1,,,-1,,2.303,-1,2.376,-1
35,-1,-1,-1,-1,-1,2.593,2.444,2.425,2.459,2.578,-1,2.494,-1,-1,2.323,2.543,2.42,-1,2.42,-1,-1,2.543,-1,2.398,-1,-1,-1,-1,-1,-1,2.494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.185,2.296,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.328,,2.469,,2.247,-1,,-1,-1,-1,-1,-1,,2.27,-1,,-1,,,-1,,2.183,-1,2.219,-1
37,-1,-1,-1,-1,-1,2.584,2.561,2.429,2.535,2.466,-1,2.494,-1,-1,2.294,2.593,2.429,-1,2.42,-1,-1,2.593,-1,2.324,-1,-1,-1,-1,-1,-1,2.436,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.145,2.346,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.17,,2.28,,2.228,-1,,-1,-1,-1,-1,-1,,2.287,-1,,-1,,,-1,,2.163,-1,2.219,-1
39,-1,-1,-1,-1,-1,2.404,2.593,2.441,-1,2.468,-1,2.494,-1,-1,2.323,2.593,2.451,-1,2.42,-1,-1,2.346,-1,2.302,-1,-1,-1,-1,-1,-1,2.566,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.103,,2.41,,2.329,-1,,-1,-1,-1,-1,-1,,2.383,-1,,-1,,,-1,,2.346,-1,2.346,-1
41,-1,-1,-1,-1,-1,2.571,2.617,2.456,-1,2.5,-1,2.519,-1,-1,2.42,2.617,2.482,-1,2.444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.337,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.264,,2.43,,2.257,-1,,-1,-1,-1,-1,-1,,2.4,-1,,-1,,,-1,,2.185,-1,-1,-1
43,-1,-1,-1,-1,-1,2.671,2.617,2.385,-1,2.417,-1,-1,-1,-1,2.367,2.617,2.507,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.341,,2.469,,2.222,-1,,-1,-1,-1,-1,-1,,2.48,-1,,-1,,,-1,,2.328,-1,-1,-1
45,-1,-1,-1,-1,-1,2.581,2.617,2.361,-1,2.568,-1,-1,-1,-1,2.31,2.617,2.604,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.263,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.268,,2.469,,2.449,-1,,-1,-1,-1,-1,-1,,2.494,-1,,-1,,,-1,,2.395,-1,-1,-1
47,-1,-1,-1,-1,-1,2.527,2.642,2.568,-1,2.573,-1,-1,-1,-1,2.376,2.741,2.541,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.315,,2.317,,2.278,-1,,-1,-1,-1,-1,-1,,2.403,-1,,-1,,,-1,,2.402,-1,-1,-1
49,-1,-1,-1,-1,-1,-1,2.642,2.447,-1,2.447,-1,-1,-1,-1,2.441,2.642,2.568,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.444,,2.494,,2.542,-1,,-1,-1,-1,-1,-1,,2.535,-1,,-1,,,-1,,2.369,-1,-1,-1
51,-1,-1,-1,-1,-1,-1,2.716,2.477,-1,2.568,-1,-1,-1,-1,2.455,2.609,2.496,-1,2.496,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.348,,2.49,,2.494,-1,,-1,-1,-1,-1,-1,,2.568,-1,,-1,,,-1,,2.359,-1,-1,-1
53,-1,-1,-1,-1,-1,-1,2.642,2.286,-1,2.543,-1,-1,-1,-1,2.485,-1,-1,-1,2.458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.37,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.226,,-1,,2.494,-1,,-1,-1,-1,-1,-1,,2.478,-1,,-1,,,-1,,2.346,-1,-1,-1
55,-1,-1,-1,-1,-1,-1,2.685,2.422,-1,2.573,-1,-1,-1,-1,2.568,-1,-1,-1,2.398,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,2.359,-1,,-1,-1,-1,-1,-1,,2.559,-1,,-1,,,-1,,2.346,-1,-1,-1
57,-1,-1,-1,-1,-1,-1,2.638,-1,-1,2.557,-1,-1,-1,-1,2.478,-1,-1,-1,2.439,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,2.296,-1,,-1,-1,-1,-1,-1,,2.418,-1,,-1,,,-1,,-1,-1,-1,-1
59,-1,-1,-1,-1,-1,-1,2.643,-1,-1,2.559,-1,-1,-1,-1,2.34,-1,-1,-1,2.417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,2.31,-1,,-1,-1,-1,-1,-1,,2.593,-1,,-1,,,-1,,-1,-1,-1,-1
61,-1,-1,-1,-1,-1,-1,2.748,-1,-1,2.559,-1,-1,-1,-1,2.315,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,2.362,-1,,-1,-1,-1,-1,-1,,2.593,-1,,-1,,,-1,,-1,-1,-1,-1
63,-1,-1,-1,-1,-1,-1,2.639,-1,-1,2.551,-1,-1,-1,-1,2.456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,2.543,-1,,-1,-1,-1,-1,-1,,2.585,-1,,-1,,,-1,,-1,-1,-1,-1
65,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.568,-1,-1,-1,-1,2.352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,2.5,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
81,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,-1,-1,-1,-1,,-1,-1,,-1,,,-1,,-1,-1,-1,-1
