id,324a1,324a2,324a3,324a4,324a5,324a6,324a7,324a8,324a9,324a10,324a11,324a12,324a13,324a14,324a15,324a16,324a17,324a18,324a19,324a20,324a21,324a22,324a23,324a24,324a25,324a26,324a27,324a28,324a29,324a30,324a31,324a32,324a33,324a34,324a35,324a36,324a37,324a38,324a39,324a40,324a41,324a42,324a43,324a44,324a45
momid,m9,m9,m12,m12,m13,m9,m9,m9,m9,m4,m4,a1,a1,a1,a1,a2,a1,a1,a5,a5,a5,a5,a5,a5,a6,a5,a5,a5,a5,a3,a5,a1,a1,a4,a4,a4,a3,a7,a11,a11,a3,m9,m9,m9,m1
dob,39544,39544,39582,39582,39582,39588,39588,39598,39598,39604,39604,39612,39612,39612,39612,39620,39622,39622,39644,39644,39644,39644,39644,39644,39648,39648,39648,39648,39648,39652,39652,39660,39660,39666,39666,39666,39670,39670,39670,39670,39672,39674,39674,39674,39676
vial,324a1,324a2,324a1,324a2,324a3,324a1,324a2,324a1,324a2,324a1,324a3,324a3,324a4,324a5,324a6,324a3,324a4,324a5,324a4,324a1,324a2,324a4,324a7,324a8,324a8,324a9,324a10,324a11,324a12,324a3,324a9,324a9,324a10,324a9,324a10,324a11,324a1,324a5,324a9,324a12,324a3,324a1,324a4,324a11,324a1
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0
7,0,0,,,0,-1,,-1,0,0,-1,-1,-1,-1,,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,,-1,-1,0,,-1,0,0,-1,-1,,0,0,0
9,-1,0,,,0,,,,0,0,,,,,,0,0,0,,0,0,0,0,,0,,4,0,0,0,,,,,0,,,0,0,,,,0,0,0
11,,5,,,0,,,,0,6,,,,,,4,0,4,,0,4,0,0,,0,,3,3,3,3,,,,,0,,,0,0,,,,0,5,0
