id,725a1,725a2,725a3,725a4,725a5,725a6,725a7,725a8,725a9,725a10,725a11,725a12,725a13,725a14,725a15,725a16,725a17,725a18,725a19,725a20,725a21,725a22,725a23,725a24,725a25,725a26,725a27,725a28,725a29,725a30,725a31,725a32,725a33,725a34,725a35,725a36,725a37,725a38,725a39,725a40,725a41,725a42,725a43,725a44,725a45
momid,m3,m3,m11,725a1,a2,a1,m2,m3,m3,m2,a1,a1,a1,a1,a1,m1,a5,a5,a3,a6,a6,a6,a6,a2,a2,a5,a6,a6,a9,a5,a5,a9,a9,a9,a1,a1,a8,a8,a4,a4,a6,a9,a8,a5,m6
dob,39544,39544,39564,39568,39582,39588,39590,39598,39598,39598,39606,39614,39614,39614,39614,39644,39644,39644,39646,39646,39646,39646,39646,39650,39652,39658,39658,39658,39660,39662,39662,39666,39666,39668,39672,39672,39676,39676,39678,39678,39678,39680,39682,39710,39714
vial,725a1,725a2,725a3,725a3,725a3,725a3,725a2,725a1,725a2,725a3,725a3,725a1,725a4,725a5,725a6,725a1,725a7,725a8,725a3,725a9,725a10,725a11,725a12,725a8,725a2,725a2,725a6,725a7,725a6,725a3,725a4,725a4,725a12,725a7,725a3,725a7,725a5,725a7,725a1,725a2,725a12,725a3,725a6,725a5,725a13
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,2.35,2.5,2.45,1.85,2.05,1.8,2.25,2.3,2.25,2.2,2.2,2.15,2.25,2.15,2.35,2.4,2.35,2.2,2.1,1.8,1.9,1.8,1.85,2.1,1.95,2.25,1.85,2.05,2.15,2.1,2,2.25,2.15,2.2,2.05,2.3,2.35,2.4,2.35,2.25,2.2,2.2,2.05,2,2.35
3,2.9,2.8,3.2,-1,2.4,-1,2.35,2.9,2.6,-1,2.4,2.55,2.9,2.55,2.85,3.1,3.65,3.35,2.9,3,2.3,3.2,3.2,3.35,1.95,2.7,-1,2.4,2.45,2.4,2.4,3.2,2.25,2.9,2.05,2.2,3.7,2.75,2.35,2.6,2.2,3,2.65,2.45,3.65
5,3.55,3.85,-1,,-1,,-1,4.9,4.5,,-1,4.1,4.15,4.2,4.5,4.6,4.15,-1,3.4,3.25,3.15,3.9,3.5,4.2,-1,3.35,,-1,2.6,2.55,-1,3.8,2.6,-1,2,-1,4.5,4.4,2.8,2.95,-1,3.3,2.55,2.75,4.4
7,4.5,4.65,,,,,,5.7,5.4,,,4.95,4.95,5.35,5.4,5.4,5.1,,4.3,4.8,4.05,5.7,4.65,4.85,,4.05,,,3.45,3.8,,4.4,2.8,,-1,,5.3,5.1,2.9,3.85,,4.1,2.6,3,5.25
9,5.1,5.7,,,,,,6.3,6.1,,,5.9,5.8,6.1,6.35,6.1,5.9,,5,5.9,4.9,6.4,5.05,5.6,,4.5,,,3.9,4.6,,5.05,-1,,,,6,6.05,3.15,4.1,,4.45,-2,3.3,5.5
11,6.15,6.3,,,,,,7.25,6.45,,,6.4,6.5,6.8,6.9,6.6,6.2,,5.3,6.2,6.6,5.65,-2,6.55,,5,,,5.2,-1,,5.35,,,,,5.9,6.25,4.3,4.3,,5.05,,4.25,5.85
