id,711a1,711a2,711a3,711a4,711a5,711a6,711a7,711a8,711a9,711a10,711a11,711a12,711a13,711a14,711a15,711a16,711a17,711a18,711a19,711a20,711a21,711a22,711a23,711a24,711a25,711a26,711a27,711a28,711a29,711a30,711a31,711a32,711a33,711a34,711a35,711a36,711a37,711a38,711a39,711a40,711a41
momid,m5,m12,m4,a2,a2,a2,a2,a5,a1,a1,a6,a5,a5,a3,a3,a5,a5,a4,a4,a1,a1,a1,a4,a4,a4,a1,a1,a8,a8,a8,a8,a8,a1,a1,a4,a8,m10,m6,m6,m2,m3
dob,39582,39582,39582,39598,39598,39598,39604,39614,39620,39620,39632,39638,39640,39644,39644,39648,39648,39648,39648,39654,39660,39660,39660,39660,39660,39666,39666,39672,39672,39672,39674,39674,39676,39676,39680,39680,39712,39714,39714,39720,39720
vial,711a1,711a2,711a3,711a4,711a5,711a6,711a1,711a4,711a3,711a5,711a6,711a6,711a1,711a8,711a11,711a2,711a9,711a10,711a12,711a3,711a2,711a7,711a10,711a11,711a12,711a2,711a4,711a5,711a6,711a7,711a6,711a10,711a9,711a12,711a5,711a6,711a1,711a11,711a13,711a1,711a14
53,,8.15,,,,,,,,,,,8.1,8.35,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,
55,,8.2,,,,,,,,,,,7.9,8.65,,,,,,,,,,-1,,,,,,,,,,,,,,,,,
57,,8,,,,,,,,,,,8,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,8,,,,,,,,,,,7.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,8.2,,,,,,,,,,,7.95,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,8.2,,,,,,,,,,,8.05,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,8,,,,,,,,,,,8.35,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,-1,,,,,,,,,,,8.2,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,7.7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
