id,113a1,113a2,113a3,113a4,113a5,113a6,113a7,113a8,113a9,113a10,113a11,113a12,113a13,113a14,113a15,113a16,113a17,113a18,113a19,113a20,113a21,113a22,113a23,113a24,113a25,113a26,113a27,113a28,113a29,113a30,113a31,113a32,113a33,113a34,113a35,113a36,113a37,113a38,113a39,113a40,113a41,113a42,113a43,113a44,113a45,113a46,113a47,113a48
momid,m12,m12,m4,m2,m17,a3,a3,a3,a3,a3,a4,a2,a4,a1,a6,a2,a3,a4,a6,a6,a1,a1,a1,a2,a3,a3,a3,a3,a1,a1,a1,a4,a4,a4,a2,a7,a2,a10,a10,a10,a10,a3,a3,a4,a4,a6,a10,a4
dob,39544,39544,39564,39582,39582,39590,39596,39596,39602,39602,39612,39612,39620,39622,39624,39630,39630,39634,39636,39638,39644,39644,39644,39644,39648,39648,39648,39648,39650,39650,39650,39660,39660,39660,39666,39666,39666,39668,39670,39670,39670,39676,39676,39676,39676,39678,39678,39698
vial,113a1,113a2,113a3,113a1,113a3,113a1,113a4,113a5,113a5,113a2,113a3,113a6,113a4,113a1,113a4,113a1,113a3,113a1,113a2,113a3,113a7,113a9,113a10,113a11,113a8,113a9,113a10,113a11,113a9,113a11,113a12,113a5,113a6,113a8,113a1,113a4,113a9,113a9,113a1,113a7,113a9,113a1,113a2,113a7,113a7,113a8,113a11,113a4
43,,7.7,,,,,,,8.1,,,8.3,,,,,,,,8.3,,,,,,,,,,,,7.4,,,,,,,,,,7.2,,,,7.9,,
45,,7.8,,,,,,,8.5,,,-1,,,,,,,,8.7,,,,,,,,,,,,7.3,,,,,,,,,,-1,,,,-1,,
47,,7.75,,,,,,,8.45,,,,,,,,,,,8.95,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,
49,,7.5,,,,,,,8.55,,,,,,,,,,,8.75,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,
51,,7.6,,,,,,,-1,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,7.9,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,7.65,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,7.8,,,,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,-1,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
