day,infected,length,vol,t,F0,Ft
15,0,1.3898,0.01,0.125,10000000,8180042.112
15,0,1.27398,0.01,0.125,10000000,8469168.448
15,0,1.39698,0.01,0.125,10000000,6099589.566
15,0,1.46374,0.01,0.125,10000000,5772751.1
15,0,1.51014,0.01,0.125,10000000,5106503.457
15,0,1.41595,0.01,0.125,10000000,7645786.926
15,0,1.53785,0.01,0.125,10000000,6658986.172
15,1,1.30631,0.01,0.125,10000000,9305120.679
15,1,1.52803,0.01,0.125,10000000,8896572.596
15,1,1.58349,0.01,0.125,10000000,9047421.119
15,1,1.56563,0.01,0.125,10000000,8971996.857
15,1,1.52935,0.01,0.125,10000000,8563448.774
15,1,1.54447,0.01,0.125,10000000,8519451.288
15,1,1.35614,0.01,0.125,10000000,9481110.622
15,1,1.61894,0.01,0.125,10000000,8827433.69
15,1,1.59905,0.01,0.125,10000000,9449683.847
15,1,1.50768,0.01,0.125,10000000,9198269.642
15,1,1.42114,0.01,0.125,10000000,5489910.119
15,1,1.41649,0.01,0.125,10000000,9047421.119
15,1,1.50775,0.01,0.125,10000000,9279979.258
15,1,1.53863,0.01,0.125,10000000,9462254.557
15,1,1.46044,0.01,0.125,10000000,8739438.718
15,1,1.56049,0.01,0.125,10000000,9097703.96
15,1,1.48711,0.01,0.125,10000000,9675956.631
15,1,1.41433,0.01,0.125,10000000,8796006.914
18,0,1.57658,0.01,0.125,10000000,8617799.254
18,0,1.48998,0.01,0.125,10000000,5988837.166
18,0,1.49045,0.01,0.125,10000000,6374169.671
18,0,1.32047,0.01,0.125,10000000,8481068.365
18,0,1.48198,0.01,0.125,10000000,8052230.578
18,0,1.41782,0.01,0.125,10000000,9556270.354
18,0,1.43951,0.01,0.125,10000000,8673734.618
18,0,1.50568,0.01,0.125,10000000,9487904.91
18,0,1.55555,0.01,0.125,10000000,9388464.264
18,0,1.47304,0.01,0.125,10000000,7722833.437
18,0,1.56166,0.01,0.125,10000000,8356767.557
18,0,1.4855,0.01,0.125,10000000,5622149.782
18,0,1.45049,0.01,0.125,10000000,6206363.58
18,0,1.446,0.01,0.125,10000000,9102572.405
18,1,1.60559,0.01,0.125,10000000,9742721.566
18,1,1.53088,0.01,0.125,10000000,9456829.708
18,1,1.61773,0.01,0.125,10000000,9537625.233
18,1,1.61088,0.01,0.125,10000000,9717861.405
18,1,1.60845,0.01,0.125,10000000,7940359.851
18,1,1.71143,0.01,0.125,10000000,9630850.839
18,1,1.59508,0.01,0.125,10000000,8282187.073
18,1,1.50079,0.01,0.125,10000000,9947817.899
18,1,1.7008,0.01,0.125,10000000,8785605.345
18,1,1.27491,0.01,0.125,10000000,9208228.092
18,1,1.50584,0.01,0.125,10000000,9195798.011
18,1,1.50576,0.01,0.125,10000000,9494119.95
18,1,1.54561,0.01,0.125,10000000,9357389.062
18,1,1.66649,0.01,0.125,10000000,8972056.557
18,1,1.67384,0.01,0.125,10000000,9289023.617
18,1,1.6597,0.01,0.125,10000000,9425754.506
18,1,1.59822,0.01,0.125,10000000,10252354.88
25,0,1.58731,0.01,0.125,10000000,8404432.464
25,0,1.62045,0.01,0.125,10000000,8647323.46
25,0,1.43676,0.01,0.125,10000000,7071494.076
25,0,1.56502,0.01,0.125,10000000,7065569.905
25,0,1.5891,0.01,0.125,10000000,7166280.806
25,0,1.63388,0.01,0.125,10000000,8481446.682
25,0,1.47692,0.01,0.125,10000000,7841636.256
25,0,1.45544,0.01,0.125,10000000,9186422.986
25,0,1.75961,0.01,0.125,10000000,7681683.649
25,0,1.52388,0.01,0.125,10000000,7847560.427
25,0,1.46382,0.01,0.125,10000000,8392584.123
25,0,1.6474,0.01,0.125,10000000,8120072.275
25,1,1.69459,0.01,0.125,10000000,9091636.256
25,1,1.6908,0.01,0.125,10000000,9370072.275
25,1,1.75324,0.01,0.125,10000000,10169835.31
25,1,1.77416,0.01,0.125,10000000,9897323.46
25,1,1.6348,0.01,0.125,10000000,9192347.156
25,1,1.83684,0.01,0.125,10000000,9334527.251
25,1,1.65822,0.01,0.125,10000000,9381920.616
25,1,1.69616,0.01,0.125,10000000,9364148.104
25,1,1.66328,0.01,0.125,10000000,9411541.469
25,1,1.8014,0.01,0.125,10000000,9672204.976
25,1,1.79157,0.01,0.125,10000000,9660356.635
25,1,1.6261,0.01,0.125,10000000,9974337.678
25,1,1.6853,0.01,0.125,10000000,9423389.81
30,0,1.72069,0.01,0.125,10000000,8373328.063
30,0,1.6654,0.01,0.125,10000000,7609164.69
30,0,1.62612,0.01,0.125,10000000,6535383.399
30,0,1.79677,0.01,0.125,10000000,5843683.794
30,0,1.90543,0.01,0.125,10000000,7016279.315
30,0,1.82311,0.01,0.125,10000000,7437886.693
30,0,1.6803,0.01,0.125,10000000,6871351.779
30,0,1.66795,0.01,0.125,10000000,8491905.138
30,0,1.79058,0.01,0.125,10000000,8386503.294
30,1,1.71628,0.01,0.125,10000000,9447109.354
30,1,1.81298,0.01,0.125,10000000,8959625.823
30,1,1.69185,0.01,0.125,10000000,8702708.827
30,1,1.8214,0.01,0.125,10000000,9671088.274
30,1,1.789,0.01,0.125,10000000,9348295.125
30,1,1.86562,0.01,0.125,10000000,9242893.281
30,1,1.84226,0.01,0.125,10000000,9249480.896
30,1,1.82863,0.01,0.125,10000000,9736964.427
30,1,1.86396,0.01,0.125,10000000,9321944.664
35,0,1.86909,0.01,0.125,10000000,5262056.497
35,0,1.79466,0.01,0.125,10000000,7020531.073
35,0,1.72221,0.01,0.125,10000000,8750757.062
35,0,1.76915,0.01,0.125,10000000,4866576.271
35,0,1.65121,0.01,0.125,10000000,7811491.525
35,0,1.71056,0.01,0.125,10000000,6808666.667
35,0,1.80289,0.01,0.125,10000000,7140587.571
35,0,1.74172,0.01,0.125,10000000,7091152.542
35,0,1.7193,0.01,0.125,10000000,8538892.655
35,0,1.86658,0.01,0.125,10000000,8058666.667
35,0,1.77857,0.01,0.125,10000000,5092564.972
35,1,1.85356,0.01,0.125,10000000,9181548.023
35,1,1.77904,0.01,0.125,10000000,9527593.22
35,1,1.68408,0.01,0.125,10000000,8658949.153
35,1,1.87803,0.01,0.125,10000000,8030418.079
35,1,1.78911,0.01,0.125,10000000,9788892.655
35,1,1.91851,0.01,0.125,10000000,8849627.119
35,1,1.76502,0.01,0.125,10000000,9647649.718
35,1,1.81248,0.01,0.125,10000000,8708384.181
35,1,1.88406,0.01,0.125,10000000,9188610.169
