day of assay,replicate,infected,length (mm),water volume (L),time (days),N0 (initial cells of food),Final cells/mL food,Nf (final cells of food),N0-Nf,Clearance rate,Size-corrected CR,Offspring,Spore per animal,,,,,,
35,F,0,1.65121,0.01,0.125,100000,7811.491525,78114.91525,21885.08475,0.019759134,0.007247084,40,,,,,,,
35,G,0,1.71056,0.01,0.125,100000,6808.666667,68086.66667,31913.33333,0.030751103,0.010509549,41,,,,,,,
35,H,0,1.80289,0.01,0.125,100000,7140.587571,71405.87571,28594.12429,0.026943202,0.008289164,64,,,,,,,
35,K,0,1.74172,0.01,0.125,100000,7091.152542,70911.52542,29088.47458,0.027498977,0.009064834,51,,,,,,,
35,L,0,1.7193,0.01,0.125,100000,8538.892655,85388.92655,14611.07345,0.012636301,0.004274808,41,,,,,,,
35,M,0,1.86658,0.01,0.125,100000,8058.666667,80586.66667,19413.33333,0.017266958,0.004955901,60,,,,,,,
35,O,0,1.77857,0.01,0.125,100000,5092.564972,50925.64972,49074.35028,0.053984277,0.017065749,43,,,,,,,
35,A,1,1.85356,0.01,0.125,100000,9181.548023,91815.48023,8184.519774,0.006831142,0.001988291,0,290000,,,,,,
35,D,1,1.77904,0.01,0.125,100000,9527.59322,95275.9322,4724.067797,0.003871436,0.001223209,0,322000,,,,,,
35,E,1,1.68408,0.01,0.125,100000,8658.949153,86589.49153,13410.50847,0.011519338,0.004061646,0,401000,,,,,,
35,F,1,1.87803,0.01,0.125,100000,8030.418079,80304.18079,19695.81921,0.01754788,0.004975304,0,448000,,,,,,
35,I,1,1.78911,0.01,0.125,100000,9788.892655,97888.92655,2111.073446,0.00170694,0.000533266,0,664500,,,,,,
35,J,1,1.91851,0.01,0.125,100000,8849.627119,88496.27119,11503.72881,0.009776781,0.002656243,0,438000,,,,,,
35,M,1,1.76502,0.01,0.125,100000,9647.649718,96476.49718,3523.502825,0.002869661,0.000921152,0,178000,,,,,,
35,N ,1,1.81248,0.01,0.125,100000,8708.384181,87083.84181,12916.15819,0.011063907,0.003367922,0,239500,,,,,,
35,AA,1,1.88406,0.01,0.125,100000,9188.610169,91886.10169,8113.898305,0.006769632,0.001907109,0,157500,,,,,,
