day,infected,length,vol,t,F0,Ft
15,0,1.41595,0.01,0.125,10000,7645.786926
15,0,1.53785,0.01,0.125,10000,6658.986172
15,1,1.30631,0.01,0.125,10000,9305.120679
15,1,1.52803,0.01,0.125,10000,8896.572596
15,1,1.58349,0.01,0.125,10000,9047.421119
15,1,1.56563,0.01,0.125,10000,8971.996857
15,1,1.52935,0.01,0.125,10000,8563.448774
15,1,1.54447,0.01,0.125,10000,8519.451288
15,1,1.35614,0.01,0.125,10000,9481.110622
15,1,1.61894,0.01,0.125,10000,8827.43369
15,1,1.59905,0.01,0.125,10000,9449.683847
15,1,1.50768,0.01,0.125,10000,9198.269642
15,1,1.42114,0.01,0.125,10000,5489.910119
15,1,1.41649,0.01,0.125,10000,9047.421119
15,1,1.50775,0.01,0.125,10000,9279.979258
15,1,1.53863,0.01,0.125,10000,9462.254557
15,1,1.46044,0.01,0.125,10000,8739.438718
15,1,1.56049,0.01,0.125,10000,9097.70396
15,1,1.48711,0.01,0.125,10000,9675.956631
15,1,1.41433,0.01,0.125,10000,8796.006914
18,0,1.57658,0.01,0.125,10000,8617.799254
18,0,1.48998,0.01,0.125,10000,5988.837166
18,0,1.49045,0.01,0.125,10000,6374.169671
18,0,1.32047,0.01,0.125,10000,8481.068365
18,0,1.48198,0.01,0.125,10000,8052.230578
18,0,1.41782,0.01,0.125,10000,9556.270354
18,0,1.43951,0.01,0.125,10000,8673.734618
18,0,1.50568,0.01,0.125,10000,9487.90491
18,0,1.55555,0.01,0.125,10000,9388.464264
18,0,1.47304,0.01,0.125,10000,7722.833437
18,0,1.56166,0.01,0.125,10000,8356.767557
18,0,1.4855,0.01,0.125,10000,5622.149782
18,0,1.45049,0.01,0.125,10000,6206.36358
18,0,1.446,0.01,0.125,10000,9102.572405
18,1,1.60559,0.01,0.125,10000,9742.721566
18,1,1.53088,0.01,0.125,10000,9456.829708
18,1,1.61773,0.01,0.125,10000,9537.625233
18,1,1.61088,0.01,0.125,10000,9717.861405
18,1,1.60845,0.01,0.125,10000,7940.359851
18,1,1.71143,0.01,0.125,10000,9630.850839
18,1,1.59508,0.01,0.125,10000,8282.187073
18,1,1.50079,0.01,0.125,10000,9947.817899
18,1,1.7008,0.01,0.125,10000,8785.605345
18,1,1.27491,0.01,0.125,10000,9208.228092
18,1,1.50584,0.01,0.125,10000,9195.798011
18,1,1.50576,0.01,0.125,10000,9494.11995
18,1,1.54561,0.01,0.125,10000,9357.389062
18,1,1.66649,0.01,0.125,10000,8972.056557
18,1,1.67384,0.01,0.125,10000,9289.023617
18,1,1.6597,0.01,0.125,10000,9425.754506
18,1,1.59822,0.01,0.125,10000,10252.35488
25,0,1.58731,0.01,0.125,10000,8404.432464
25,0,1.62045,0.01,0.125,10000,8647.32346
25,0,1.43676,0.01,0.125,10000,7071.494076
25,0,1.56502,0.01,0.125,10000,7065.569905
25,0,1.5891,0.01,0.125,10000,7166.280806
25,0,1.63388,0.01,0.125,10000,8481.446682
25,0,1.47692,0.01,0.125,10000,7841.636256
25,0,1.45544,0.01,0.125,10000,9186.422986
25,0,1.75961,0.01,0.125,10000,7681.683649
25,0,1.52388,0.01,0.125,10000,7847.560427
25,0,1.46382,0.01,0.125,10000,8392.584123
25,0,1.6474,0.01,0.125,10000,8120.072275
25,1,1.69459,0.01,0.125,10000,9091.636256
25,1,1.6908,0.01,0.125,10000,9370.072275
25,1,1.75324,0.01,0.125,10000,10169.83531
25,1,1.77416,0.01,0.125,10000,9897.32346
25,1,1.6348,0.01,0.125,10000,9192.347156
25,1,1.83684,0.01,0.125,10000,9334.527251
25,1,1.65822,0.01,0.125,10000,9381.920616
25,1,1.69616,0.01,0.125,10000,9364.148104
25,1,1.66328,0.01,0.125,10000,9411.541469
25,1,1.8014,0.01,0.125,10000,9672.204976
25,1,1.79157,0.01,0.125,10000,9660.356635
25,1,1.6261,0.01,0.125,10000,9974.337678
25,1,1.6853,0.01,0.125,10000,9423.38981
30,0,1.72069,0.01,0.125,10000,8373.328063
30,0,1.6654,0.01,0.125,10000,7609.16469
30,0,1.62612,0.01,0.125,10000,6535.383399
30,0,1.79677,0.01,0.125,10000,5843.683794
30,0,1.90543,0.01,0.125,10000,7016.279315
30,0,1.82311,0.01,0.125,10000,7437.886693
30,0,1.6803,0.01,0.125,10000,6871.351779
30,0,1.66795,0.01,0.125,10000,8491.905138
30,0,1.79058,0.01,0.125,10000,8386.503294
30,1,1.71628,0.01,0.125,10000,9447.109354
30,1,1.81298,0.01,0.125,10000,8959.625823
30,1,1.69185,0.01,0.125,10000,8702.708827
30,1,1.8214,0.01,0.125,10000,9671.088274
30,1,1.789,0.01,0.125,10000,9348.295125
30,1,1.86562,0.01,0.125,10000,9242.893281
30,1,1.84226,0.01,0.125,10000,9249.480896
30,1,1.82863,0.01,0.125,10000,9736.964427
30,1,1.86396,0.01,0.125,10000,9321.944664
35,0,1.86909,0.01,0.125,10000,5262.056497
35,0,1.79466,0.01,0.125,10000,7020.531073
35,0,1.72221,0.01,0.125,10000,8750.757062
35,0,1.76915,0.01,0.125,10000,4866.576271
35,0,1.65121,0.01,0.125,10000,7811.491525
35,0,1.71056,0.01,0.125,10000,6808.666667
35,0,1.80289,0.01,0.125,10000,7140.587571
35,0,1.74172,0.01,0.125,10000,7091.152542
35,0,1.7193,0.01,0.125,10000,8538.892655
35,0,1.86658,0.01,0.125,10000,8058.666667
35,0,1.77857,0.01,0.125,10000,5092.564972
35,1,1.85356,0.01,0.125,10000,9181.548023
35,1,1.77904,0.01,0.125,10000,9527.59322
35,1,1.68408,0.01,0.125,10000,8658.949153
35,1,1.87803,0.01,0.125,10000,8030.418079
35,1,1.78911,0.01,0.125,10000,9788.892655
35,1,1.91851,0.01,0.125,10000,8849.627119
35,1,1.76502,0.01,0.125,10000,9647.649718
35,1,1.81248,0.01,0.125,10000,8708.384181
35,1,1.88406,0.01,0.125,10000,9188.610169
