"Wo.dim","Lo.dim","alpha","kappa","beta","a","b","c","d"
NA,NA,NA,NA,NA,NA,NA,NA,NA
4.07688411599267,-0.05,-1.04182578584419,-3.27537874507684,-3.42401352125674,-6.38183013588927,-1.21147366685244,0.156891333516225,-3.76638631591315
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.72412733360201,-0.5,-2.62617107265328,0.775217222799167,3.00235301615758,-4.052578491344,0.0154806919617521,0.012230740182501,0.00517149030650282
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.21388509728694,-0.05,3.43807932767982,-5.18219230424787,-1.29871118825974,-10.4995341606565,-1.05680232753123,-1.34193248358083,-3.41308500522711
1.7293371357812,-0.05,-2.43015817806174,-5.90880585889205,0.314244359847903,-10.8960557702772,-1.34809062711541,-3.6132937919972,-3.18864082203409
0.278089313912066,-0.05,4.10497372712491,2.99282797041175,2.99811672448831,-5.02808284269667,-0.634499632289572,0.363428956775038,-0.244305236258531
1.73295266902444,-0.05,-0.296488619017596,9.37033751438162,4.44043686295257,-4.02503590867448,-1.2968159590236,-5.95375688348279,2.80516437915357
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.71866337755578,-0.276848168290753,-2.44356500644937,29.9998336116752,22.0616106664052,-4.07456458908456,-0.90048187323654,-10.7366754073957,11.8727184189558
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
3.69237307264154,-0.05,1.03469326884699,-4.95462094563656,-3.6350693844506,-8.35705286935078,-1.12058634750512,0.388257601906987,-4.37831763589566
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
3.99081249382282,-0.05,1.19810567826715,-9.56023916370525,-4.0474037692147,-13.2815688937956,-0.286581711070132,1.18694521345248,-5.58115189593404
2.31736474477858,-0.05,1.21156259074881,-2.45120297918096,-2.170781386654,-6.86548919090574,-1.26293629293602,-0.885884990949708,-3.16098409971374
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7206374668563,-0.5,-3.20744843865776,0.422572967253476,2.91386421958489,-4.05366716912495,0.232658172535734,-0.477820191352879,0.111113063068364
4.01827079497892,-0.05,1.2101352285017,-5.37407904018459,-4.61817760999923,-8.62463618585404,-1.25334097279697,0.689661957347613,-4.62951593304314
1.7673569455802,-0.5,-1.8873057596505,-0.22134627428202,2.84393426431507,-4.10038694379454,-0.0984658880376847,1.01221145104972,-0.281020839629342
1.9900622307648,-0.5,-0.802662591584709,-0.130846684152641,2.13828404548307,-4.32309218436147,0.103498133922305,1.27681553227631,-0.415003965349445
5.18924725012153,-0.46738671084918,-0.230545566904834,-5.72274083544094,-4.85224790494039,-7.48277349852737,-0.0494159669672289,2.55360677688246,-3.97591258907731
2.26008153819605,-0.05,3.47598248872933,0.585813899296117,-1.70708087868775,-4.53623651967077,-1.4851138884795,-0.75634862384522,-2.01238225070853
1.01753563166602,-0.5,9.45624281246004,6.51545086412291,4.62667826011824,-5.6890835655662,-0.929766374640973,-2.67824095223365,1.22367014500811
4.01730177309556,-0.18560123474437,1.6009095941453,-9.41854893463631,-4.61002026227134,-13.3080581731195,-0.479534909819154,1.01618070584615,-5.72084549501413
NA,NA,NA,NA,NA,NA,NA,NA,NA
0.360524668005423,-0.05,6.70804069099823,0.490940072975902,-4.28639763493064,-5.02980614288897,-1.14766479005169,-3.66885055892907,-0.958996572437799
0.8393633253516,-0.5,-2.99640688310549,6.56219374838798,7.98090040210685,-5.5894222021374,-0.97282107382454,-4.5017779159816,1.95129479578885
7.22149285991527,-0.19280983853347,-2.97910304125733,-9.54396909905356,-7.1833803998447,-11.8850178667127,-0.708238327062087,2.68319710532736,-6.76114597713707
7.31869963786225,-0.266308187733785,-2.3788440736366,-8.93847687209253,-7.42219555691185,-11.9706018359921,-1.0068643046993,2.56445470689802,-7.08725585245663
NA,NA,NA,NA,NA,NA,NA,NA,NA
12.9065986285402,-0.5,-4.09182433633192,-15.0234013517118,-13.9312637351201,-15.2815993616942,0.426512277259321,6.42960233720576,-9.80590441075945
-0.800931568968268,-0.180146348662572,6.139690464611,3.71420117898672,-0.5695404734853,-3.9490701094964,-0.986552424597908,-0.833429380411806,-0.768787380177486
2.01644691767797,-0.05,-0.646453371608738,0.793813374858563,-0.0500429524295807,-4.35473909934563,-1.20955707911289,-1.88094828632195,-1.37599727477829
6.41205791086443,-0.05,-3.21155794845135,-7.42152134769056,-9.67971283413799,-8.67961899412091,-1.70702599278632,-4.07344698053989,-4.03800134415904
1.75450112830367,-0.5,-5.8790522465363,12.7096230396371,11.0643705761896,-4.06803796003312,-0.394757128322297,-6.32035148496838,5.33197827942426
6.95773305367377,-0.459961852803605,-1.18374972257008,-9.546195988427,-7.96487221353699,-11.5776062989336,0.158648705686048,3.29519065496542,-6.2290115488736
7.59710241372428,-0.5,-3.8198841522061,-10.1087531917078,-6.44097317137197,-12.2759321922359,0.0919847175189726,3.59893818783332,-6.07724633715733
2.86598947575219,-0.05,2.23875664956991,-3.98077574806804,-2.61603254008066,-7.26339989171824,-0.968278667844348,-0.0468846902484335,-3.36534389538472
3.00245035448258,-0.05,-1.76695385380563,-4.02809605701908,-5.95894641554619,-7.56821026309649,-1.49442312422958,-4.64585608396339,-2.34515219580653
