"Wo.dim","Lo.dim","alpha","kappa","beta","a","b","c","d"
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1777920630958,-0.24001319075211,1.01719404420547,-2.9526482777214,-0.431188796767016,-5.83420699503385,-0.201177058029703,0.0685860999370443,-1.94235677709453
1.61057671693167,-0.368502559506878,-2.01176514820199,-2.58490116297887,1.88059927040142,-6.3605766985984,-0.419193924540864,-0.465624082560546,-1.53395431920413
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.28658409956286,-0.5,-4.57036439815668,9.60921187887361,7.81984400240007,-3.6614680652469,-0.102298653114741,-4.43564481368643,3.76258239805313
5.56368282070715,-0.203799583109727,-2.26220713358693,-6.63575023793154,-4.59136943254066,-7.90378997154713,-0.202893874199402,2.70435405942477,-4.55724120262838
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
7.09576165244165,-0.05,-3.52466828715814,-7.47426817412389,-6.83231533211474,-9.46203195689651,-1.29237503267853,1.34585022525379,-6.27837268162577
7.48524318725275,-0.5,-3.1667380047848,-9.46601613531809,-6.71146161107288,-12.1490291110969,-0.662188637183713,3.14643144921599,-6.67893739580295
0.724602423222929,-0.05,-3.8943016978954,1.04483445762519,3.45168263939942,-5.41021190020321,-1.27241778014907,-4.69415632041487,-0.33617783055289
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
7.19002246274411,-0.324951810992845,-2.58261306971553,-9.83445765498789,-7.45973043387997,-11.8690145728059,-0.464971087753312,2.94692964614322,-6.80252481812924
3.67104211582208,-0.271871574406072,-0.555106449694064,-9.1780368346708,-2.86479163732993,-12.9617985157187,0.0452024625810452,1.06492179083103,-4.59540152696901
NA,NA,NA,NA,NA,NA,NA,NA,NA
2.96161009063738,-0.05,-0.513261529881557,-1.80558478319374,-1.86875311802173,-5.31949820379588,-1.26211926266917,-0.53518802629986,-2.76552414210474
NA,NA,NA,NA,NA,NA,NA,NA,NA
6.42284827704598,-0.05,-2.87437316594332,-8.44374112048619,-6.83113032913869,-11.118093345184,-1.14640041758251,1.28591225489096,-6.49555021815411
4.45653123812904,-0.156055959989194,-2.27745530299986,-9.96690847284979,-2.55349580853081,-13.7472876380549,-0.568950365560684,0.265833030078843,-5.39603537035814
NA,NA,NA,NA,NA,NA,NA,NA,NA
4.38990550921824,-0.32907249613627,-1.14509065785105,-6.70423377487042,-3.5387497550095,-8.99457503639693,-0.198686461639523,1.47665888693211,-4.13906674514907
2.06514506899938,-0.5,-0.820186937605629,-0.472348697647597,2.24822091104641,-4.39817428656346,0.244314348258979,1.62617753633636,-0.381417063030195
7.25228438615362,-0.368654381595752,-3.60888181690643,-9.51548998164012,-6.71428013682436,-11.8948860962677,-0.40638647666414,2.67122377366378,-6.40073485657219
0.274932763863675,-0.05,10.8250410665353,7.03739450741926,4.32465366468628,-4.93399445750688,-1.39126420296345,-3.68912183541072,1.35309615718081
2.94476894748633,-0.05,-1.61394159137454,-3.81477366123127,-1.4500230359713,-7.62286523442848,-1.29537341704199,-1.62842233694926,-3.1944389700954
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
7.47236820107987,-0.5,-3.16066886982756,-9.82127899144237,-6.56272332667149,-12.1257260048503,-0.122767143738614,3.60183308710355,-6.23934595886536
1.87589096640838,-0.05,0.277675143507799,-2.3959717605921,-1.13859902321441,-6.53440883002536,-1.00331143505271,-1.25078458239308,-2.27632566059373
-0.878829797950644,-0.5,0.0100902104245645,-5.39686209302434,-2.80452864094798,-1.47711420811079,-0.495825338360072,-0.0597295336512984,-3.60853948837628
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
0.447975510954309,-0.243836318847051,-0.197978351795817,-9.16906780800924,-4.16649959366377,-5.10410138074354,0.567965201999385,-0.0127546553894079,-4.04600607531695
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.87843084354691,-0.5,-9.96188523523185,-0.0506033933610012,6.11334332220067,-4.2694930754915,-0.0405247894255877,-2.66102096084419,0.54125025483302
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
1.60369606285926,-0.36132892425528,-8.14278048261003,4.160201497294,5.68284854839333,-3.93982756471798,-0.785127673552201,-2.61012462219397,0.939500350802986
NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.619152113694095,-0.05,2.72501572762435,-2.52796793155283,1.82849048453395,-8.64014202248445,-1.28115405430069,-2.90394563208472,-2.24215930450358
NA,NA,NA,NA,NA,NA,NA,NA,NA
0.24782062943599,-0.187092224908886,1.23082932817703,-3.43577564486136,-0.194231810216004,-4.99782101454415,-0.874212670727787,-0.0099979653981408,-2.9009983233382
NA,NA,NA,NA,NA,NA,NA,NA,NA
3.02753071006869,-0.05,-1.09591927567614,-2.0863509217153,-2.09868768361686,-5.40917042090902,-1.32893962122615,-0.707953361123919,-3.03156220179955
